ax,ay,az,gx,gy,gz,label
0.07,-0.13,0.95,0.24,3.36,3.11,o
0.08,-0.12,0.94,2.69,2.99,5.37,o
0.06,-0.10,0.97,3.91,5.98,4.39,o
0.09,-0.10,0.96,4.39,8.48,4.64,o
0.10,-0.09,0.95,5.74,5.80,5.13,o
0.10,-0.11,0.95,6.41,4.64,2.69,o
0.09,-0.16,0.92,3.85,4.03,0.00,o
0.08,-0.18,0.90,-2.62,2.38,0.79,o
0.08,-0.16,0.91,-4.88,-1.34,7.08,o
0.06,-0.13,0.93,-6.29,-3.23,10.07,o
0.07,-0.11,0.94,-4.03,-1.22,11.17,o
0.08,-0.12,0.94,-2.20,0.67,7.87,o
0.07,-0.11,0.95,-2.38,1.59,3.60,o
0.06,-0.12,0.94,-2.32,1.71,4.33,o
0.07,-0.12,0.94,-2.87,2.56,6.29,o
0.07,-0.09,0.95,-2.20,1.65,5.80,o
0.07,-0.11,0.95,-1.89,2.75,4.03,o
0.06,-0.12,0.94,-2.08,3.60,4.09,o
0.07,-0.11,0.93,-3.36,3.54,5.86,o
0.07,-0.11,0.94,-1.53,3.30,6.59,o
0.08,-0.11,0.93,-1.95,3.54,5.37,o
0.07,-0.09,0.95,-1.77,3.85,5.62,o
0.10,-0.09,0.95,-0.43,4.70,6.23,o
0.09,-0.11,0.95,-0.24,2.99,4.58,o
0.09,-0.11,0.94,-1.34,2.81,4.09,o
0.09,-0.09,0.95,-1.40,2.20,3.30,o
0.09,-0.10,0.95,0.06,2.01,1.40,o
0.08,-0.11,0.94,0.24,1.46,1.59,o
0.07,-0.11,0.94,-0.67,1.77,2.56,o
0.09,-0.09,0.95,-0.24,1.28,3.48,o
0.08,-0.11,0.94,-0.06,1.04,1.71,o
0.06,-0.12,0.94,-0.67,0.79,1.46,o
0.07,-0.11,0.93,-1.53,0.73,3.91,o
0.06,-0.11,0.94,-1.34,0.24,4.82,o
0.07,-0.11,0.94,-1.71,0.55,4.09,o
0.06,-0.11,0.93,-2.44,-0.37,4.76,o
0.06,-0.10,0.94,-2.62,-2.01,6.90,o
0.06,-0.10,0.94,-2.50,-2.81,8.12,o
0.07,-0.11,0.93,-3.60,-4.03,8.91,o
0.06,-0.09,0.95,-5.92,-7.02,10.62,o
0.07,-0.11,0.92,-8.36,-8.00,13.85,o
0.06,-0.12,0.92,-11.41,-12.63,15.20,o
0.04,-0.07,0.94,-11.60,-18.80,19.47,o
0.03,-0.05,0.95,-11.41,-22.89,21.67,o
0.02,-0.05,0.94,-11.47,-23.25,19.41,o
-0.02,-0.04,0.96,-10.50,-23.74,16.97,o
-0.04,-0.03,0.97,-7.69,-18.62,11.23,o
-0.06,-0.03,0.97,-3.05,-12.82,5.07,o
-0.08,-0.03,0.96,-2.14,-7.26,1.40,o
-0.08,-0.05,0.95,-0.43,-2.87,0.37,o
-0.07,-0.06,0.94,-1.04,-0.67,1.34,o
-0.08,-0.03,0.96,-0.98,0.49,2.69,o
-0.06,-0.04,0.95,-0.79,2.69,1.95,o
-0.05,-0.05,0.94,-1.10,2.69,1.40,o
-0.05,-0.05,0.95,-0.61,2.08,2.62,o
-0.05,-0.04,0.95,-0.49,3.23,2.93,o
-0.03,-0.05,0.94,0.43,4.09,3.78,o
-0.04,-0.04,0.95,0.37,3.48,2.38,o
-0.04,-0.04,0.95,0.79,2.99,1.71,o
-0.05,-0.06,0.94,0.79,2.56,2.38,o
-0.05,-0.05,0.94,-0.37,2.99,2.14,o
-0.05,-0.05,0.95,-0.43,3.97,1.65,o
-0.05,-0.05,0.94,-0.31,4.09,2.08,o
-0.05,-0.05,0.94,-0.55,2.32,2.75,o
-0.07,-0.05,0.95,-0.37,2.81,2.62,o
-0.05,-0.04,0.95,-0.49,4.64,3.05,o
-0.05,-0.04,0.95,-0.18,3.78,3.78,o
-0.06,-0.04,0.96,0.43,3.54,3.23,o
-0.05,-0.05,0.94,0.37,5.25,2.44,o
-0.04,-0.05,0.94,-0.12,4.88,3.97,o
-0.03,-0.04,0.94,-0.85,3.48,2.75,o
-0.04,-0.05,0.95,-0.12,3.05,0.55,o
-0.04,-0.06,0.95,-1.28,2.44,2.50,o
-0.04,-0.06,0.94,-2.50,1.77,3.48,o
-0.04,-0.05,0.94,-3.54,1.34,2.93,o
-0.03,-0.04,0.94,-3.78,0.55,4.64,o
-0.05,-0.04,0.95,-3.91,-0.73,3.85,o
-0.06,-0.02,0.96,-2.08,-0.18,3.97,o
-0.06,-0.03,0.95,-1.22,0.98,3.17,o
-0.05,-0.03,0.95,-0.67,1.71,2.75,o
-0.04,-0.04,0.94,0.49,0.98,2.75,o
-0.05,-0.05,0.94,0.24,0.37,2.44,o
-0.06,-0.04,0.95,-0.73,0.49,2.93,o
-0.06,-0.04,0.94,-1.46,0.55,3.36,o
-0.06,-0.04,0.94,-1.77,0.49,2.93,o
-0.07,-0.03,0.95,-0.85,0.37,3.97,o
-0.06,-0.05,0.94,-1.71,0.49,3.72,o
-0.06,-0.03,0.94,-3.72,-0.67,4.70,o
-0.07,-0.01,0.96,-2.56,-0.92,5.19,o
-0.07,-0.04,0.95,-1.77,1.10,3.48,o
-0.06,-0.03,0.94,-1.89,0.85,3.66,o
-0.06,-0.03,0.94,-2.20,-1.53,4.64,o
-0.07,-0.03,0.94,-3.54,-3.54,5.98,o
-0.09,-0.01,0.95,-3.42,-5.19,10.86,o
-0.09,-0.00,0.95,-2.69,-3.36,10.19,o
-0.09,-0.00,0.95,-1.71,-0.31,4.58,o
-0.08,-0.02,0.94,0.06,1.16,2.08,o
-0.09,-0.02,0.95,-0.12,0.00,2.99,o
-0.10,-0.02,0.95,-0.43,0.18,4.21,o
-0.09,-0.02,0.94,0.12,1.10,3.48,o
-0.10,-0.03,0.94,0.24,1.77,2.81,o
-0.10,-0.03,0.94,-0.79,1.28,2.69,o
-0.10,-0.02,0.95,-0.92,1.34,3.23,o
-0.10,-0.02,0.95,0.31,1.10,3.54,o
-0.10,-0.02,0.95,0.24,2.26,3.11,o
-0.09,-0.02,0.95,0.43,2.38,2.69,o
-0.10,-0.03,0.94,0.49,2.56,2.62,o
-0.10,-0.03,0.94,-0.12,2.44,2.93,o
-0.10,-0.02,0.94,-0.43,2.50,3.11,o
-0.10,-0.01,0.94,-0.24,2.32,2.50,o
-0.11,-0.01,0.95,0.12,2.50,2.56,o
-0.11,-0.02,0.95,0.43,3.42,3.05,o
-0.10,-0.03,0.94,-0.18,3.42,3.23,o
-0.09,-0.03,0.96,-0.61,2.56,3.66,o
-0.10,-0.02,0.95,-0.43,3.11,3.17,o
-0.09,-0.02,0.95,-0.49,2.93,2.99,o
