ax,ay,az,gx,gy,gz,label
0.48,-0.09,0.83,-2.44,0.79,5.13,o
0.48,-0.09,0.83,-2.01,0.79,4.52,o
0.47,-0.08,0.84,-2.08,0.43,3.48,o
0.45,-0.09,0.84,-2.32,0.18,2.26,o
0.43,-0.08,0.85,-1.53,0.12,2.44,o
0.41,-0.08,0.86,-0.37,1.53,2.69,o
0.41,-0.08,0.86,1.10,4.27,2.75,o
0.42,-0.10,0.84,1.89,6.35,3.54,o
0.42,-0.09,0.83,2.01,7.32,3.54,o
0.43,-0.11,0.83,1.53,10.80,1.59,o
0.44,-0.10,0.84,-1.28,16.36,-1.65,o
0.45,-0.08,0.85,-2.75,22.40,-4.15,o
0.45,-0.11,0.83,-7.32,33.39,-11.17,o
0.47,-0.12,0.81,-9.95,29.24,-9.16,o
0.45,-0.13,0.82,-11.11,25.15,-0.37,o
0.45,-0.12,0.80,-18.98,36.13,15.08,o
0.53,-0.07,0.79,-23.80,47.49,23.80,o
0.61,-0.09,0.73,-14.53,50.78,33.69,o
0.62,-0.09,0.73,-16.85,35.71,41.56,o
0.62,-0.09,0.70,-26.73,27.10,44.74,o
0.63,-0.08,0.68,-45.29,23.99,53.22,o
0.61,-0.02,0.64,-52.49,16.91,73.91,o
0.62,0.06,0.66,-45.47,1.71,87.34,o
0.61,0.12,0.68,-43.09,-5.19,93.08,o
0.60,0.18,0.70,-40.71,-11.35,90.76,o
0.64,0.25,0.72,-39.55,-16.48,83.44,o
0.60,0.27,0.72,-32.65,-23.32,80.38,o
0.54,0.27,0.70,-29.79,-34.18,83.13,o
0.50,0.45,0.77,-20.39,-45.23,83.25,o
0.43,0.51,0.84,-10.74,-35.95,60.12,o
0.49,0.41,0.76,-7.69,-26.00,37.54,o
0.41,0.38,0.76,-7.39,-31.19,35.34,o
0.38,0.37,0.76,-7.32,-31.86,45.65,o
0.37,0.41,0.77,-4.88,-44.49,53.53,o
0.28,0.42,0.78,-2.62,-37.11,54.44,o
0.25,0.46,0.83,-2.38,-34.18,47.30,o
0.28,0.47,0.82,1.46,-29.60,37.11,o
0.28,0.44,0.79,2.44,-34.24,31.86,o
0.20,0.45,0.82,1.10,-36.80,29.72,o
0.14,0.46,0.82,-1.10,-27.40,26.00,o
0.17,0.45,0.83,2.62,-17.03,28.26,o
0.12,0.48,0.87,1.34,-22.16,21.06,o
0.11,0.44,0.85,2.32,-12.27,15.44,o
0.14,0.44,0.82,0.61,-7.26,11.66,o
0.14,0.43,0.82,-0.12,-5.68,8.79,o
0.15,0.43,0.80,-0.06,-7.57,9.09,o
0.12,0.46,0.83,0.79,-10.25,8.12,o
0.11,0.46,0.84,0.92,-6.90,3.05,o
0.11,0.45,0.84,2.08,-4.76,4.27,o
0.11,0.45,0.84,6.77,-4.70,6.53,o
0.15,0.43,0.82,8.79,-7.32,8.48,o
0.12,0.43,0.83,9.64,-11.60,8.30,o
0.09,0.43,0.84,10.38,-10.80,8.12,o
0.12,0.47,0.84,16.24,-12.45,7.26,o
0.11,0.46,0.85,25.82,-19.10,3.48,o
0.12,0.43,0.87,26.67,-26.98,0.18,o
0.07,0.42,0.88,30.27,-33.63,2.81,o
0.05,0.39,0.89,31.68,-36.56,2.93,o
0.06,0.38,0.89,31.19,-36.38,3.30,o
0.06,0.36,0.84,32.04,-46.02,5.25,o
0.01,0.33,0.86,35.03,-60.06,7.57,o
-0.08,0.29,0.87,29.85,-63.66,7.08,o
-0.10,0.25,0.86,23.38,-66.16,11.60,o
-0.18,0.21,0.88,21.36,-67.38,22.52,o
-0.20,0.21,0.85,22.46,-61.95,31.37,o
-0.27,0.23,0.90,13.49,-59.02,31.68,o
-0.26,0.26,0.88,13.67,-48.83,24.54,o
-0.32,0.21,0.87,12.45,-43.09,15.99,o
-0.36,0.18,0.85,6.59,-34.06,13.79,o
-0.38,0.18,0.86,0.55,-28.87,16.66,o
-0.37,0.20,0.85,-1.53,-24.11,21.24,o
-0.39,0.21,0.85,-2.38,-26.86,27.28,o
-0.43,0.22,0.87,-1.53,-22.40,26.06,o
-0.43,0.23,0.87,-2.08,-13.31,17.27,o
-0.42,0.23,0.85,-3.85,-2.69,5.31,o
-0.41,0.22,0.84,-3.36,3.30,-2.14,o
-0.41,0.22,0.84,-2.14,2.56,-2.20,o
-0.41,0.23,0.85,0.43,1.40,2.38,o
-0.40,0.23,0.85,2.62,0.18,6.65,o
-0.40,0.21,0.85,0.79,4.33,3.72,o
-0.39,0.20,0.84,-1.53,7.14,-0.61,o
-0.38,0.21,0.84,-1.46,8.30,0.67,o
-0.36,0.23,0.84,-0.24,3.78,5.43,o
-0.39,0.23,0.85,0.31,0.85,3.42,o
-0.40,0.23,0.86,-1.28,7.26,-1.04,o
-0.39,0.22,0.84,-0.31,7.14,0.31,o
-0.38,0.22,0.84,1.53,4.33,3.60,o
-0.39,0.21,0.84,0.49,4.58,3.42,o
-0.34,0.22,0.84,-1.77,6.41,1.04,o
-0.37,0.23,0.85,-1.53,4.70,1.89,o
-0.39,0.23,0.86,-0.55,3.91,1.46,o
-0.39,0.23,0.86,0.37,4.27,1.46,o
-0.39,0.23,0.85,0.18,6.84,1.04,o
-0.41,0.23,0.86,-1.53,12.21,-4.09,o
-0.38,0.22,0.84,-2.56,21.61,-11.47,o
-0.40,0.24,0.86,-4.39,25.82,-18.13,o
-0.43,0.24,0.88,-4.58,35.95,-20.69,o
-0.45,0.29,0.94,-6.35,52.98,-27.59,o
-0.32,0.32,0.90,-0.73,76.84,-42.30,o
-0.33,0.36,0.96,9.58,80.38,-57.01,o
-0.28,0.29,0.93,19.78,105.29,-73.61,o
-0.08,0.24,0.84,22.40,111.08,-75.26,o
-0.03,0.23,0.88,28.63,92.53,-72.45,o
0.00,0.23,0.89,35.16,89.78,-72.88,o
0.06,0.19,0.88,37.17,85.02,-73.85,o
0.09,0.17,0.89,32.71,86.00,-78.00,o
0.12,0.19,0.92,31.07,82.28,-73.61,o
0.14,0.11,0.93,35.16,84.78,-66.28,o
0.25,0.01,0.82,28.63,81.36,-48.10,o
0.34,0.07,0.83,23.93,66.28,-26.98,o
0.29,0.12,0.91,24.23,54.20,-27.40,o
0.30,0.02,0.88,21.79,67.02,-41.26,o
0.44,-0.05,0.80,11.96,58.96,-38.27,o
0.45,0.00,0.81,9.58,45.96,-23.62,o
0.41,0.04,0.87,15.26,31.49,-13.98,o
0.44,-0.01,0.84,12.82,32.96,-15.69,o
