ax,ay,az,gx,gy,gz,label
-0.17,-0.25,0.91,-1.10,4.27,3.30,o
-0.16,-0.24,0.92,-0.37,3.66,4.82,o
-0.16,-0.23,0.93,0.12,3.17,3.42,o
-0.16,-0.25,0.91,1.34,3.23,2.20,o
-0.17,-0.26,0.90,1.16,0.85,2.56,o
-0.19,-0.26,0.90,0.73,0.73,3.60,o
-0.18,-0.26,0.89,0.61,3.17,2.93,o
-0.17,-0.27,0.88,0.85,2.50,3.11,o
-0.18,-0.28,0.88,-0.37,1.04,4.58,o
-0.18,-0.25,0.90,-2.01,1.16,3.54,o
-0.17,-0.25,0.91,-0.98,2.14,4.15,o
-0.17,-0.25,0.91,-1.46,1.83,3.60,o
-0.17,-0.26,0.90,-0.61,1.40,3.17,o
-0.18,-0.25,0.91,-0.92,0.37,2.44,o
-0.20,-0.25,0.90,-0.31,1.53,3.05,o
-0.18,-0.24,0.90,-1.28,2.50,2.56,o
-0.19,-0.25,0.90,0.85,2.26,2.62,o
-0.19,-0.26,0.90,-0.37,2.50,2.99,o
-0.18,-0.26,0.90,-0.79,3.17,2.75,o
-0.18,-0.25,0.90,-0.49,1.83,3.48,o
-0.20,-0.24,0.91,-0.06,2.93,3.05,o
-0.19,-0.25,0.90,0.55,4.46,3.78,o
-0.18,-0.24,0.91,0.85,3.97,4.09,o
-0.17,-0.24,0.91,1.46,4.15,2.87,o
-0.17,-0.25,0.90,1.89,3.85,2.99,o
-0.17,-0.25,0.91,1.53,4.03,2.62,o
-0.18,-0.26,0.90,1.89,4.27,2.20,o
-0.17,-0.26,0.90,2.26,3.42,2.50,o
-0.18,-0.26,0.90,1.10,3.11,1.83,o
-0.19,-0.26,0.90,1.59,2.69,2.26,o
-0.19,-0.26,0.89,0.73,3.60,2.20,o
-0.18,-0.26,0.90,0.49,3.78,2.81,o
-0.18,-0.26,0.90,0.61,3.85,3.91,o
-0.18,-0.27,0.89,0.06,3.60,2.81,o
-0.18,-0.26,0.90,-0.49,3.42,4.15,o
-0.17,-0.25,0.91,0.37,3.85,3.91,o
-0.17,-0.27,0.90,0.24,3.60,3.23,o
-0.17,-0.25,0.91,-0.67,3.05,4.33,o
-0.17,-0.25,0.91,0.43,4.09,2.99,o
-0.17,-0.26,0.91,0.73,3.60,2.87,o
-0.17,-0.26,0.91,0.73,2.93,3.05,o
-0.17,-0.27,0.90,1.16,3.23,2.01,o
-0.18,-0.28,0.88,0.61,2.69,2.93,o
-0.18,-0.28,0.89,0.24,2.81,2.44,o
-0.18,-0.27,0.89,-0.85,3.23,2.87,o
-0.18,-0.25,0.91,-1.77,2.50,4.58,o
-0.17,-0.26,0.91,-0.67,3.42,2.32,o
-0.18,-0.26,0.90,-0.67,2.20,3.36,o
-0.18,-0.25,0.90,-0.31,2.75,3.48,o
-0.17,-0.27,0.88,0.43,4.33,1.83,o
-0.17,-0.27,0.89,-0.73,2.32,3.54,o
-0.18,-0.27,0.90,-1.16,2.14,2.87,o
-0.18,-0.26,0.90,-1.77,2.38,3.11,o
-0.18,-0.26,0.90,-1.46,2.69,3.30,o
-0.17,-0.26,0.90,-0.85,3.66,2.81,o
-0.17,-0.25,0.91,-0.85,3.11,3.05,o
-0.17,-0.25,0.91,-0.98,2.87,2.50,o
-0.18,-0.25,0.90,-0.06,2.75,2.08,o
-0.18,-0.26,0.90,0.31,2.44,2.08,o
-0.18,-0.26,0.90,0.00,2.93,2.26,o
-0.18,-0.26,0.90,-0.12,2.44,2.81,o
-0.18,-0.25,0.90,-0.49,2.44,2.14,o
-0.22,-0.26,0.90,-0.55,2.26,2.87,o
-0.18,-0.24,0.91,-0.92,2.99,3.36,o
-0.18,-0.26,0.90,0.98,3.91,2.81,o
-0.18,-0.26,0.90,0.06,2.69,3.36,o
-0.18,-0.25,0.90,-0.49,3.36,3.54,o
-0.17,-0.26,0.90,-0.06,4.21,2.81,o
-0.17,-0.26,0.90,0.06,2.44,3.42,o
-0.18,-0.26,0.90,-0.06,2.81,3.30,o
-0.18,-0.26,0.89,-0.49,3.11,2.38,o
-0.18,-0.26,0.90,-1.22,2.38,3.42,o
-0.19,-0.25,0.90,-1.28,2.87,2.87,o
-0.19,-0.25,0.92,-0.55,3.48,3.17,o
-0.18,-0.26,0.91,-0.06,3.54,3.54,o
-0.18,-0.25,0.91,-0.06,3.17,3.42,o
-0.18,-0.26,0.89,0.06,3.36,3.60,o
-0.17,-0.26,0.89,-0.43,3.17,3.91,o
-0.17,-0.25,0.91,-0.98,2.69,2.81,o
-0.18,-0.25,0.91,0.00,3.23,2.87,o
-0.18,-0.26,0.91,-0.12,3.36,3.54,o
-0.17,-0.26,0.90,0.18,3.66,3.05,o
