ax,ay,az,gx,gy,gz,label
0.20,-0.43,0.84,-5.25,-4.58,2.75,o
0.19,-0.41,0.86,-5.31,-4.76,1.77,o
0.18,-0.40,0.87,-3.91,-2.56,1.77,o
0.17,-0.39,0.86,-3.05,-2.44,0.73,o
0.15,-0.39,0.87,-2.44,-1.40,0.55,o
0.13,-0.39,0.86,-0.67,0.85,1.46,o
0.13,-0.40,0.85,-0.12,2.14,4.33,o
0.14,-0.41,0.84,0.55,3.48,4.46,o
0.15,-0.41,0.83,0.37,3.17,3.85,o
0.16,-0.42,0.84,-0.67,3.30,6.23,o
0.17,-0.42,0.85,0.12,2.99,6.65,o
0.19,-0.43,0.83,-1.04,2.14,5.37,o
0.19,-0.42,0.84,-0.73,2.14,3.97,o
0.19,-0.42,0.84,-1.77,0.49,3.05,o
0.18,-0.41,0.86,-1.83,0.37,2.50,o
0.17,-0.41,0.85,-0.85,0.61,2.44,o
0.15,-0.41,0.85,-0.73,0.61,1.89,o
0.16,-0.40,0.86,-0.92,1.95,1.46,o
0.15,-0.40,0.86,-0.18,2.08,1.95,o
0.15,-0.40,0.86,0.37,3.85,3.17,o
0.16,-0.41,0.85,0.98,4.88,3.11,o
0.16,-0.41,0.85,0.92,4.76,3.60,o
0.17,-0.41,0.85,0.98,4.09,4.39,o
0.17,-0.41,0.84,0.43,3.91,3.97,o
0.17,-0.42,0.85,0.18,3.78,3.97,o
0.18,-0.42,0.84,0.31,3.66,3.97,o
0.18,-0.42,0.84,-1.16,1.34,3.60,o
0.19,-0.41,0.85,-1.71,1.28,2.93,o
0.17,-0.41,0.85,-1.16,0.85,1.53,o
0.17,-0.41,0.85,-1.65,1.16,1.34,o
0.16,-0.40,0.87,-2.01,0.79,1.89,o
0.16,-0.41,0.86,-1.65,1.77,1.83,o
0.15,-0.39,0.87,-0.61,3.11,2.44,o
0.16,-0.41,0.86,0.73,5.55,2.50,o
0.16,-0.40,0.86,0.92,4.46,3.11,o
0.16,-0.41,0.85,0.73,4.33,2.62,o
0.16,-0.41,0.85,0.79,4.58,2.99,o
0.16,-0.41,0.84,0.55,4.46,3.42,o
0.16,-0.41,0.85,0.37,4.21,3.36,o
0.17,-0.41,0.85,0.79,4.88,3.17,o
0.17,-0.41,0.85,0.67,3.72,3.11,o
0.16,-0.42,0.84,0.73,3.11,3.30,o
0.16,-0.42,0.84,-0.61,3.36,2.81,o
0.17,-0.41,0.85,-0.61,3.23,2.62,o
0.17,-0.41,0.85,-0.12,2.99,2.75,o
0.16,-0.41,0.84,-0.49,2.81,3.05,o
0.17,-0.41,0.85,0.00,3.30,2.87,o
0.17,-0.41,0.84,0.37,2.93,2.69,o
0.16,-0.41,0.84,-0.49,2.14,3.05,o
0.16,-0.41,0.84,-1.40,1.89,3.30,o
0.16,-0.41,0.85,-0.18,3.05,2.62,o
0.17,-0.41,0.85,-0.67,2.50,3.11,o
0.16,-0.41,0.85,0.24,2.69,3.23,o
0.17,-0.41,0.84,0.37,3.48,2.81,o
0.17,-0.41,0.84,-0.73,2.50,3.17,o
0.16,-0.41,0.85,-0.67,1.95,3.48,o
0.16,-0.42,0.85,-0.37,3.11,2.50,o
0.17,-0.41,0.85,-0.18,2.99,3.42,o
0.16,-0.41,0.84,-0.37,1.59,2.75,o
0.16,-0.41,0.85,-0.85,2.93,3.17,o
0.17,-0.41,0.86,-0.43,3.42,3.05,o
0.16,-0.41,0.86,-0.55,2.93,3.54,o
0.16,-0.41,0.86,0.12,4.15,3.30,o
0.17,-0.41,0.85,0.06,4.15,3.36,o
0.17,-0.41,0.85,0.43,4.09,3.60,o
0.17,-0.41,0.85,-0.18,3.60,2.87,o
0.17,-0.41,0.85,-0.12,3.72,2.81,o
0.17,-0.41,0.85,-0.37,3.60,2.87,o
0.16,-0.41,0.86,0.00,3.85,3.11,o
0.17,-0.41,0.85,0.85,4.15,3.48,o
0.17,-0.41,0.84,0.73,3.85,3.11,o
0.17,-0.41,0.85,0.24,3.91,2.93,o
0.17,-0.41,0.84,0.24,3.60,3.23,o
0.17,-0.42,0.85,-0.18,3.23,3.23,o
0.17,-0.41,0.85,0.18,3.78,2.99,o
0.17,-0.41,0.84,0.31,2.50,2.75,o
0.17,-0.41,0.84,0.00,2.93,2.87,o
0.17,-0.41,0.84,-0.85,2.26,2.69,o
0.17,-0.41,0.85,-0.79,2.56,2.75,o
0.16,-0.41,0.85,0.12,2.75,2.81,o
0.16,-0.41,0.84,0.00,3.05,2.93,o
0.17,-0.41,0.86,-0.12,2.99,3.11,o
0.17,-0.41,0.85,0.49,3.48,3.42,o
0.17,-0.41,0.85,0.00,2.99,2.81,o
0.17,-0.42,0.84,0.37,3.78,3.11,o
0.17,-0.41,0.85,-0.31,2.50,3.11,o
0.17,-0.41,0.85,-0.43,2.26,2.81,o
0.17,-0.41,0.85,-0.24,2.69,2.32,o
0.17,-0.41,0.85,0.00,2.44,3.23,o
0.16,-0.40,0.85,0.24,3.05,2.62,o
0.17,-0.41,0.84,-0.67,3.17,2.87,o
0.16,-0.41,0.85,-0.61,3.23,3.30,o
0.16,-0.41,0.87,-1.10,3.17,3.23,o
0.18,-0.41,0.86,0.85,5.07,3.60,o
0.17,-0.41,0.85,1.16,4.39,3.30,o
0.18,-0.41,0.83,1.10,5.55,3.36,o
0.17,-0.42,0.84,-0.24,3.48,2.62,o
0.17,-0.41,0.85,-0.18,2.69,3.11,o
0.17,-0.41,0.85,-0.43,3.72,2.87,o
0.17,-0.41,0.86,0.61,4.58,3.48,o
0.18,-0.41,0.84,0.43,3.23,3.05,o
0.16,-0.41,0.85,0.00,2.99,3.11,o
0.18,-0.42,0.84,0.73,4.21,3.54,o
0.17,-0.41,0.85,-1.34,2.14,2.99,o
0.17,-0.41,0.85,0.73,3.36,2.93,o
0.17,-0.42,0.85,-0.31,3.11,2.81,o
0.17,-0.41,0.84,-0.12,3.05,3.11,o
0.17,-0.41,0.86,-0.24,2.93,2.56,o
0.17,-0.42,0.84,0.37,3.66,3.05,o
0.17,-0.41,0.85,0.00,3.23,3.17,o
0.17,-0.41,0.84,0.43,3.72,2.81,o
0.17,-0.41,0.84,-0.06,3.42,2.62,o
0.17,-0.41,0.85,0.18,3.11,3.23,o
0.18,-0.41,0.84,0.12,3.36,3.42,o
0.17,-0.42,0.85,-0.31,2.75,2.75,o
0.17,-0.41,0.84,-0.12,2.99,2.93,o
