ax,ay,az,gx,gy,gz,label
0.11,0.08,0.93,-2.93,4.70,3.85,o
0.12,0.08,0.93,-2.75,6.04,5.86,o
0.15,0.11,0.93,-3.23,6.53,6.77,o
0.16,0.11,0.93,-1.22,5.68,4.21,o
0.15,0.10,0.93,-0.37,3.36,3.30,o
0.13,0.10,0.94,-0.43,1.77,4.21,o
0.12,0.10,0.94,0.98,1.59,3.48,o
0.11,0.07,0.93,1.77,4.58,1.59,o
0.14,0.07,0.93,1.40,4.82,3.05,o
0.14,0.08,0.93,-0.37,3.66,4.27,o
0.15,0.10,0.93,-0.61,3.11,3.66,o
0.14,0.08,0.93,-0.24,3.05,1.28,o
0.13,0.09,0.93,-1.22,3.60,2.26,o
0.13,0.11,0.93,-2.26,3.97,2.75,o
0.13,0.12,0.94,0.00,4.09,1.04,o
0.13,0.09,0.93,0.98,4.15,0.31,o
0.14,0.10,0.94,0.06,5.25,2.26,o
0.15,0.11,0.94,0.18,5.25,2.38,o
0.15,0.11,0.94,1.16,4.03,1.95,o
0.15,0.11,0.93,1.65,4.82,2.62,o
0.16,0.08,0.92,2.08,4.70,2.32,o
0.15,0.08,0.92,1.34,2.75,3.11,o
0.14,0.09,0.93,0.37,3.36,2.75,o
0.14,0.09,0.93,0.43,4.21,2.20,o
0.15,0.09,0.93,1.04,4.27,3.30,o
0.16,0.09,0.93,1.22,4.33,3.66,o
0.16,0.08,0.93,0.73,3.42,3.42,o
0.16,0.08,0.93,0.06,2.26,4.39,o
0.16,0.10,0.94,-0.85,1.40,3.97,o
0.15,0.09,0.94,-0.06,0.85,1.59,o
0.15,0.09,0.93,-0.67,1.22,2.26,o
0.14,0.10,0.94,-0.61,0.61,1.95,o
0.13,0.09,0.93,0.31,1.40,2.01,o
0.12,0.10,0.93,0.18,2.75,2.26,o
0.13,0.09,0.93,0.79,2.99,2.69,o
0.13,0.09,0.93,0.43,3.60,2.62,o
0.14,0.09,0.93,0.18,3.54,2.81,o
0.14,0.09,0.93,0.49,3.78,3.54,o
0.15,0.09,0.93,0.43,3.23,2.44,o
0.14,0.08,0.93,1.28,3.05,2.75,o
0.13,0.07,0.92,0.00,3.85,2.99,o
0.14,0.09,0.94,0.37,3.36,3.23,o
0.14,0.09,0.94,0.31,4.52,2.87,o
0.14,0.09,0.94,0.73,4.03,3.23,o
0.12,0.09,0.94,0.92,3.66,2.93,o
0.15,0.09,0.93,0.67,5.74,2.44,o
0.15,0.07,0.92,0.43,3.85,3.48,o
0.14,0.08,0.93,-0.43,2.93,3.72,o
0.14,0.09,0.94,0.00,4.64,3.23,o
0.16,0.09,0.94,0.43,6.16,2.69,o
0.15,0.09,0.93,0.31,3.42,2.69,o
0.15,0.09,0.93,0.61,3.30,3.42,o
0.15,0.08,0.93,1.16,2.81,2.62,o
0.14,0.08,0.94,0.24,2.38,1.83,o
0.14,0.08,0.93,0.06,3.05,4.15,o
0.14,0.09,0.93,-0.49,3.72,3.66,o
0.16,0.09,0.93,0.61,4.52,2.69,o
0.15,0.08,0.93,0.79,2.99,2.87,o
0.14,0.09,0.93,0.00,2.62,3.48,o
0.15,0.09,0.94,0.43,3.85,2.14,o
0.15,0.07,0.92,0.61,3.36,1.89,o
0.14,0.07,0.93,0.12,2.99,3.85,o
0.15,0.09,0.94,-0.43,3.42,3.97,o
0.15,0.07,0.93,-0.31,3.66,2.01,o
0.15,0.09,0.93,-0.55,2.93,2.56,o
0.15,0.09,0.94,0.37,3.05,2.38,o
0.14,0.07,0.93,0.00,2.93,2.08,o
0.14,0.08,0.93,-0.37,3.54,3.97,o
0.15,0.09,0.94,-0.24,3.05,4.21,o
0.15,0.09,0.94,0.24,3.54,2.62,o
0.16,0.09,0.93,0.73,3.91,2.20,o
0.16,0.08,0.92,0.61,2.93,1.89,o
0.14,0.08,0.93,0.43,3.11,3.05,o
0.15,0.07,0.93,-0.37,2.99,2.69,o
0.14,0.09,0.94,0.06,4.21,3.05,o
0.17,0.08,0.93,0.92,3.30,4.21,o
0.15,0.07,0.93,0.61,2.50,2.50,o
0.15,0.07,0.93,0.24,3.42,1.89,o
0.15,0.08,0.93,-0.61,3.42,2.93,o
0.15,0.08,0.93,0.12,3.11,2.99,o
0.15,0.08,0.93,0.49,3.54,2.75,o
0.15,0.08,0.93,0.24,3.72,3.23,o
0.15,0.07,0.93,0.24,2.56,3.97,o
0.14,0.08,0.93,-0.37,2.69,2.69,o
0.14,0.09,0.93,-0.43,3.48,2.99,o
0.16,0.08,0.93,0.24,4.03,3.54,o
0.16,0.06,0.94,0.18,3.30,2.93,o
0.16,0.06,0.94,-0.67,2.87,2.69,o
0.17,0.09,0.95,-2.26,1.59,3.42,o
0.16,0.14,0.96,-0.98,1.40,2.26,o
0.13,0.12,0.94,1.77,1.95,1.16,o
0.13,0.08,0.92,2.62,2.93,1.77,o
0.13,0.05,0.91,1.95,3.66,3.54,o
0.14,0.04,0.90,-0.12,4.46,4.39,o
0.16,0.06,0.92,-1.65,4.58,4.46,o
0.16,0.09,0.94,-2.08,4.27,4.76,o
0.17,0.10,0.95,-0.98,4.76,3.78,o
0.17,0.09,0.95,-0.37,4.15,2.20,o
0.16,0.10,0.94,0.12,3.11,2.20,o
0.15,0.10,0.94,1.83,2.32,2.38,o
0.13,0.08,0.93,2.44,2.56,1.89,o
0.13,0.07,0.93,2.08,3.30,2.32,o
0.13,0.05,0.93,1.71,3.23,2.44,o
0.15,0.06,0.93,-0.06,4.15,3.78,o
0.15,0.08,0.94,-0.31,3.05,3.60,o
0.15,0.06,0.93,0.00,3.97,2.81,o
0.16,0.07,0.93,-0.12,3.72,2.87,o
0.16,0.06,0.92,0.37,3.91,2.81,o
0.16,0.06,0.92,-0.43,2.81,2.56,o
0.15,0.06,0.93,-0.49,1.83,3.05,o
0.15,0.08,0.93,-1.28,2.14,3.30,o
0.15,0.08,0.93,-1.16,2.81,2.20,o
0.15,0.07,0.93,-1.04,2.93,2.69,o
0.15,0.07,0.93,-2.38,2.50,2.99,o
0.16,0.09,0.93,-1.59,1.71,2.26,o
0.15,0.08,0.93,-0.92,0.67,2.32,o
