ax,ay,az,gx,gy,gz,label
-0.05,0.17,0.95,5.25,-7.75,-8.12,o
-0.03,0.15,0.94,6.10,-7.69,-7.93,o
0.00,0.15,0.94,9.95,-15.08,-6.47,o
-0.01,0.17,0.95,10.19,-21.48,-10.01,o
-0.09,0.15,0.97,11.72,-20.20,-16.97,o
-0.14,0.11,0.95,16.48,-9.40,-19.35,o
-0.15,0.05,0.94,15.81,1.16,-13.98,o
-0.10,0.04,0.86,15.20,11.54,-3.78,o
-0.11,0.05,0.91,5.25,5.98,5.25,o
-0.10,0.08,0.91,-0.24,7.63,6.04,o
-0.06,0.09,0.93,-3.30,6.10,6.47,o
-0.05,0.13,0.95,0.00,5.62,2.14,o
-0.09,0.08,0.95,1.65,9.83,-5.19,o
-0.07,0.10,0.95,1.04,11.84,-3.72,o
-0.04,0.13,0.96,2.87,12.27,-3.48,o
-0.02,0.15,0.97,4.09,12.45,-11.17,o
-0.06,0.12,0.97,7.87,16.85,-25.94,o
-0.03,0.08,0.93,10.56,18.49,-27.53,o
-0.00,0.06,0.91,7.26,10.01,-17.15,o
-0.01,0.07,0.92,2.01,-4.94,-0.06,o
-0.03,0.10,0.95,-1.53,-14.65,8.36,o
-0.05,0.09,0.94,-2.08,-17.58,6.53,o
-0.10,0.09,0.95,-1.95,-17.40,7.26,o
-0.09,0.09,0.93,-1.16,-14.95,8.54,o
-0.09,0.10,0.93,-2.38,-16.54,8.67,o
-0.10,0.09,0.93,0.37,-13.79,6.71,o
-0.11,0.06,0.92,0.31,-14.34,8.61,o
-0.10,0.06,0.91,-3.48,-20.51,16.72,o
-0.14,0.10,0.95,-3.48,-21.06,18.62,o
-0.17,0.10,0.95,-2.01,-12.88,9.52,o
-0.16,0.12,0.94,0.43,-9.77,6.04,o
-0.17,0.10,0.93,1.34,-6.90,2.81,o
-0.17,0.07,0.92,1.46,-5.55,2.38,o
-0.19,0.07,0.92,0.12,-6.53,4.21,o
-0.18,0.09,0.93,-0.31,-3.54,3.23,o
-0.19,0.08,0.92,-0.37,-1.95,-0.18,o
-0.21,0.08,0.92,-0.55,-0.43,0.31,o
-0.20,0.08,0.92,-1.04,1.46,3.23,o
-0.18,0.09,0.92,-0.49,0.85,5.62,o
-0.19,0.10,0.93,-0.55,1.28,2.20,o
-0.20,0.09,0.93,-0.49,1.89,1.46,o
-0.19,0.09,0.93,-1.10,2.87,3.48,o
-0.19,0.10,0.93,-0.31,3.23,2.93,o
-0.19,0.08,0.92,-0.37,3.42,2.08,o
-0.18,0.09,0.92,-0.37,2.14,4.27,o
-0.18,0.09,0.93,0.49,1.04,3.85,o
-0.20,0.08,0.93,0.31,2.69,2.26,o
-0.18,0.09,0.93,-0.43,3.97,2.38,o
-0.17,0.08,0.92,-0.06,4.52,0.55,o
-0.20,0.09,0.92,0.06,2.81,2.08,o
-0.19,0.08,0.92,0.06,3.11,3.54,o
-0.18,0.09,0.93,-0.61,2.75,3.36,o
-0.20,0.09,0.93,-0.37,3.60,1.95,o
-0.19,0.08,0.93,0.00,4.09,3.05,o
-0.18,0.10,0.93,0.06,3.54,4.39,o
-0.18,0.09,0.92,0.85,3.72,2.32,o
-0.18,0.08,0.92,0.12,3.66,2.20,o
-0.18,0.09,0.93,-0.12,3.78,0.79,o
-0.18,0.09,0.92,0.18,4.39,0.18,o
-0.18,0.09,0.93,0.24,3.48,-0.43,o
-0.19,0.08,0.93,0.37,3.91,0.49,o
-0.18,0.09,0.93,0.00,4.64,2.01,o
-0.17,0.08,0.92,0.67,4.21,3.30,o
-0.19,0.08,0.93,-0.49,2.56,3.42,o
-0.18,0.10,0.93,-0.67,4.70,3.05,o
-0.18,0.08,0.93,0.18,5.07,1.65,o
-0.18,0.08,0.92,-0.18,4.58,4.03,o
-0.18,0.09,0.93,-0.18,3.60,2.38,o
-0.19,0.09,0.93,-0.49,4.46,3.17,o
-0.18,0.09,0.93,0.00,4.39,4.03,o
-0.17,0.09,0.93,-0.31,4.21,2.81,o
-0.18,0.08,0.93,-1.04,4.88,0.98,o
-0.19,0.10,0.93,-1.53,8.42,-1.65,o
-0.17,0.10,0.92,0.73,10.07,-1.28,o
-0.16,0.09,0.93,0.85,8.30,1.22,o
-0.17,0.09,0.93,0.18,5.43,3.72,o
-0.16,0.10,0.94,0.06,5.74,4.21,o
-0.15,0.08,0.94,-0.24,5.86,3.23,o
-0.16,0.09,0.94,-0.06,4.52,3.42,o
-0.15,0.10,0.93,0.79,3.91,3.72,o
-0.16,0.08,0.93,0.73,4.39,3.17,o
-0.15,0.08,0.93,0.12,4.46,2.87,o
-0.15,0.08,0.93,-0.37,3.78,2.26,o
-0.16,0.09,0.94,0.43,3.60,3.11,o
-0.16,0.09,0.94,0.49,3.54,4.21,o
-0.14,0.08,0.93,0.24,2.87,3.42,o
-0.16,0.07,0.93,0.00,1.40,3.36,o
-0.17,0.09,0.93,-1.34,2.50,4.15,o
-0.16,0.10,0.94,-0.24,3.78,2.81,o
-0.15,0.08,0.93,0.18,3.23,2.69,o
-0.16,0.10,0.93,-0.61,2.38,2.50,o
-0.16,0.10,0.93,-1.34,3.23,0.00,o
-0.16,0.09,0.92,-0.92,4.03,0.43,o
-0.15,0.09,0.93,0.24,2.08,3.48,o
-0.17,0.09,0.94,0.67,1.34,3.66,o
-0.18,0.08,0.93,0.37,3.66,4.09,o
-0.14,0.09,0.92,0.18,4.21,4.46,o
-0.16,0.08,0.93,0.31,2.56,3.36,o
-0.17,0.09,0.93,-0.67,3.48,3.60,o
-0.15,0.10,0.93,-0.55,4.15,3.85,o
-0.16,0.08,0.93,0.43,2.81,3.17,o
-0.16,0.09,0.94,-0.31,3.11,3.48,o
-0.17,0.09,0.94,-0.67,4.33,2.38,o
-0.16,0.09,0.94,-1.16,3.78,2.56,o
-0.15,0.09,0.93,0.43,2.14,4.15,o
-0.16,0.09,0.93,0.67,2.50,3.54,o
-0.16,0.08,0.93,0.18,3.36,3.54,o
-0.16,0.10,0.94,-0.73,3.30,3.54,o
-0.16,0.10,0.94,0.00,3.17,2.81,o
-0.16,0.09,0.94,0.85,2.99,3.60,o
-0.16,0.08,0.93,0.37,3.05,3.85,o
-0.16,0.08,0.93,-0.24,3.66,2.93,o
-0.15,0.08,0.93,0.18,3.42,2.56,o
-0.16,0.09,0.93,-0.37,3.30,3.48,o
-0.16,0.10,0.94,-0.55,3.54,3.30,o
-0.15,0.09,0.93,0.85,3.60,2.14,o
