ax,ay,az,gx,gy,gz,label
0.56,-0.82,0.06,-2.50,-7.08,0.06,o
0.56,-0.80,0.05,-6.53,-9.58,8.12,o
0.59,-0.77,0.05,-8.24,-9.89,17.09,o
0.70,-0.77,0.05,-6.96,-9.58,16.54,o
0.67,-0.81,0.08,-10.93,-15.56,2.01,o
0.61,-0.79,0.11,-14.53,-18.98,-1.95,o
0.61,-0.80,0.14,-16.24,-19.29,-0.43,o
0.58,-0.79,0.21,-14.71,-18.31,-3.23,o
0.58,-0.83,0.21,-11.35,-16.30,-12.27,o
0.47,-0.92,0.29,-11.72,-22.71,-15.50,o
0.56,-0.89,0.35,-5.37,-11.47,2.56,o
0.66,-0.83,0.29,11.23,3.42,0.73,o
0.66,-0.82,0.19,16.85,11.23,-14.28,o
0.59,-0.78,0.08,8.73,6.90,-17.46,o
0.50,-0.74,0.08,0.55,-3.42,-11.35,o
0.52,-0.72,0.14,-0.31,-9.16,-8.91,o
0.52,-0.73,0.15,2.08,-5.07,-17.64,o
0.51,-0.86,0.14,1.65,0.37,-13.55,o
0.53,-0.94,0.20,-4.58,1.40,-0.24,o
0.63,-0.90,0.25,-8.24,-1.95,-10.80,o
0.52,-0.93,0.29,-1.53,3.48,-15.56,o
0.59,-0.85,0.23,-0.31,9.52,-16.36,o
0.52,-0.80,0.23,1.65,2.75,-18.25,o
0.52,-0.78,0.18,7.39,-1.71,-14.71,o
0.50,-0.77,0.15,6.84,-3.42,-15.20,o
0.45,-0.82,0.14,5.07,0.43,-17.70,o
0.43,-0.88,0.17,2.44,1.53,-10.74,o
0.45,-0.89,0.18,0.79,0.73,-3.54,o
0.48,-0.87,0.19,1.59,-1.34,-4.09,o
0.44,-0.85,0.15,0.55,-3.91,-7.45,o
0.38,-0.85,0.13,-3.60,-7.93,-4.03,o
0.38,-0.78,0.18,-8.67,-7.20,0.92,o
0.42,-0.80,0.21,-5.37,1.40,0.06,o
0.40,-0.83,0.21,-6.04,7.81,-2.01,o
0.39,-0.87,0.23,-7.32,6.77,6.10,o
0.44,-0.87,0.26,-6.04,2.75,14.89,o
0.50,-0.90,0.27,-1.77,3.97,11.90,o
0.51,-0.90,0.26,-1.65,4.27,5.37,o
0.50,-0.89,0.26,-1.04,3.91,2.81,o
0.50,-0.87,0.21,0.55,2.44,2.81,o
0.46,-0.84,0.20,-0.73,-2.69,-0.67,o
0.42,-0.82,0.20,-0.73,-0.43,0.37,o
0.42,-0.83,0.20,0.67,4.64,2.56,o
0.46,-0.85,0.17,-0.85,3.72,4.82,o
0.46,-0.87,0.21,-3.17,-0.98,4.88,o
0.44,-0.84,0.21,-1.95,-0.61,2.26,o
0.41,-0.85,0.20,-3.11,-0.85,2.62,o
0.41,-0.84,0.21,-3.17,-1.16,8.42,o
0.45,-0.84,0.24,-3.85,2.26,12.45,o
0.50,-0.84,0.23,-1.53,5.37,11.78,o
0.50,-0.86,0.24,-1.46,2.93,8.67,o
0.49,-0.86,0.24,-1.53,0.37,7.02,o
0.48,-0.87,0.23,-0.92,0.73,5.86,o
0.48,-0.85,0.26,-1.77,1.16,6.59,o
0.49,-0.84,0.25,1.16,4.03,4.09,o
0.47,-0.84,0.23,0.79,3.42,2.50,o
0.48,-0.83,0.23,0.85,3.54,3.72,o
0.48,-0.83,0.22,1.77,4.94,1.71,o
0.46,-0.82,0.22,1.71,4.21,2.01,o
0.46,-0.84,0.20,2.38,5.25,2.14,o
0.47,-0.85,0.20,0.37,5.62,1.71,o
0.46,-0.84,0.21,-1.22,4.21,1.83,o
0.47,-0.84,0.22,-1.65,2.14,2.44,o
0.48,-0.85,0.22,-2.26,1.65,1.16,o
0.44,-0.85,0.24,-2.26,1.34,0.67,o
0.45,-0.86,0.25,-0.37,2.44,3.42,o
0.47,-0.84,0.24,1.16,4.39,2.50,o
0.45,-0.84,0.23,1.77,5.31,1.28,o
0.47,-0.84,0.23,2.56,4.82,3.85,o
0.48,-0.85,0.21,2.69,3.72,3.66,o
0.47,-0.85,0.21,0.73,1.77,3.30,o
0.46,-0.85,0.20,-0.06,1.95,2.44,o
0.46,-0.85,0.22,-0.98,1.71,1.89,o
0.47,-0.85,0.22,-1.16,2.32,1.34,o
0.47,-0.85,0.23,-1.16,2.14,0.67,o
0.46,-0.85,0.23,-1.53,0.98,1.46,o
0.45,-0.85,0.22,-1.16,0.31,2.69,o
0.45,-0.84,0.23,-1.46,0.18,2.01,o
0.45,-0.85,0.22,-0.24,2.32,2.14,o
0.47,-0.85,0.22,-0.85,2.14,3.30,o
0.46,-0.84,0.22,-2.20,0.12,1.83,o
0.45,-0.85,0.24,-2.20,0.61,1.83,o
0.46,-0.85,0.23,-1.10,2.20,2.50,o
0.46,-0.85,0.23,-1.34,0.98,1.95,o
0.45,-0.84,0.24,-1.59,0.31,3.30,o
0.45,-0.84,0.25,-1.22,1.16,4.27,o
0.47,-0.84,0.25,-0.73,2.56,4.15,o
0.47,-0.85,0.24,-0.73,2.20,3.42,o
0.45,-0.84,0.24,-1.59,1.16,3.66,o
0.45,-0.83,0.26,-1.04,2.08,3.91,o
0.45,-0.84,0.25,0.79,3.72,4.58,o
0.47,-0.83,0.24,1.59,3.72,3.78,o
0.44,-0.85,0.22,1.22,3.05,2.50,o
0.46,-0.85,0.24,-1.22,2.93,6.84,o
0.49,-0.84,0.25,-0.61,3.72,5.74,o
0.48,-0.85,0.23,-0.12,3.36,2.50,o
0.46,-0.85,0.23,-0.55,3.42,1.83,o
0.46,-0.85,0.24,-0.73,3.78,1.04,o
0.45,-0.84,0.24,-0.43,3.91,0.79,o
0.44,-0.84,0.24,-0.31,3.54,0.98,o
0.43,-0.85,0.22,0.92,3.60,1.95,o
0.43,-0.84,0.23,-0.79,2.32,4.82,o
0.45,-0.84,0.23,-1.89,1.34,6.10,o
0.46,-0.83,0.26,-1.40,2.20,5.13,o
0.48,-0.85,0.25,0.18,3.60,5.74,o
0.49,-0.84,0.25,0.98,4.09,3.78,o
0.47,-0.85,0.25,0.37,4.46,2.08,o
0.46,-0.84,0.25,0.73,4.21,2.75,o
0.45,-0.85,0.24,0.73,4.64,1.89,o
0.45,-0.84,0.24,1.53,5.74,2.62,o
0.46,-0.84,0.24,1.95,5.07,2.87,o
0.45,-0.84,0.22,2.08,4.39,2.81,o
0.46,-0.84,0.21,0.37,4.09,3.85,o
0.46,-0.84,0.22,0.06,3.05,3.72,o
0.45,-0.85,0.22,-0.49,2.69,3.30,o
0.46,-0.85,0.22,-0.79,2.14,4.46,o
