ax,ay,az,gx,gy,gz,label
0.04,-0.08,0.96,-6.35,1.71,6.16,z
0.03,-0.07,0.96,-3.54,1.95,7.45,z
0.03,-0.09,0.95,0.00,1.95,8.48,z
-0.01,-0.11,0.95,3.60,2.20,7.51,z
-0.02,-0.18,0.94,4.33,4.15,12.63,z
0.02,-0.22,0.97,5.74,6.65,14.28,z
0.07,-0.37,1.00,8.61,10.25,15.14,z
0.09,-0.52,1.03,1.65,7.81,17.58,z
0.10,-0.60,1.05,-10.25,2.87,13.73,z
0.09,-0.66,1.04,-22.46,0.49,5.43,z
0.08,-0.71,1.00,-36.99,0.43,6.23,z
0.03,-0.73,0.94,-50.29,-0.79,0.98,z
0.05,-0.72,0.92,-65.19,-0.61,-16.05,z
0.12,-0.49,0.90,-84.11,-3.17,-21.48,z
0.13,-0.30,0.86,-84.05,-10.62,-25.15,z
0.05,-0.26,0.82,-68.85,-16.54,-48.58,z
-0.05,-0.12,0.77,-67.02,-11.47,-83.98,z
-0.04,0.07,0.68,-65.12,2.81,-61.22,z
-0.14,0.01,0.64,-58.78,10.68,-48.16,z
-0.02,0.18,0.64,-65.12,23.32,-51.09,z
-0.09,0.46,0.66,-49.62,36.13,-51.33,z
-0.11,0.30,0.58,-23.93,66.53,-43.88,z
0.07,0.37,0.64,-47.24,72.45,30.03,z
0.14,0.48,0.62,-52.80,78.37,57.62,z
0.31,1.09,0.75,-42.48,74.28,60.91,z
0.22,0.95,0.73,-11.60,81.97,88.87,z
0.31,0.79,0.75,-27.28,77.33,127.69,z
0.34,1.15,0.80,-24.54,50.72,106.26,z
0.22,0.83,0.71,30.03,56.70,29.42,z
0.35,0.54,0.80,25.45,57.43,16.36,z
0.45,0.78,0.88,3.97,40.47,18.07,z
0.46,0.69,0.86,8.79,17.94,5.62,z
0.45,0.66,0.85,6.65,4.33,6.04,z
0.43,0.59,0.86,5.62,-5.25,4.82,z
0.40,0.55,0.85,2.56,-12.57,5.86,z
0.40,0.58,0.83,0.92,-20.20,3.78,z
0.39,0.63,0.81,4.27,-24.60,0.92,z
0.43,0.63,0.81,10.25,-25.02,-0.18,z
0.50,0.63,0.79,17.52,-25.70,-9.58,z
0.51,0.65,0.77,19.78,-28.99,-15.01,z
0.44,0.67,0.77,19.47,-29.97,-6.35,z
0.45,0.73,0.76,27.28,-26.55,13.61,z
0.45,0.49,0.72,43.52,-30.09,13.00,z
0.35,0.41,0.73,37.23,-39.18,3.48,z
0.22,0.34,0.74,27.77,-40.89,-0.79,z
0.20,0.24,0.72,22.40,-27.28,5.13,z
0.13,0.33,0.81,23.86,-26.18,7.14,z
0.10,0.23,0.75,32.84,-20.69,3.85,z
0.01,0.12,0.75,25.09,-16.42,8.79,z
-0.09,0.17,0.87,12.02,-9.28,9.77,z
-0.06,0.25,0.78,16.24,7.63,11.17,z
0.04,0.24,0.75,38.09,12.51,15.81,z
0.05,0.09,0.84,47.24,2.38,7.57,z
0.05,0.02,0.83,42.48,0.55,-0.98,z
0.07,0.08,0.73,50.96,-1.46,-20.51,z
0.05,-0.01,0.75,73.79,-11.84,-14.65,z
-0.01,-0.21,0.78,63.17,-20.14,-0.79,z
-0.18,-0.33,0.76,64.39,-16.24,11.66,z
-0.23,-0.31,0.84,56.82,-6.35,25.88,z
-0.18,-0.37,0.95,57.98,1.71,39.79,z
-0.10,-0.48,1.01,62.68,8.85,40.59,z
-0.03,-0.58,1.09,58.04,2.69,32.84,z
-0.07,-0.64,1.14,44.07,-4.21,20.75,z
-0.10,-0.61,1.13,21.91,1.89,13.06,z
-0.05,-0.55,1.14,7.51,9.95,8.48,z
-0.01,-0.50,1.13,-3.48,5.62,5.37,z
-0.02,-0.47,1.08,-10.13,-2.81,-2.81,z
0.00,-0.42,1.07,-19.96,-7.75,-7.51,z
0.03,-0.37,1.06,-26.31,-6.10,-10.13,z
0.03,-0.37,1.06,-27.34,-5.25,-13.24,z
-0.02,-0.43,1.03,-20.14,-3.78,-16.66,z
-0.10,-0.48,1.00,-22.34,-4.70,-25.57,z
-0.07,-0.56,0.96,-26.49,-0.31,-24.05,z
-0.09,-0.49,0.95,-52.98,-0.37,-29.30,z
-0.07,-0.36,0.95,-62.01,1.65,-31.86,z
-0.05,-0.26,0.94,-49.50,1.65,-41.99,z
0.00,-0.32,0.86,-53.77,-14.22,-78.31,z
0.01,-0.32,0.81,-56.27,-0.06,-99.30,z
0.01,-0.25,0.76,-59.94,-5.86,-125.98,z
-0.01,-0.13,0.68,-71.47,6.65,-128.60,z
-0.05,0.05,0.63,-69.89,19.23,-112.73,z
-0.01,0.16,0.62,-58.84,31.43,-91.61,z
0.26,0.24,0.71,-41.87,41.50,-70.31,z
0.40,0.34,0.78,-42.18,28.26,-63.84,z
0.20,0.36,0.72,-33.08,32.78,-68.42,z
0.06,0.38,0.67,-37.84,46.75,-14.59,z
0.29,0.63,0.80,-30.03,45.35,44.80,z
0.40,0.59,0.83,-1.10,38.51,26.55,z
0.31,0.53,0.78,1.71,37.72,14.22,z
0.36,0.61,0.87,-5.31,34.85,31.74,z
0.25,0.54,0.82,9.58,33.69,64.03,z
0.33,0.53,0.82,18.62,49.62,61.65,z
0.43,0.62,0.89,16.66,44.25,37.96,z
0.38,0.46,0.85,21.91,44.01,21.36,z
0.37,0.48,0.85,10.68,42.72,25.57,z
0.42,0.47,0.91,8.00,37.96,21.91,z
0.49,0.41,0.90,8.36,33.94,4.64,z
0.50,0.41,0.91,2.75,22.77,-1.83,z
0.43,0.42,0.91,-2.75,5.62,7.57,z
0.37,0.40,0.92,-0.67,-4.64,16.85,z
0.30,0.32,0.91,3.97,-4.64,8.97,z
0.32,0.34,0.91,6.23,-3.05,0.24,z
0.31,0.27,0.90,10.01,-5.74,-3.30,z
0.28,0.22,0.87,7.51,-9.22,2.01,z
0.27,0.18,0.85,6.41,-6.77,2.99,z
0.28,0.18,0.86,4.52,-4.21,1.77,z
0.25,0.20,0.85,3.17,-4.52,-0.73,z
0.25,0.21,0.86,4.52,-2.56,1.34,z
0.26,0.18,0.88,3.54,-2.56,3.48,z
0.25,0.21,0.87,3.85,-1.59,1.65,z
0.24,0.20,0.87,2.32,-1.65,4.52,z
0.24,0.21,0.86,-0.79,-3.17,9.52,z
0.25,0.23,0.88,-0.49,-2.44,5.92,z
0.24,0.24,0.89,0.24,-0.31,5.86,z
0.25,0.23,0.88,0.24,0.18,7.63,z
