ax,ay,az,gx,gy,gz,label
-0.10,-0.21,0.91,-11.17,1.77,4.21,z
-0.07,-0.20,0.93,-11.72,0.43,2.93,z
-0.05,-0.20,0.96,-9.46,1.16,-0.06,z
-0.01,-0.25,1.00,-4.21,2.14,-3.60,z
-0.02,-0.29,1.01,-6.77,-0.49,-10.07,z
-0.03,-0.27,1.00,-10.25,-2.32,-12.63,z
-0.03,-0.32,1.03,-8.73,-3.36,-17.09,z
-0.05,-0.36,1.03,-6.65,-4.64,-21.97,z
-0.08,-0.39,0.99,-12.45,-8.24,-26.55,z
-0.16,-0.38,0.94,-23.50,-8.30,-29.54,z
-0.17,-0.38,0.94,-29.66,-2.87,-23.74,z
-0.17,-0.42,0.92,-30.27,-0.12,-25.02,z
-0.20,-0.44,0.87,-32.10,-1.95,-36.74,z
-0.27,-0.38,0.84,-32.78,-6.23,-52.73,z
-0.29,-0.32,0.84,-36.87,-3.48,-61.10,z
-0.32,-0.23,0.87,-40.53,-2.99,-55.42,z
-0.26,-0.22,0.85,-37.84,9.70,-43.64,z
-0.22,-0.19,0.87,-38.15,13.98,-49.19,z
-0.17,-0.07,0.85,-40.16,11.78,-54.38,z
-0.18,0.06,0.80,-29.91,8.36,-54.81,z
-0.19,0.05,0.84,-24.11,13.43,-50.66,z
-0.17,0.01,0.81,-23.19,22.22,-42.36,z
-0.19,0.19,0.72,-21.79,43.70,-39.12,z
-0.21,0.36,0.70,-25.33,46.02,11.17,z
-0.19,0.27,0.68,-26.06,53.59,59.39,z
-0.02,0.43,0.72,-39.61,66.65,75.13,z
0.11,0.70,0.76,-21.06,72.27,65.43,z
0.16,0.48,0.77,8.36,71.90,34.91,z
0.17,0.53,0.85,-3.54,71.41,46.69,z
0.33,0.56,0.95,-3.72,59.88,47.06,z
0.37,0.56,1.02,15.44,52.06,14.47,z
0.23,0.48,1.03,26.86,45.41,11.54,z
0.15,0.52,0.97,13.85,27.53,39.49,z
0.21,0.45,1.00,8.79,7.32,54.02,z
0.20,0.32,0.99,14.34,2.08,37.05,z
0.14,0.27,0.93,14.65,2.75,18.31,z
0.15,0.33,0.90,5.74,0.43,16.66,z
0.21,0.31,0.95,1.59,-5.68,16.97,z
0.19,0.28,0.90,-1.59,-10.62,8.48,z
0.13,0.42,0.86,-8.48,-16.11,2.93,z
0.09,0.45,0.87,-9.77,-19.78,-0.79,z
0.17,0.46,0.91,-0.12,-18.68,-7.26,z
0.23,0.46,0.92,13.06,-20.08,-29.36,z
0.22,0.47,0.93,21.61,-25.63,-51.94,z
0.22,0.42,0.91,22.95,-35.16,-57.80,z
0.22,0.51,0.89,27.16,-42.91,-40.71,z
