ax,ay,az,gx,gy,gz,label
0.22,0.13,0.97,-9.34,5.07,-3.23,z
0.18,0.15,1.00,-3.72,-4.39,9.52,z
0.11,0.11,0.98,5.00,3.11,-0.79,z
0.04,0.10,0.99,11.35,5.31,-0.67,z
-0.02,0.00,0.99,15.32,9.70,9.09,z
0.01,-0.03,1.01,14.47,8.79,21.12,z
0.06,-0.11,1.04,15.69,7.32,12.94,z
0.09,-0.30,1.01,22.22,10.86,-0.73,z
0.12,-0.50,1.00,30.40,11.17,-5.68,z
0.05,-0.62,0.96,12.33,0.12,-22.71,z
-0.01,-0.79,0.91,-1.04,2.08,-28.63,z
0.05,-0.81,0.85,-30.70,0.98,-14.95,z
0.15,-0.61,0.96,-62.13,-3.54,5.62,z
0.15,-0.48,0.93,-65.12,-6.59,-21.85,z
0.02,-0.36,0.91,-60.18,-4.21,-56.82,z
-0.09,-0.35,0.81,-55.73,4.46,-43.27,z
0.00,-0.44,0.83,-46.26,13.85,13.85,z
0.09,-0.24,0.80,-41.26,24.90,8.42,z
0.08,0.12,0.87,-38.88,26.73,17.76,z
0.17,-0.06,0.73,-50.72,18.01,35.64,z
0.27,0.10,0.74,-48.52,36.87,4.64,z
0.18,0.34,0.60,-46.26,78.74,1.40,z
0.14,0.62,0.80,-66.35,29.60,83.50,z
0.26,0.72,0.80,-36.01,4.21,132.26,z
0.17,0.75,0.78,-15.56,15.87,81.91,z
-0.02,0.81,0.81,-8.79,28.32,33.26,z
-0.07,0.78,0.80,-3.17,22.16,54.32,z
0.10,0.64,0.88,-0.12,-3.54,87.28,z
0.09,0.74,0.91,-3.85,-7.51,55.73,z
-0.11,0.74,0.91,14.10,14.04,15.63,z
0.01,0.50,0.89,17.09,22.46,15.81,z
0.07,0.54,0.97,9.16,17.21,19.23,z
0.14,0.54,0.98,15.63,15.63,7.14,z
0.13,0.47,0.95,20.63,15.99,-3.54,z
0.15,0.38,0.92,19.59,9.28,2.50,z
0.18,0.40,0.88,11.17,4.03,5.00,z
0.23,0.55,0.93,10.31,2.44,-3.11,z
0.25,0.63,0.92,20.75,-0.85,-14.40,z
0.29,0.63,0.88,29.91,-3.91,-26.49,z
0.30,0.45,0.86,34.91,-7.02,-34.36,z
0.30,0.33,0.79,14.10,-9.89,-28.50,z
0.32,0.52,0.82,-22.22,-17.70,-23.62,z
0.27,0.65,0.99,-10.68,-18.62,-30.09,z
0.27,0.41,0.82,19.90,-19.71,-46.14,z
0.22,0.30,0.70,8.06,-17.46,-60.30,z
0.13,0.43,0.79,-6.16,-12.39,-68.97,z
0.15,0.42,0.78,10.80,-21.30,-61.46,z
0.11,0.26,0.79,15.20,-22.83,-57.98,z
0.11,0.20,0.69,17.03,-13.73,-34.36,z
