ax,ay,az,gx,gy,gz,label
0.07,-0.22,0.93,-1.16,8.18,7.26,z
0.09,-0.23,0.94,-2.75,8.42,8.24,z
0.11,-0.28,0.96,-2.08,8.85,10.19,z
0.09,-0.32,0.96,-5.13,6.71,11.17,z
0.00,-0.36,0.92,-16.05,9.40,20.39,z
0.03,-0.33,1.03,-31.56,21.61,36.74,z
0.13,-0.38,0.96,-34.42,32.59,49.74,z
0.19,-0.37,1.10,-34.24,14.53,42.85,z
0.18,-0.42,1.04,-22.77,1.28,17.64,z
0.11,-0.51,0.97,-17.76,-11.17,0.37,z
0.01,-0.57,0.95,-20.02,-23.50,-9.64,z
-0.05,-0.61,0.89,-25.45,-20.69,-24.48,z
-0.04,-0.55,0.89,-39.25,-9.58,-38.88,z
0.04,-0.44,0.90,-41.50,4.09,-46.69,z
0.06,-0.40,0.88,-31.49,10.38,-44.62,z
0.01,-0.47,0.75,-39.49,-2.50,-49.56,z
-0.02,-0.25,0.79,-56.46,39.86,-24.90,z
0.14,-0.08,0.70,-58.96,67.81,-3.85,z
0.23,0.03,0.70,-61.40,59.39,18.92,z
0.31,0.10,0.75,-62.56,43.52,18.74,z
0.12,0.39,0.85,-47.12,86.79,16.30,z
0.28,0.40,0.64,-46.26,102.23,50.84,z
0.28,0.47,0.67,-58.04,59.81,83.92,z
0.30,0.74,0.64,-62.99,42.66,109.99,z
0.29,0.91,0.63,-47.36,24.78,103.94,z
0.16,0.80,0.66,-28.50,23.56,74.52,z
0.13,0.91,0.69,-26.49,40.89,67.26,z
0.19,0.96,0.66,-14.10,48.46,53.65,z
0.28,0.77,0.71,2.75,44.49,23.86,z
0.40,0.68,0.75,-0.92,29.30,0.98,z
0.41,0.71,0.78,-6.77,9.83,-9.77,z
0.44,0.68,0.81,-7.32,-5.49,-7.69,z
0.47,0.68,0.85,-7.39,-11.17,-6.10,z
0.49,0.74,0.84,-1.71,-11.96,-13.37,z
0.51,0.77,0.81,8.30,-14.59,-25.88,z
0.56,0.74,0.80,18.98,-17.33,-35.77,z
0.54,0.75,0.79,22.58,-20.94,-34.67,z
0.50,0.69,0.72,30.82,-18.74,-28.63,z
0.48,0.56,0.66,24.96,-18.62,-26.37,z
0.48,0.60,0.76,11.78,-19.29,-27.83,z
0.48,0.69,0.74,31.37,-15.93,-35.40,z
0.48,0.44,0.68,54.38,-27.83,-55.11,z
0.43,0.33,0.70,55.24,-40.22,-64.51,z
0.35,0.31,0.73,55.11,-43.33,-58.90,z
0.27,0.18,0.68,60.91,-47.49,-47.24,z
0.13,0.11,0.82,68.91,-40.22,-33.63,z
0.15,-0.07,0.72,73.61,-24.35,-10.99,z
0.23,-0.16,0.65,63.78,-18.62,0.67,z
0.11,-0.13,0.77,58.35,-37.66,-9.22,z
0.02,-0.24,0.69,64.03,-34.30,-21.61,z
-0.03,-0.38,0.59,57.80,-25.57,-18.98,z
-0.11,-0.37,0.74,27.77,-24.35,-5.62,z
-0.20,-0.23,0.82,17.15,-13.73,11.35,z
-0.24,-0.28,0.76,36.56,4.76,25.51,z
-0.22,-0.46,0.84,44.80,14.40,52.00,z
-0.10,-0.51,0.97,52.92,33.51,62.32,z
0.05,-0.71,0.93,64.76,38.02,45.17,z
0.07,-0.74,1.03,45.17,27.77,40.95,z
0.12,-0.70,1.06,32.90,15.44,37.72,z
0.14,-0.70,1.08,27.95,5.37,17.21,z
0.09,-0.66,1.08,16.05,0.37,3.72,z
0.05,-0.60,1.06,6.10,-7.75,-3.36,z
0.04,-0.63,1.06,-8.67,-8.12,1.22,z
0.08,-0.63,1.05,-23.44,6.16,16.78,z
0.19,-0.60,1.01,-36.01,9.77,19.17,z
0.25,-0.62,0.97,-36.56,5.49,10.93,z
0.31,-0.63,1.05,-49.50,1.10,13.18,z
0.35,-0.50,1.07,-63.17,4.46,23.38,z
0.31,-0.42,1.03,-63.11,-4.39,26.00,z
0.20,-0.42,0.97,-59.20,-23.44,13.92,z
0.07,-0.44,0.91,-55.18,-29.54,2.69,z
0.01,-0.44,0.84,-58.96,-19.53,-1.04,z
0.03,-0.37,0.79,-64.70,-10.50,-2.75,z
0.07,-0.33,0.74,-66.65,-8.30,-6.35,z
0.12,-0.24,0.68,-66.77,-6.35,-11.11,z
0.17,-0.21,0.61,-60.61,0.24,-28.75,z
0.14,-0.03,0.61,-71.29,5.55,-44.62,z
0.14,0.38,0.64,-64.27,12.08,-48.10,z
0.18,0.23,0.59,-43.27,14.10,-51.39,z
0.21,0.36,0.77,-59.51,6.10,-14.77,z
0.30,0.53,0.69,-35.52,33.33,4.70,z
0.30,0.64,0.69,-24.35,21.97,7.93,z
0.32,0.53,0.70,-17.94,-1.59,9.22,z
0.19,0.72,0.88,-23.13,-2.62,13.73,z
0.08,0.86,0.80,-3.05,23.56,29.54,z
0.14,0.74,0.76,10.50,33.39,37.78,z
0.36,0.72,0.88,3.66,30.09,-0.49,z
0.29,0.64,0.91,21.55,55.91,-40.59,z
0.35,0.48,0.85,21.67,44.92,-13.98,z
0.45,0.42,0.88,1.95,21.79,12.02,z
0.40,0.46,0.90,-9.95,6.84,7.26,z
0.33,0.46,0.91,-3.78,1.40,-0.67,z
0.31,0.33,0.92,1.89,0.43,2.93,z
0.32,0.27,0.91,0.67,0.18,3.30,z
0.31,0.24,0.91,0.85,-0.61,-1.83,z
0.34,0.23,0.91,1.46,0.49,-3.11,z
0.33,0.20,0.90,2.08,-3.05,-1.65,z
0.30,0.19,0.87,3.66,-3.91,3.91,z
0.26,0.21,0.88,-2.69,-6.65,9.89,z
0.24,0.23,0.89,0.55,-7.63,5.31,z
0.21,0.21,0.88,1.04,-4.39,5.49,z
0.21,0.25,0.89,2.81,-2.69,4.27,z
0.21,0.20,0.89,4.39,-0.55,3.72,z
0.23,0.23,0.89,0.92,0.43,6.16,z
0.22,0.21,0.88,2.08,0.00,3.05,z
0.24,0.23,0.88,1.04,2.20,3.11,z
0.24,0.22,0.87,2.56,3.05,0.49,z
0.25,0.21,0.87,2.01,2.50,3.60,z
0.26,0.20,0.88,0.37,2.08,3.91,z
0.25,0.22,0.88,-0.49,1.89,2.62,z
0.25,0.20,0.89,-0.85,1.71,2.32,z
0.25,0.22,0.90,-2.14,3.05,1.53,z
0.24,0.24,0.89,-1.95,3.42,2.87,z
0.24,0.22,0.90,-1.83,2.44,6.65,z
0.27,0.24,0.89,-0.67,3.23,6.04,z
