ax,ay,az,gx,gy,gz,label
0.24,-0.12,0.91,0.67,2.08,6.90,z
0.23,-0.13,0.94,1.83,-0.49,6.65,z
0.23,-0.18,0.95,4.33,0.92,8.18,z
0.24,-0.23,0.97,5.43,2.14,7.63,z
0.24,-0.31,1.01,6.23,0.85,8.30,z
0.26,-0.41,1.04,2.50,3.05,10.62,z
0.23,-0.46,1.03,-3.91,3.05,8.91,z
0.21,-0.50,0.99,-11.90,1.16,6.35,z
0.16,-0.60,1.00,-21.30,2.50,11.72,z
0.16,-0.67,0.97,-46.20,2.69,18.68,z
0.19,-0.72,0.89,-58.11,6.23,15.56,z
0.18,-0.74,0.86,-71.29,6.90,3.05,z
0.24,-0.49,0.88,-91.13,16.24,-3.72,z
0.36,-0.25,0.83,-84.35,27.65,3.05,z
0.31,-0.18,0.78,-72.51,32.65,19.10,z
0.19,-0.11,0.65,-63.84,32.47,26.31,z
0.15,-0.01,0.67,-65.98,28.14,33.51,z
0.14,0.17,0.60,-60.85,42.18,48.03,z
0.14,0.24,0.58,-54.57,44.37,40.89,z
0.16,0.39,0.65,-32.90,53.65,8.54,z
0.03,0.19,0.54,-6.10,108.40,-6.59,z
0.09,0.55,0.54,-43.09,117.13,67.50,z
0.25,0.67,0.50,-50.54,103.03,129.27,z
0.37,0.80,0.56,-44.13,93.14,148.93,z
0.38,0.94,0.60,-22.83,99.18,120.48,z
0.39,1.01,0.51,3.30,94.85,84.53,z
0.48,0.90,0.53,3.05,70.13,53.34,z
0.47,1.06,0.61,-6.41,45.10,31.98,z
0.54,0.98,0.63,6.23,24.60,17.40,z
0.64,0.85,0.66,11.41,13.12,16.36,z
0.65,0.85,0.66,13.18,2.75,7.81,z
0.66,0.76,0.67,18.49,-5.80,-1.77,z
0.65,0.65,0.67,19.23,-11.78,-8.73,z
0.62,0.63,0.66,15.26,-17.09,-9.77,z
0.61,0.66,0.63,12.76,-19.47,-10.50,z
0.65,0.67,0.61,13.00,-20.08,-13.55,z
0.63,0.66,0.61,13.00,-23.93,-22.03,z
0.61,0.69,0.58,12.08,-22.71,-27.47,z
0.66,0.71,0.52,17.40,-27.34,-44.68,z
0.56,0.67,0.57,20.69,-49.56,-60.42,z
0.47,0.58,0.62,21.55,-53.10,-62.74,z
0.49,0.50,0.60,23.07,-42.72,-58.96,z
0.49,0.47,0.62,28.14,-36.50,-55.97,z
0.48,0.37,0.70,32.71,-30.46,-58.90,z
0.49,0.33,0.69,32.71,-37.90,-59.33,z
0.45,0.26,0.63,37.60,-39.73,-57.86,z
0.30,0.25,0.74,44.98,-40.34,-63.11,z
0.30,0.08,0.70,56.88,-32.90,-60.00,z
0.34,-0.01,0.66,64.45,-23.25,-45.59,z
0.20,-0.05,0.81,68.48,-20.14,-40.83,z
0.25,-0.18,0.69,78.49,0.79,-26.06,z
0.35,-0.28,0.66,68.30,-12.63,-1.40,z
0.23,-0.22,0.82,55.66,-30.94,10.44,z
0.24,-0.28,0.76,65.37,-21.61,14.28,z
0.23,-0.38,0.77,73.18,-29.11,12.94,z
0.15,-0.54,0.86,66.41,-28.99,20.75,z
0.03,-0.54,0.92,56.76,-22.03,23.99,z
0.03,-0.58,0.92,59.14,-12.45,13.12,z
0.06,-0.69,0.98,52.67,-9.03,12.82,z
0.05,-0.71,1.02,37.41,-0.06,24.17,z
0.12,-0.71,1.01,23.25,11.60,27.71,z
0.18,-0.67,1.01,7.57,16.85,19.35,z
0.25,-0.59,1.02,-7.63,14.34,10.07,z
0.25,-0.52,1.00,-15.93,3.85,-1.10,z
0.26,-0.51,1.01,-18.25,2.87,-8.61,z
0.30,-0.51,1.00,-24.84,2.81,-3.30,z
0.29,-0.51,0.97,-32.29,0.67,1.16,z
0.27,-0.53,0.98,-37.90,-5.13,-2.38,z
0.18,-0.59,0.97,-38.94,-9.52,-10.01,z
0.12,-0.70,0.92,-47.36,-5.13,-15.69,z
0.11,-0.67,0.89,-67.57,2.44,-20.20,z
0.16,-0.60,0.82,-75.93,7.20,-39.98,z
0.14,-0.60,0.76,-93.32,2.32,-63.29,z
0.15,-0.47,0.74,-112.18,10.38,-72.27,z
0.21,-0.26,0.69,-106.81,28.63,-78.06,z
0.28,-0.21,0.60,-92.41,39.92,-81.54,z
0.25,-0.12,0.60,-94.06,38.45,-83.13,z
0.27,0.12,0.60,-91.31,52.61,-59.02,z
0.28,0.19,0.54,-67.50,64.70,-44.80,z
0.47,0.11,0.52,-55.79,64.03,-25.45,z
0.74,0.37,0.59,-64.21,22.16,-1.77,z
0.59,0.51,0.64,-47.79,-21.36,-3.36,z
0.34,0.78,0.68,-20.39,23.80,28.81,z
0.51,0.60,0.67,0.55,21.79,58.96,z
0.71,0.58,0.69,-1.10,45.72,63.17,z
0.84,0.79,0.75,15.75,60.42,15.56,z
0.77,0.67,0.68,26.67,49.32,4.58,z
0.63,0.68,0.72,18.62,25.82,28.69,z
0.72,0.59,0.79,19.53,12.33,37.35,z
0.75,0.47,0.84,14.83,4.76,18.13,z
0.60,0.44,0.82,13.37,4.88,6.04,z
0.59,0.39,0.76,10.93,-5.07,18.55,z
0.56,0.25,0.79,8.73,-21.91,19.53,z
0.49,0.21,0.81,6.71,-22.28,15.14,z
0.44,0.16,0.81,6.04,-14.89,5.62,z
0.43,0.17,0.78,5.68,-7.87,2.62,z
0.42,0.17,0.79,5.86,-9.70,4.88,z
0.41,0.11,0.79,5.92,-11.72,5.74,z
0.40,0.12,0.82,2.20,-7.51,2.44,z
0.37,0.13,0.81,-0.67,-1.28,-0.18,z
0.40,0.20,0.82,-2.14,1.16,6.10,z
0.39,0.16,0.83,-0.73,0.37,5.68,z
0.39,0.20,0.85,-4.88,1.40,6.29,z
0.40,0.22,0.83,-1.65,1.83,0.55,z
0.40,0.21,0.85,0.00,4.58,5.74,z
0.44,0.20,0.85,0.79,5.37,3.36,z
0.45,0.21,0.84,-2.14,5.43,4.94,z
0.45,0.24,0.83,-0.85,1.46,5.98,z
0.44,0.24,0.82,2.14,-2.44,6.35,z
0.42,0.19,0.83,2.56,-4.03,7.87,z
0.40,0.19,0.83,0.49,-2.50,7.69,z
0.38,0.20,0.82,0.12,0.06,4.70,z
0.38,0.17,0.82,-0.67,0.55,7.87,z
0.40,0.21,0.83,-2.01,2.81,8.73,z
0.41,0.20,0.83,-0.85,3.36,5.92,z
