ax,ay,az,gx,gy,gz,label
0.24,-0.23,0.88,-6.29,1.22,11.29,z
0.22,-0.23,0.92,-7.02,1.53,13.55,z
0.27,-0.30,0.93,-5.68,4.03,16.66,z
0.30,-0.35,0.88,-19.53,-4.88,16.66,z
0.29,-0.48,1.01,-11.72,-6.29,16.91,z
0.30,-0.68,1.07,-11.11,-6.96,22.58,z
0.34,-0.78,1.02,-22.46,-5.80,24.54,z
0.26,-0.79,0.92,-35.64,-16.60,8.61,z
0.11,-0.83,0.83,-43.40,-25.70,-18.19,z
0.02,-0.73,0.84,-64.51,-22.46,-44.01,z
0.09,-0.56,0.85,-75.20,-3.36,-44.49,z
0.14,-0.49,0.82,-80.57,5.80,-33.51,z
0.11,-0.32,0.80,-91.31,6.16,-29.60,z
0.15,-0.13,0.81,-86.49,7.39,-39.25,z
0.15,0.06,0.81,-62.19,1.46,-53.34,z
0.04,0.07,0.78,-41.63,22.58,-44.98,z
0.12,0.12,0.66,-33.45,51.15,-20.94,z
0.13,0.21,0.67,-21.67,56.76,-3.05,z
0.21,0.16,0.67,-10.99,75.93,11.05,z
0.13,0.24,0.54,3.11,80.75,42.18,z
0.11,0.16,0.64,-22.77,79.41,89.29,z
0.37,0.49,0.64,-34.55,85.33,77.76,z
0.47,0.63,0.65,-18.55,65.55,32.84,z
0.46,0.59,0.70,-5.80,63.96,20.45,z
0.53,0.61,0.76,-7.08,52.37,48.22,z
0.55,0.72,0.80,-12.39,43.09,72.08,z
0.66,0.92,0.80,-3.66,28.08,75.07,z
0.60,0.70,0.81,16.24,9.22,39.49,z
0.51,0.63,0.89,8.18,-6.47,37.90,z
0.55,0.65,0.85,5.37,-13.79,44.80,z
0.57,0.51,0.80,6.23,-12.08,17.82,z
0.57,0.57,0.81,1.59,-7.08,-2.93,z
0.55,0.62,0.82,5.43,-15.56,-3.54,z
0.58,0.55,0.79,8.91,-25.27,9.64,z
0.62,0.57,0.73,5.68,-27.22,4.33,z
0.57,0.61,0.72,11.17,-25.88,-20.20,z
0.54,0.54,0.72,15.38,-23.38,-29.42,z
0.59,0.44,0.64,10.62,-12.82,-5.86,z
0.53,0.52,0.69,4.70,-20.57,15.32,z
0.47,0.44,0.70,22.95,-27.22,1.10,z
0.46,0.28,0.68,27.34,-24.35,-10.62,z
0.42,0.42,0.73,22.22,-25.21,-9.77,z
0.30,0.40,0.80,41.87,-30.88,-21.30,z
0.25,0.17,0.80,51.88,-26.79,-14.77,z
0.23,0.08,0.73,39.18,-24.96,9.28,z
0.05,0.21,0.85,33.33,-15.01,15.38,z
0.06,0.09,0.81,51.82,5.98,20.81,z
0.21,-0.09,0.68,53.53,16.66,18.07,z
0.18,-0.11,0.73,47.18,19.78,0.43,z
0.16,-0.16,0.73,52.92,28.26,-11.41,z
0.22,-0.17,0.65,64.09,38.27,-24.60,z
0.22,-0.34,0.73,69.76,26.43,-35.64,z
0.17,-0.42,0.85,67.14,18.80,-7.39,z
0.24,-0.46,0.86,79.35,24.23,3.23,z
0.27,-0.57,0.95,86.73,12.33,7.57,z
0.27,-0.73,0.91,80.99,-9.16,-8.24,z
0.16,-0.83,0.97,57.01,-13.06,-11.84,z
0.11,-0.76,1.04,41.02,-0.79,1.53,z
0.23,-0.84,1.03,28.75,11.23,10.31,z
0.31,-0.82,1.02,5.37,8.85,13.12,z
0.30,-0.74,1.00,-13.18,2.93,-1.89,z
0.30,-0.72,0.97,-26.92,2.69,-14.28,z
0.35,-0.65,0.96,-47.30,6.84,-12.15,z
0.41,-0.51,0.97,-63.17,3.05,-10.93,z
0.37,-0.45,0.95,-63.29,-5.37,-21.18,z
0.26,-0.50,0.94,-55.97,-16.48,-29.66,z
0.17,-0.64,0.89,-54.20,-22.77,-22.83,z
0.11,-0.72,0.90,-61.10,-19.17,-12.02,z
0.12,-0.76,0.79,-76.90,-9.52,-10.25,z
0.14,-0.67,0.72,-97.90,-2.69,-32.59,z
0.18,-0.52,0.68,-129.15,0.37,-48.65,z
0.19,-0.31,0.61,-134.95,2.56,-62.68,z
0.16,-0.24,0.53,-121.58,16.17,-71.96,z
0.30,0.00,0.49,-91.74,45.96,-67.20,z
0.40,0.27,0.54,-54.50,50.17,-32.41,z
0.24,0.45,0.46,-37.54,70.37,1.83,z
0.47,0.63,0.42,-36.62,65.67,38.33,z
0.79,0.43,0.69,-22.09,42.97,20.32,z
0.82,0.64,0.73,-32.71,58.47,0.79,z
0.61,0.92,0.60,-28.99,34.00,-3.23,z
0.55,0.67,0.62,-14.65,23.07,18.37,z
0.72,0.66,0.73,-25.70,22.22,42.79,z
0.75,0.86,0.79,-20.32,17.09,11.60,z
