ax,ay,az,gx,gy,gz,label
-0.17,-0.30,0.87,0.55,4.94,12.51,z
-0.15,-0.31,0.87,2.08,6.23,13.55,z
-0.14,-0.31,0.89,2.99,6.96,12.21,z
-0.11,-0.26,0.93,3.97,9.28,13.73,z
-0.07,-0.23,0.96,8.36,8.12,18.74,z
-0.07,-0.26,0.96,7.57,1.83,24.05,z
-0.10,-0.26,0.95,7.63,-2.14,26.55,z
-0.14,-0.33,0.93,7.02,-1.53,31.25,z
-0.17,-0.40,0.91,-1.65,2.50,42.66,z
-0.25,-0.53,0.81,-14.71,6.10,55.48,z
-0.32,-0.66,0.77,-44.80,13.79,67.69,z
-0.30,-0.68,0.82,-64.58,29.79,60.91,z
-0.21,-0.83,0.74,-51.27,39.43,28.50,z
-0.18,-0.93,0.73,-42.18,35.71,-20.81,z
-0.17,-0.96,0.71,-44.74,36.32,-38.02,z
-0.11,-0.87,0.75,-74.28,36.25,-40.95,z
0.01,-0.63,0.85,-90.88,40.65,-39.31,z
0.09,-0.50,0.88,-93.75,32.53,-38.02,z
0.12,-0.41,0.86,-87.10,12.33,-53.77,z
0.14,-0.16,0.96,-83.31,13.67,-68.85,z
0.26,-0.10,0.82,-56.64,20.87,-69.34,z
0.01,-0.03,0.98,-70.37,-0.85,-68.05,z
0.20,0.12,0.80,-61.89,51.88,-35.28,z
0.25,0.18,0.75,-49.74,34.73,-18.37,z
0.28,0.19,0.84,-46.88,4.09,-20.02,z
0.11,0.25,0.89,-32.90,14.77,-28.56,z
0.14,0.20,0.60,-23.99,102.17,-2.56,z
0.26,0.44,0.64,-70.98,90.45,62.19,z
0.42,0.52,0.70,-73.30,76.72,100.65,z
0.39,0.75,0.78,-54.57,71.90,63.11,z
0.24,0.91,0.78,-34.30,99.55,57.50,z
0.22,0.83,0.75,-22.64,81.30,95.83,z
0.22,0.94,0.78,-25.51,67.14,133.67,z
0.31,0.96,0.75,-16.97,34.48,106.69,z
0.21,0.83,0.78,-4.09,13.12,54.32,z
0.12,0.70,0.78,1.83,3.66,23.99,z
0.19,0.61,0.74,-12.82,-3.78,20.45,z
0.30,0.67,0.85,-24.17,-18.86,9.64,z
0.29,0.63,0.84,-12.63,-23.32,-17.21,z
0.30,0.68,0.84,-7.63,-20.87,-26.37,z
0.33,0.68,0.85,4.70,-17.52,-34.85,z
0.40,0.60,0.85,14.22,-16.85,-31.74,z
