ax,ay,az,gx,gy,gz,label
0.02,-0.14,0.92,7.63,4.39,-6.96,z
0.06,-0.13,0.92,4.82,12.15,9.58,z
0.09,-0.14,0.96,7.02,10.56,18.55,z
0.13,-0.16,1.01,12.45,10.80,12.02,z
0.17,-0.27,1.11,31.19,14.83,5.62,z
0.27,-0.75,1.25,34.97,10.86,21.12,z
0.33,-1.03,1.22,0.24,9.95,43.27,z
0.25,-1.02,1.10,-43.95,2.62,38.76,z
0.05,-0.96,0.92,-77.58,-8.73,21.12,z
-0.08,-0.85,0.82,-109.13,-18.01,12.51,z
-0.10,-0.65,0.77,-125.55,-19.17,7.87,z
-0.10,-0.43,0.76,-131.90,-13.98,7.81,z
-0.09,-0.30,0.72,-120.61,-5.86,0.98,z
-0.14,-0.10,0.66,-103.88,5.68,-9.89,z
-0.13,0.00,0.66,-86.61,25.21,-14.65,z
-0.11,0.16,0.65,-64.45,34.79,-20.57,z
-0.13,0.28,0.59,-33.45,49.99,-25.94,z
0.04,0.33,0.67,-22.71,75.81,13.24,z
0.15,0.42,0.60,-20.51,93.63,39.31,z
0.13,0.57,0.57,-21.48,96.31,54.38,z
0.19,0.73,0.69,-17.03,76.97,86.24,z
0.29,0.60,0.67,-12.88,57.19,99.00,z
0.26,0.92,0.76,-25.02,42.72,85.69,z
0.22,0.95,0.67,-2.44,39.86,69.03,z
0.20,0.70,0.56,14.40,40.53,60.18,z
0.32,0.67,0.64,-1.95,36.80,58.29,z
0.37,0.76,0.68,-6.16,36.44,24.78,z
0.39,0.84,0.74,-4.46,32.04,-7.87,z
0.42,0.84,0.76,-0.85,23.93,-9.64,z
0.48,0.80,0.80,-7.93,3.23,9.34,z
0.43,0.87,0.81,-9.89,-14.22,15.87,z
0.41,0.92,0.82,-2.87,-23.44,5.74,z
0.41,0.90,0.78,2.50,-26.49,-7.87,z
0.39,0.93,0.78,6.23,-26.12,-14.28,z
0.33,0.93,0.76,23.86,-18.01,-19.29,z
0.43,0.84,0.72,34.48,-15.69,-34.12,z
0.47,0.83,0.68,39.79,-19.17,-56.58,z
0.32,0.55,0.68,37.66,-15.87,-64.64,z
0.26,0.47,0.65,12.02,-12.63,-35.40,z
0.38,0.44,0.63,37.23,-18.43,-31.86,z
0.14,0.17,0.65,48.34,-20.69,-41.75,z
0.06,0.04,0.67,35.77,-10.50,-30.94,z
0.13,0.02,0.56,26.06,-2.56,-25.82,z
0.11,0.13,0.72,40.53,-14.47,-36.56,z
0.13,0.13,0.76,73.43,-13.18,-74.22,z
0.15,-0.08,0.65,110.35,-5.07,-94.30,z
0.13,-0.29,0.78,121.34,-8.42,-76.60,z
0.18,-0.45,0.82,114.87,-17.76,-24.41,z
0.16,-0.53,0.78,96.92,-24.66,15.20,z
0.04,-0.56,0.84,90.27,-36.68,37.35,z
-0.01,-0.67,0.92,96.80,-25.15,32.65,z
-0.03,-0.86,0.94,93.44,-19.59,16.54,z
-0.07,-0.98,0.99,64.39,-16.97,33.69,z
-0.06,-0.89,1.01,28.75,-11.17,46.63,z
0.00,-0.84,1.06,12.70,-3.42,31.13,z
0.11,-0.92,1.09,-5.92,-3.66,20.81,z
0.11,-0.85,1.15,-20.45,-17.15,7.81,z
