ax,ay,az,gx,gy,gz,label
0.42,-0.14,0.84,-2.14,2.14,2.87,z
0.41,-0.13,0.84,-1.28,1.53,2.93,z
0.38,-0.13,0.84,-0.55,1.10,2.81,z
0.36,-0.12,0.84,0.37,1.83,3.66,z
0.34,-0.12,0.83,2.08,3.60,3.42,z
0.34,-0.12,0.84,3.85,6.23,2.50,z
0.35,-0.12,0.85,4.94,7.75,3.30,z
0.37,-0.12,0.87,6.65,6.29,3.48,z
0.43,-0.12,0.92,11.54,5.31,6.65,z
0.50,-0.12,0.98,15.81,-0.18,7.75,z
0.52,-0.07,1.02,17.82,-9.34,21.85,z
0.51,-0.10,1.08,17.82,-18.19,40.59,z
0.50,-0.06,1.20,14.65,-28.08,48.40,z
0.53,-0.07,1.19,14.95,-31.31,50.78,z
0.54,-0.16,1.13,16.97,-41.81,57.43,z
0.43,-0.21,1.11,15.44,-55.54,68.30,z
0.35,-0.22,1.12,24.90,-63.48,84.53,z
0.33,-0.39,1.02,34.73,-78.74,84.41,z
0.20,-0.50,0.89,37.90,-86.61,57.01,z
-0.03,-0.65,0.73,45.72,-68.66,15.99,z
-0.08,-0.80,0.63,26.73,-65.37,-6.35,z
-0.09,-0.89,0.68,1.40,-61.46,-25.15,z
-0.00,-0.93,0.62,-14.77,-35.64,-40.34,z
-0.00,-0.89,0.60,-31.37,-25.39,-63.60,z
0.00,-0.92,0.53,-39.18,-7.39,-81.05,z
0.05,-0.90,0.51,-52.31,14.28,-90.82,z
0.13,-0.83,0.56,-71.17,33.39,-101.68,z
0.24,-0.56,0.63,-93.69,49.26,-108.03,z
0.42,-0.18,0.62,-95.83,55.05,-114.32,z
0.36,-0.09,0.64,-68.79,40.95,-123.17,z
0.34,-0.18,0.64,-63.90,44.80,-107.30,z
0.38,-0.03,0.59,-71.04,42.72,-79.47,z
0.38,0.16,0.61,-66.41,58.96,-47.55,z
0.49,0.29,0.57,-38.45,81.42,-29.79,z
0.50,0.35,0.58,-34.42,95.21,-20.75,z
0.58,0.66,0.65,-34.61,105.47,11.90,z
0.70,0.73,0.65,-23.32,88.68,36.50,z
0.74,0.89,0.81,-29.30,79.65,35.83,z
0.72,1.07,0.81,-6.23,70.86,12.70,z
0.74,0.74,0.81,10.99,31.49,-6.16,z
0.73,0.57,0.91,8.12,-2.32,-13.98,z
0.64,0.52,0.88,3.05,-15.63,-21.24,z
0.54,0.45,0.90,1.04,-14.16,-22.71,z
0.53,0.41,0.87,-1.89,-0.98,-9.58,z
0.54,0.38,0.91,-5.62,-3.36,8.54,z
0.59,0.38,0.86,-7.39,-8.06,25.09,z
0.62,0.38,0.83,-7.75,-28.99,24.11,z
0.58,0.35,0.83,-5.86,-36.38,13.73,z
0.55,0.38,0.82,-4.15,-24.17,7.93,z
