ax,ay,az,gx,gy,gz,label
0.17,0.03,0.96,-6.71,6.84,10.99,z
0.16,0.05,0.96,-4.15,5.80,10.80,z
0.16,0.08,0.97,0.49,3.72,10.31,z
0.13,0.05,0.99,8.30,1.53,10.62,z
0.10,-0.01,1.00,12.70,0.61,13.43,z
0.13,-0.09,1.03,12.02,1.22,20.94,z
0.17,-0.17,1.08,8.79,0.24,24.29,z
0.16,-0.22,1.11,5.55,-5.31,19.71,z
0.09,-0.33,1.09,4.09,-9.22,14.65,z
0.07,-0.42,1.08,-7.14,-6.59,21.00,z
0.12,-0.48,1.10,-19.71,-4.15,29.85,z
0.13,-0.53,1.06,-28.81,-4.58,28.69,z
0.12,-0.54,1.01,-36.93,-9.64,25.70,z
0.04,-0.57,0.91,-36.13,-15.26,17.15,z
-0.00,-0.70,0.82,-36.68,-14.53,11.23,z
0.22,-0.56,0.81,-76.66,-15.56,31.07,z
0.24,-0.22,0.85,-85.21,-26.31,0.18,z
0.20,-0.06,0.79,-69.70,-25.15,-32.17,z
0.13,0.01,0.66,-60.91,-16.60,-54.08,z
0.07,0.17,0.67,-67.26,-6.59,-23.25,z
0.10,0.24,0.65,-63.48,4.94,-0.61,z
0.16,0.40,0.67,-58.47,7.14,-8.48,z
0.04,0.47,0.65,-40.89,8.73,-41.02,z
-0.15,0.57,0.58,-28.20,54.87,-41.44,z
-0.25,0.57,0.43,-22.89,96.25,18.31,z
-0.10,0.64,0.47,-66.47,97.84,107.42,z
0.03,1.03,0.56,-75.74,103.45,106.63,z
0.05,1.04,0.63,-27.10,110.47,52.19,z
0.13,0.74,0.59,0.24,112.55,29.05,z
0.29,0.89,0.73,-21.12,87.46,51.39,z
0.28,1.06,0.76,-16.17,57.01,37.11,z
0.30,0.90,0.73,-9.70,42.79,25.27,z
0.39,0.91,0.81,-10.86,30.46,16.91,z
0.43,0.87,0.81,-5.80,13.43,5.49,z
0.45,0.89,0.78,-4.58,-8.18,-1.65,z
0.40,0.83,0.77,-0.37,-23.93,0.06,z
0.39,0.85,0.72,1.34,-32.47,2.20,z
0.45,0.85,0.70,10.56,-30.46,-7.51,z
0.45,0.83,0.69,25.02,-29.79,-25.51,z
0.40,0.84,0.63,35.52,-27.04,-24.29,z
0.46,0.73,0.54,40.34,-15.75,-16.85,z
0.54,0.60,0.48,29.30,-4.58,-27.53,z
0.49,0.66,0.56,18.01,7.08,-40.95,z
0.54,0.60,0.61,28.75,12.08,-42.48,z
0.51,0.51,0.68,36.62,-2.93,-41.32,z
0.31,0.44,0.64,42.60,-13.06,-34.36,z
0.09,0.43,0.76,37.17,-21.79,4.27,z
0.11,0.43,0.68,33.63,-17.88,51.76,z
0.19,0.42,0.69,46.69,-14.95,60.18,z
0.08,0.40,0.79,70.25,-11.96,39.18,z
0.10,0.23,0.71,88.75,0.55,27.59,z
0.22,0.06,0.63,92.59,-2.14,23.32,z
0.16,0.01,0.66,98.02,-4.70,6.35,z
0.21,-0.04,0.70,111.45,-5.00,-4.76,z
0.25,-0.23,0.64,128.78,-10.80,-28.63,z
0.15,-0.38,0.61,128.11,-12.82,-34.48,z
0.02,-0.46,0.69,109.99,-6.96,-8.06,z
-0.01,-0.55,0.77,109.44,2.44,32.96,z
0.08,-0.81,0.83,113.83,3.91,53.28,z
0.08,-0.97,0.91,97.53,11.84,37.23,z
0.10,-1.00,1.05,78.00,15.75,6.35,z
0.07,-1.03,1.10,51.88,24.48,-13.12,z
0.15,-0.98,1.13,24.11,27.71,-10.25,z
0.26,-0.83,1.18,-3.30,14.04,-10.38,z
0.25,-0.75,1.14,-15.56,-6.96,-8.48,z
0.26,-0.69,1.08,-26.79,-20.94,0.24,z
0.23,-0.70,1.02,-30.27,-23.44,0.24,z
0.23,-0.73,0.96,-35.03,-15.81,9.40,z
0.16,-0.66,0.95,-47.91,-16.48,10.80,z
0.10,-0.76,0.94,-54.32,-22.95,14.95,z
0.12,-0.73,0.94,-50.84,-20.45,22.77,z
0.20,-0.76,0.92,-43.88,-23.01,-16.30,z
0.19,-0.79,0.83,-39.92,-10.44,-49.32,z
0.19,-0.63,0.81,-82.58,-6.10,-53.04,z
0.22,-0.40,0.74,-103.39,-22.46,-62.07,z
0.11,-0.32,0.66,-96.50,-30.94,-89.66,z
0.02,-0.23,0.54,-90.21,-20.69,-102.72,z
-0.04,-0.13,0.49,-82.28,0.85,-102.54,z
0.06,0.08,0.50,-85.69,0.98,-83.74,z
0.07,0.12,0.50,-62.38,5.25,-86.12,z
0.11,0.09,0.55,-36.19,39.61,-117.55,z
0.49,0.09,0.69,-42.48,44.86,-106.87,z
0.38,0.39,0.67,-52.25,29.48,-105.77,z
0.17,0.54,0.66,-58.11,20.20,-88.32,z
0.24,0.50,0.78,-43.46,26.61,-27.95,z
0.46,0.49,0.83,-43.82,4.94,21.61,z
0.39,0.59,0.81,-37.72,5.80,17.03,z
0.37,0.60,0.88,-27.22,14.53,4.39,z
0.25,0.54,0.84,-26.61,14.28,35.71,z
0.32,0.69,0.90,-40.71,10.62,67.87,z
0.45,0.74,1.01,-4.33,45.65,5.49,z
0.43,0.60,1.00,21.67,56.46,-38.82,z
0.37,0.44,0.88,11.78,38.70,-2.08,z
0.34,0.51,0.91,-12.33,16.36,33.69,z
0.38,0.51,0.98,-8.97,14.10,16.05,z
0.34,0.41,0.95,6.16,17.15,-8.00,z
0.32,0.38,0.93,4.70,11.90,-2.93,z
0.34,0.31,0.95,1.59,4.76,5.49,z
0.32,0.31,0.94,-1.71,-1.40,10.56,z
0.29,0.25,0.91,3.48,-1.59,5.07,z
0.30,0.27,0.91,1.16,-3.72,6.23,z
0.31,0.26,0.91,5.37,-4.15,2.08,z
0.29,0.21,0.88,7.02,-6.10,1.34,z
0.26,0.23,0.87,4.64,-9.09,1.89,z
0.23,0.23,0.87,5.13,-6.35,0.31,z
0.22,0.21,0.85,4.76,-6.23,5.19,z
0.25,0.26,0.87,2.87,-6.16,5.80,z
0.20,0.19,0.85,5.62,-4.52,2.75,z
0.25,0.26,0.89,2.44,-3.54,5.98,z
0.23,0.23,0.88,4.21,-2.32,4.46,z
0.20,0.25,0.85,-1.53,-3.97,10.44,z
0.21,0.30,0.87,-0.37,-1.59,7.93,z
0.25,0.29,0.88,4.76,3.66,2.14,z
0.25,0.28,0.90,6.10,1.95,1.10,z
0.24,0.25,0.90,5.68,-0.31,1.77,z
