ax,ay,az,gx,gy,gz,label
0.38,-0.12,0.90,-14.83,0.79,2.56,o
0.39,-0.15,0.96,-11.05,2.14,5.74,o
0.46,-0.20,0.95,-10.31,-4.03,8.06,o
0.41,-0.18,0.97,-12.08,-9.89,3.17,o
0.33,-0.20,0.99,-6.59,-2.99,0.00,o
0.36,-0.28,0.96,4.09,7.51,6.77,o
0.46,-0.37,0.85,6.59,5.86,14.10,o
0.35,-0.31,0.87,10.62,0.55,23.99,o
0.30,-0.26,0.86,10.74,5.43,19.04,o
0.32,-0.37,0.68,25.51,22.09,18.86,o
0.45,-0.42,0.51,1.83,3.05,39.25,o
0.46,-0.22,0.71,-54.44,-23.68,39.25,o
0.55,-0.04,0.81,-39.92,-10.13,27.65,o
0.68,-0.08,0.69,-35.52,4.88,10.13,o
0.79,-0.02,0.60,-62.74,-5.92,3.17,o
0.78,0.18,0.71,-90.27,-15.99,-31.98,o
0.70,0.33,0.82,-90.33,-11.17,-69.40,o
0.61,0.28,0.67,-77.45,-11.35,-72.88,o
0.59,0.39,0.72,-94.48,-26.92,-68.85,o
0.58,0.43,0.75,-91.19,-35.89,-66.16,o
0.60,0.45,0.70,-92.35,-37.72,-79.04,o
0.61,0.49,0.74,-93.08,-41.87,-95.09,o
0.45,0.47,0.68,-90.15,-41.08,-113.59,o
0.40,0.42,0.58,-98.45,-46.08,-119.81,o
0.33,0.47,0.51,-115.17,-65.19,-114.38,o
0.17,0.59,0.77,-127.50,-72.69,-109.68,o
0.22,0.59,0.68,-109.68,-30.27,-109.92,o
0.24,0.64,0.68,-106.02,-31.37,-105.29,o
0.22,0.78,0.78,-101.75,-62.62,-94.54,o
0.20,0.83,0.82,-63.60,-57.98,-88.26,o
0.19,0.75,0.80,-34.91,-44.80,-88.81,o
0.32,0.61,0.61,-22.40,-33.33,-87.65,o
0.34,0.63,0.67,-36.25,-31.49,-91.55,o
0.26,0.69,0.66,-43.09,-1.53,-107.91,o
0.16,0.66,0.70,-33.75,13.73,-97.05,o
0.22,0.59,0.58,-15.63,-5.31,-59.51,o
0.26,0.69,0.66,-21.67,-38.45,-22.40,o
0.22,0.81,0.83,-2.26,-48.95,0.43,o
0.40,0.52,0.53,30.09,-10.74,-25.45,o
0.42,0.51,0.68,-3.54,11.17,-43.76,o
0.34,0.53,0.78,17.46,0.43,-39.00,o
0.32,0.38,0.64,15.63,-1.34,-53.89,o
0.21,0.46,0.86,-2.50,-22.09,-23.93,o
0.15,0.46,0.91,11.17,-1.28,-10.68,o
0.17,0.42,0.99,8.91,15.01,-2.50,o
0.21,0.37,1.01,30.21,6.96,24.60,o
0.28,0.28,0.93,37.48,20.14,34.24,o
0.32,0.23,0.96,35.16,33.69,38.09,o
0.34,0.22,0.89,45.96,43.52,47.30,o
0.28,0.19,0.83,52.73,34.55,61.04,o
0.30,0.26,0.85,58.78,30.88,79.65,o
0.31,0.22,0.88,65.12,33.02,78.49,o
0.22,0.19,0.88,67.75,47.85,72.63,o
0.12,0.25,0.94,73.30,58.96,94.85,o
0.10,0.28,0.85,95.28,35.64,141.24,o
0.25,0.30,0.83,97.90,34.97,170.04,o
0.28,0.31,0.97,89.11,60.79,162.54,o
0.37,0.33,1.05,102.23,55.79,171.02,o
0.44,0.19,1.04,130.98,3.85,185.79,o
0.55,0.03,0.86,131.41,-17.40,195.37,o
0.48,-0.02,0.96,93.26,3.48,168.52,o
0.45,0.18,1.01,87.95,13.31,147.95,o
0.42,-0.05,0.80,114.50,-17.64,138.12,o
0.39,-0.14,0.82,85.94,-20.87,144.96,o
0.34,0.02,1.00,65.80,4.70,141.05,o
0.39,-0.20,0.76,72.02,-24.11,118.77,o
0.58,-0.27,0.66,56.52,-53.34,125.98,o
0.48,-0.04,0.88,-2.38,-43.70,97.35,o
0.31,0.13,1.16,-8.12,13.18,60.42,o
0.60,-0.09,0.71,22.64,9.16,48.16,o
0.59,0.04,0.90,-19.78,-29.85,30.70,o
0.28,0.16,1.07,-8.61,-36.07,32.59,o
0.34,0.15,0.90,7.14,-10.31,43.03,o
0.44,0.07,0.78,4.52,-13.31,33.39,o
0.32,0.11,0.83,-25.63,-31.98,-2.32,o
0.24,0.21,0.88,-32.78,-31.31,-12.27,o
0.24,0.25,0.94,-25.33,-22.71,1.89,o
0.35,0.25,0.86,-4.76,-18.68,7.26,o
0.27,0.26,0.78,-13.24,-34.61,-26.25,o
0.19,0.33,0.82,-30.15,-35.83,-49.44,o
0.26,0.33,0.86,-29.48,-10.56,-63.60,o
0.34,0.34,0.82,-30.27,10.62,-97.11,o
0.30,0.31,0.74,-35.77,13.18,-130.74,o
0.27,0.36,0.76,-49.87,15.63,-149.17,o
0.23,0.49,0.79,-57.74,21.36,-151.55,o
0.11,0.65,0.85,-75.81,36.56,-160.03,o
0.04,0.59,0.89,-59.63,41.69,-147.09,o
-0.04,0.54,0.78,-46.69,29.24,-106.57,o
-0.15,0.57,0.91,-44.31,13.61,-66.53,o
0.17,0.48,0.90,-24.35,-71.17,-12.27,o
0.04,0.45,0.76,-15.50,-50.17,-36.68,o
-0.13,0.42,0.95,-27.10,-7.51,-32.47,o
0.02,0.31,0.88,-2.38,23.07,-24.78,o
0.10,0.27,0.84,-7.39,11.90,-10.62,o
0.14,0.36,0.91,-13.18,-9.40,0.73,o
0.19,0.38,0.92,-4.52,-11.35,3.72,o
0.22,0.34,0.91,1.34,-0.55,2.44,o
0.23,0.34,0.89,3.17,10.93,-0.61,o
0.22,0.33,0.89,4.88,13.61,-0.24,o
0.26,0.28,0.84,7.39,5.86,6.84,o
0.25,0.29,0.88,2.08,-0.98,8.06,o
0.24,0.31,0.88,4.52,-1.77,8.06,o
0.24,0.29,0.86,7.51,2.99,4.15,o
0.21,0.30,0.90,6.65,6.41,1.83,o
0.24,0.26,0.86,11.47,8.67,2.32,o
0.25,0.24,0.86,4.76,2.69,2.38,o
0.24,0.24,0.87,5.37,2.56,0.73,o
0.22,0.26,0.88,5.00,4.39,2.14,o
0.24,0.25,0.88,4.82,6.23,3.05,o
0.25,0.24,0.86,4.58,6.47,2.75,o
0.27,0.25,0.85,2.69,4.21,3.05,o
0.24,0.25,0.86,0.92,10.38,-0.55,o
0.27,0.24,0.85,1.16,7.69,1.83,o
0.26,0.26,0.87,-3.11,1.04,1.10,o
0.25,0.28,0.88,-2.69,1.53,-1.34,o
