ax,ay,az,gx,gy,gz,label
0.10,-0.04,0.94,-1.40,19.71,15.32,o
0.10,-0.01,0.96,-3.05,17.70,16.85,o
0.13,-0.02,0.97,0.85,21.06,16.30,o
0.14,-0.02,0.95,1.22,20.94,14.34,o
0.14,-0.03,0.96,2.69,18.86,16.24,o
0.19,-0.05,0.96,3.48,18.74,17.03,o
0.24,-0.10,0.96,4.64,21.12,15.93,o
0.32,-0.16,0.98,0.61,18.92,11.66,o
0.40,-0.17,1.05,-3.72,10.80,11.66,o
0.49,-0.19,1.09,-2.69,4.64,8.24,o
0.55,-0.23,1.09,-4.09,1.77,-2.93,o
0.59,-0.22,1.10,-5.37,-5.55,-10.86,o
0.58,-0.17,1.00,-8.30,-7.75,-27.53,o
0.51,-0.06,0.98,-17.33,-12.39,-37.35,o
0.51,0.08,1.00,-16.97,-23.32,-34.24,o
0.52,0.14,0.87,-8.00,-24.23,-44.01,o
0.47,0.24,0.80,-13.92,-32.53,-49.13,o
0.39,0.36,0.81,-18.68,-42.36,-50.11,o
0.29,0.46,0.82,-11.84,-52.98,-50.29,o
0.16,0.41,0.69,3.78,-49.19,-60.61,o
0.04,0.42,0.58,-7.39,-35.64,-81.60,o
-0.16,0.47,0.69,-14.71,-30.70,-86.67,o
-0.25,0.46,0.63,-4.70,-19.47,-88.44,o
-0.32,0.41,0.66,-2.93,-6.04,-89.90,o
-0.21,0.26,0.63,-0.55,1.34,-79.35,o
-0.13,0.25,0.62,-10.31,6.35,-85.57,o
-0.19,0.44,0.76,-22.95,32.35,-123.84,o
-0.39,0.35,0.88,-16.42,94.73,-176.09,o
-0.46,0.13,0.83,-13.12,54.93,-92.10,o
-0.32,0.40,0.95,-15.87,-1.04,-33.51,o
-0.19,0.44,1.16,9.46,9.64,-36.01,o
-0.15,0.18,0.99,23.56,28.87,-27.59,o
-0.12,0.07,0.94,5.92,9.70,0.43,o
0.00,0.11,0.99,-3.42,-20.45,27.47,o
-0.08,0.13,1.09,-5.49,-20.14,33.87,o
-0.05,-0.00,0.98,12.08,-0.49,42.79,o
0.18,-0.06,0.81,4.21,-3.97,47.06,o
-0.03,-0.15,0.96,-22.03,0.73,28.02,o
0.02,0.01,1.01,-31.86,20.20,27.71,o
0.01,0.11,1.06,-30.58,41.44,10.13,o
0.08,-0.05,0.91,-14.10,40.95,8.54,o
0.04,0.10,0.97,-38.82,30.52,-3.30,o
-0.14,0.46,1.34,-36.93,49.56,-20.75,o
-0.02,0.24,1.12,36.25,82.95,-9.52,o
0.08,-0.02,0.75,45.35,63.66,12.88,o
-0.03,0.09,0.82,2.99,54.75,19.10,o
-0.11,0.34,1.37,-8.73,74.40,42.60,o
0.06,0.19,1.14,66.22,88.13,89.11,o
0.29,-0.04,0.84,72.27,89.60,102.97,o
0.25,-0.04,0.97,47.30,95.34,101.50,o
0.37,0.06,1.09,58.29,108.15,110.66,o
0.54,-0.12,1.06,86.43,124.94,103.58,o
0.89,-0.42,0.70,100.71,111.27,94.79,o
0.89,-0.45,0.85,68.48,77.15,56.58,o
0.77,-0.65,0.54,78.86,122.62,30.15,o
1.31,-0.58,0.46,35.16,64.15,107.79,o
1.68,-0.36,0.86,12.21,2.50,113.77,o
1.50,-0.38,0.70,43.58,-32.17,67.93,o
0.99,-0.25,0.50,38.88,-55.97,14.65,o
0.80,-0.23,0.35,36.80,0.85,7.69,o
1.00,-0.11,0.32,11.72,-5.07,33.02,o
0.90,0.06,0.48,1.83,-27.16,44.37,o
0.94,0.04,0.29,24.17,-39.55,60.24,o
1.13,0.26,0.30,3.11,-67.69,64.09,o
1.05,0.41,0.44,-15.56,-65.92,35.83,o
0.87,0.52,0.56,-10.19,-71.23,10.31,o
0.68,0.50,0.51,-0.61,-66.47,-13.67,o
0.56,0.46,0.58,-1.28,-78.43,-16.54,o
0.50,0.37,0.57,5.43,-84.72,-20.14,o
0.26,0.39,0.56,-0.73,-87.46,-31.19,o
0.04,0.28,0.67,2.56,-84.96,-26.06,o
0.03,0.24,0.64,12.02,-96.13,-10.68,o
-0.11,0.23,0.69,11.54,-104.68,-4.94,o
-0.13,0.15,0.72,10.93,-91.25,-4.15,o
-0.46,0.09,0.76,-1.34,-75.38,-13.37,o
