ax,ay,az,gx,gy,gz,label
-0.02,0.24,0.99,18.55,23.13,24.66,o
-0.00,0.21,1.03,25.33,30.33,28.20,o
0.07,0.18,1.09,29.97,35.52,32.96,o
0.14,0.11,1.15,38.02,40.59,25.70,o
0.25,-0.00,1.15,42.91,41.56,25.76,o
0.35,-0.05,1.16,38.45,33.20,28.69,o
0.36,-0.10,1.15,40.65,24.66,30.52,o
0.37,-0.22,1.05,41.63,19.90,26.55,o
0.39,-0.32,0.96,28.08,9.28,17.33,o
0.39,-0.29,0.94,13.49,-2.56,9.64,o
0.40,-0.32,0.87,10.07,-6.71,1.46,o
0.41,-0.31,0.82,-0.43,-14.22,-3.85,o
0.39,-0.09,0.85,-15.20,-24.41,-14.16,o
0.32,0.00,0.78,-11.47,-15.63,-45.53,o
0.28,0.07,0.72,-14.28,-7.32,-44.37,o
0.38,0.14,0.71,-27.77,-17.27,-29.05,o
0.38,0.21,0.71,-22.89,-27.47,-31.13,o
0.33,0.19,0.59,-20.63,-30.70,-50.05,o
0.26,0.31,0.65,-37.54,-42.85,-32.84,o
0.17,0.40,0.68,-28.08,-50.29,-38.88,o
0.08,0.38,0.69,-19.17,-61.46,-31.74,o
0.05,0.36,0.70,-13.49,-61.71,-30.70,o
-0.01,0.36,0.66,-4.15,-47.00,-57.56,o
-0.09,0.40,0.70,-1.95,-23.93,-82.95,o
-0.06,0.27,0.56,-10.56,20.51,-111.15,o
-0.01,0.36,0.62,-23.86,-12.08,-87.16,o
-0.10,0.59,0.77,-31.31,-18.92,-86.67,o
-0.10,0.52,0.77,-15.38,-16.66,-81.91,o
-0.15,0.50,0.79,-13.73,-17.94,-71.23,o
-0.30,0.56,0.88,-7.39,-12.76,-62.19,o
-0.23,0.47,0.89,1.77,-6.35,-40.83,o
0.01,0.40,0.89,4.58,-6.47,-28.69,o
-0.12,0.53,0.98,4.52,4.03,-57.56,o
-0.15,0.32,0.91,16.91,8.48,-46.57,o
-0.00,0.34,0.91,10.31,-4.70,-19.65,o
0.01,0.40,0.82,8.06,-14.71,-31.01,o
-0.25,0.33,0.81,4.27,-17.64,-38.33,o
-0.30,0.26,0.79,2.93,-13.55,-6.47,o
-0.12,0.31,0.82,-6.84,-6.53,-5.37,o
-0.28,0.31,0.93,-11.66,2.81,-29.66,o
-0.27,0.32,0.97,-14.16,8.12,-16.78,o
-0.13,0.33,1.01,-12.63,11.54,-22.58,o
-0.15,0.33,0.98,-14.83,15.56,-33.08,o
-0.19,0.31,1.00,-20.02,12.51,-24.23,o
-0.09,0.30,0.93,-28.20,-0.49,-26.79,o
-0.16,0.37,1.02,-41.32,-11.47,-38.27,o
-0.21,0.50,1.17,-38.88,7.69,-60.36,o
-0.07,0.57,1.14,-17.09,29.66,-77.09,o
-0.06,0.60,1.06,5.19,34.85,-80.69,o
-0.13,0.38,0.96,20.02,32.78,-63.60,o
-0.07,0.38,0.97,9.83,28.93,-26.31,o
0.02,0.48,1.02,18.68,30.70,-1.46,o
0.07,0.34,0.97,45.96,34.12,5.80,o
0.07,0.26,0.98,57.19,38.39,0.49,o
0.08,0.22,0.98,72.63,41.20,3.11,o
0.03,0.10,0.95,94.24,36.25,20.45,o
0.05,-0.13,0.85,98.51,37.84,29.91,o
0.15,-0.17,0.94,80.08,29.36,37.96,o
0.20,-0.15,1.06,71.53,18.07,59.75,o
0.20,-0.20,1.04,71.59,12.70,70.86,o
0.12,-0.21,0.99,72.45,14.40,54.93,o
0.13,-0.26,1.02,75.56,15.75,45.72,o
0.14,-0.42,0.92,59.88,14.16,60.73,o
0.11,-0.32,1.00,24.41,-4.46,88.26,o
0.08,-0.28,1.01,37.35,-2.26,69.46,o
0.24,-0.44,0.96,42.79,8.36,59.69,o
0.32,-0.48,0.97,32.84,1.77,69.21,o
0.26,-0.46,0.93,19.90,-2.32,49.87,o
0.21,-0.37,0.96,17.27,5.13,45.04,o
0.39,-0.56,0.82,26.61,13.73,42.30,o
0.50,-0.70,0.71,18.80,9.70,45.41,o
0.42,-0.36,0.82,-32.90,-4.27,29.66,o
0.37,-0.20,0.94,-12.02,7.26,32.10,o
0.60,-0.50,0.68,5.80,7.51,27.83,o
0.58,-0.50,0.62,-20.20,-11.47,20.14,o
0.44,-0.23,0.74,-52.00,-12.57,12.27,o
0.41,-0.18,0.72,-34.79,7.39,5.25,o
0.61,-0.30,0.67,-37.35,7.57,-3.42,o
0.65,-0.22,0.65,-80.63,-11.29,-3.05,o
0.49,0.16,0.77,-84.23,-22.28,9.22,o
0.39,0.18,0.75,-58.65,-16.36,9.34,o
0.28,0.12,0.65,-56.40,-29.85,31.25,o
0.18,0.39,0.67,-60.12,-23.50,55.79,o
0.13,0.52,0.73,-42.24,-19.84,63.48,o
0.24,0.34,0.72,-12.15,-5.31,69.70,o
0.30,0.31,0.75,-14.89,-4.39,53.04,o
0.16,0.43,0.83,-13.43,-10.07,27.34,o
0.09,0.31,0.74,1.71,-9.22,23.50,o
0.10,0.31,0.77,-7.45,-23.13,35.10,o
