ax,ay,az,gx,gy,gz,label
0.33,-0.17,0.88,-0.73,2.99,3.23,o
0.31,-0.18,0.88,-0.49,2.99,4.21,o
0.27,-0.18,0.90,-1.10,2.56,7.02,o
0.29,-0.19,0.90,0.98,5.00,12.63,o
0.34,-0.23,0.90,-1.77,7.51,15.75,o
0.35,-0.23,0.92,-4.39,13.06,17.64,o
0.46,-0.27,0.90,-7.57,20.08,20.81,o
0.56,-0.29,0.88,-11.05,19.71,19.04,o
0.60,-0.28,0.83,-17.27,15.87,12.21,o
0.52,-0.15,1.01,-22.09,14.04,8.73,o
0.72,-0.19,0.85,-5.49,-3.97,8.54,o
0.81,-0.19,0.88,-13.67,-24.05,-9.03,o
0.85,-0.20,0.84,-16.97,-30.15,-42.85,o
0.58,-0.08,0.72,-31.31,-14.71,-80.75,o
0.46,0.08,0.84,-49.80,4.46,-88.68,o
0.65,0.04,0.70,-45.17,-5.49,-87.89,o
0.67,-0.08,0.65,-63.17,-0.06,-118.53,o
0.50,0.08,0.67,-91.25,10.13,-151.67,o
0.33,0.31,0.81,-103.27,9.34,-160.22,o
0.29,0.42,0.92,-91.61,-2.14,-140.38,o
0.36,0.34,0.81,-66.77,-5.00,-129.39,o
0.37,0.33,0.73,-60.24,4.94,-141.60,o
0.26,0.34,0.57,-65.25,15.26,-146.97,o
0.20,0.41,0.68,-80.32,-3.54,-123.84,o
0.19,0.40,0.81,-57.56,-35.16,-99.67,o
0.20,0.30,0.70,-53.53,-12.76,-99.37,o
0.23,0.33,0.85,-64.51,18.62,-102.84,o
0.23,0.34,0.87,-62.50,29.24,-95.83,o
0.23,0.33,0.89,-58.23,9.95,-75.56,o
0.20,0.32,0.95,-54.44,-4.82,-67.75,o
0.14,0.33,0.97,-49.44,-5.55,-66.16,o
0.14,0.35,0.99,-39.37,2.38,-52.12,o
0.27,0.33,0.92,-24.11,7.51,-39.55,o
0.39,0.26,0.78,-22.03,3.97,-43.15,o
0.32,0.22,0.78,-34.67,-2.26,-53.65,o
