ax,ay,az,gx,gy,gz,label
0.09,0.01,0.97,4.64,2.26,11.05,o
0.10,-0.01,0.96,6.35,2.93,9.95,o
0.09,-0.00,0.97,7.75,5.43,8.79,o
0.10,-0.06,1.02,9.09,10.31,10.74,o
0.14,-0.12,1.08,7.87,12.82,14.04,o
0.27,-0.18,1.17,9.34,14.53,14.22,o
0.35,-0.27,1.16,15.01,14.04,6.59,o
0.38,-0.33,1.12,15.56,11.41,-2.81,o
0.39,-0.42,1.07,4.64,0.85,-7.20,o
0.31,-0.46,0.94,-10.07,-6.35,-23.07,o
0.24,-0.37,0.89,-33.14,-9.52,-32.35,o
0.16,-0.28,0.89,-37.66,-8.79,-22.34,o
0.29,-0.20,0.80,-25.39,-5.19,-4.76,o
0.28,-0.14,0.69,-33.02,-13.98,-6.53,o
0.23,-0.01,0.68,-41.44,-15.75,-16.48,o
0.26,0.04,0.62,-44.07,-7.08,-17.21,o
0.27,0.23,0.60,-58.29,-3.85,11.78,o
0.43,0.35,0.67,-62.62,-14.89,40.83,o
0.40,0.43,0.64,-45.59,-21.36,24.72,o
0.13,0.40,0.50,-48.28,-40.53,15.14,o
0.11,0.48,0.55,-61.83,-50.84,28.14,o
0.11,0.53,0.61,-64.03,-54.99,22.46,o
-0.02,0.61,0.54,-53.34,-51.39,-6.16,o
-0.15,0.57,0.47,-49.68,-40.89,-33.51,o
-0.30,0.67,0.49,-58.72,-34.42,-38.02,o
-0.38,0.71,0.54,-56.95,-17.33,-26.98,o
-0.30,0.82,0.60,-52.06,-0.67,-19.59,o
-0.19,0.79,0.82,-45.59,8.91,-31.56,o
-0.23,0.88,0.90,-35.46,0.12,-39.06,o
-0.34,0.78,0.88,-18.86,-9.46,-19.78,o
-0.30,0.66,0.93,-22.52,-19.65,-2.44,o
-0.24,0.71,0.90,-19.23,-23.07,-2.08,o
-0.15,0.69,0.89,-5.55,-19.78,-23.68,o
-0.56,0.53,0.86,-4.94,-6.47,-23.80,o
-0.38,0.59,0.92,-12.76,0.06,9.40,o
-0.15,0.78,1.00,-3.54,-3.30,-0.61,o
-0.35,0.68,1.07,19.84,14.47,-35.28,o
-0.34,0.65,0.97,32.17,46.94,-42.05,o
-0.05,0.63,1.03,37.90,58.65,-37.11,o
0.21,0.54,0.85,44.37,52.98,-62.01,o
-0.28,0.76,0.93,30.21,43.09,-107.85,o
-0.22,0.60,0.88,59.63,67.63,-80.63,o
0.01,0.33,0.85,68.79,74.04,-31.13,o
0.27,0.34,0.84,53.22,54.26,-6.23,o
0.24,0.43,0.88,58.96,42.42,-26.79,o
0.13,0.37,0.88,91.49,55.66,-47.91,o
0.12,0.07,0.90,111.88,55.05,-16.42,o
0.18,-0.11,0.83,104.37,35.52,30.46,o
0.12,-0.16,0.88,81.24,23.19,30.94,o
0.09,-0.07,1.03,77.03,25.76,23.44,o
0.30,-0.25,1.00,87.89,28.02,41.93,o
0.33,-0.37,0.97,67.26,19.35,44.49,o
0.24,-0.31,1.03,39.73,1.28,39.12,o
0.27,-0.12,1.11,39.43,-6.23,31.74,o
0.33,-0.25,1.04,61.95,-4.94,21.67,o
0.29,-0.51,0.89,55.18,-9.77,19.29,o
0.14,-0.36,0.87,26.79,-11.11,22.64,o
0.19,-0.33,0.99,25.70,3.36,33.63,o
0.31,-0.58,0.87,12.51,11.72,36.68,o
0.33,-0.46,0.75,-25.33,3.05,37.72,o
0.27,-0.27,0.82,-41.20,6.29,39.55,o
0.33,-0.25,0.70,-26.00,31.56,38.27,o
0.37,-0.32,0.61,-23.80,70.31,29.48,o
0.54,-0.24,0.52,-33.94,104.80,67.08,o
0.97,-0.09,0.58,-42.72,102.11,98.69,o
1.18,-0.07,0.63,-44.56,62.19,78.55,o
1.11,0.08,0.70,-50.66,11.35,37.60,o
0.84,0.24,0.62,-34.79,-11.23,-3.78,o
0.57,0.16,0.58,-25.39,-17.33,0.85,o
0.49,0.12,0.65,-25.57,-18.68,37.60,o
0.34,0.24,0.72,-33.87,-38.45,68.42,o
0.30,0.32,0.66,-6.35,-30.27,86.79,o
0.32,0.17,0.65,-1.10,-15.87,103.52,o
0.43,0.25,0.61,-3.91,-14.77,116.88,o
0.40,0.39,0.58,-4.09,-11.11,87.16,o
0.31,0.48,0.64,-10.62,-8.97,47.12,o
0.28,0.46,0.74,-11.78,-10.01,62.19,o
0.24,0.63,0.80,-16.05,-22.52,69.95,o
0.18,0.60,0.82,-4.21,-28.75,51.51,o
0.11,0.44,0.80,6.53,-18.37,43.76,o
0.10,0.35,0.81,5.25,-11.54,48.83,o
0.17,0.39,0.86,0.73,-8.97,50.23,o
0.15,0.49,0.96,-5.68,-15.75,24.11,o
0.05,0.48,0.94,1.04,-13.55,-5.49,o
-0.05,0.46,0.92,-0.06,-13.37,6.47,o
0.03,0.48,0.97,0.18,-14.34,28.87,o
0.11,0.46,0.97,8.85,-10.44,29.91,o
0.12,0.42,0.97,9.58,-10.62,10.50,o
-0.00,0.45,0.96,10.38,-9.22,-8.12,o
-0.01,0.39,0.95,12.02,-6.35,0.85,o
0.04,0.37,0.93,9.34,-9.22,13.31,o
0.03,0.32,0.92,7.81,-9.46,9.22,o
0.04,0.31,0.90,6.65,-6.53,7.45,o
0.07,0.28,0.87,7.14,-0.92,1.95,o
0.06,0.30,0.87,2.56,1.83,1.34,o
0.10,0.33,0.91,0.92,1.16,5.19,o
0.12,0.34,0.88,1.95,2.44,4.88,o
0.16,0.35,0.89,3.30,3.85,-2.44,o
0.16,0.33,0.89,7.02,5.80,-4.94,o
0.15,0.29,0.88,7.57,2.75,0.92,o
0.15,0.27,0.85,7.20,0.12,3.30,o
0.11,0.29,0.87,5.19,0.73,0.49,o
0.12,0.27,0.87,5.68,5.68,4.76,o
0.18,0.26,0.87,3.11,8.00,6.29,o
0.19,0.32,0.90,-1.83,4.03,0.18,o
0.13,0.33,0.90,0.55,3.54,-2.38,o
0.15,0.32,0.89,1.83,0.98,4.15,o
0.16,0.32,0.90,2.87,-1.46,4.27,o
0.12,0.32,0.88,5.98,0.24,-2.38,o
0.07,0.30,0.87,6.77,2.08,-3.23,o
0.07,0.29,0.87,5.74,2.32,4.58,o
0.08,0.29,0.88,3.60,2.81,6.29,o
0.09,0.28,0.90,2.81,4.88,4.39,o
0.12,0.28,0.88,3.11,5.92,2.81,o
0.11,0.28,0.88,1.40,4.46,-0.85,o
