ax,ay,az,gx,gy,gz,label
0.18,0.14,0.88,7.39,30.76,19.23,o
0.15,0.12,0.92,5.37,28.32,19.23,o
0.15,0.09,0.97,8.30,25.70,24.90,o
0.14,0.01,1.03,8.24,21.91,27.40,o
0.21,-0.02,1.03,11.23,21.61,29.17,o
0.29,-0.05,1.11,9.16,21.00,22.34,o
0.31,-0.10,1.08,7.69,23.07,3.30,o
0.33,-0.07,1.05,-5.49,20.69,-3.42,o
0.33,0.06,1.08,-10.25,17.46,5.07,o
0.45,0.04,1.00,0.49,21.06,6.10,o
0.65,0.02,1.02,-6.65,6.84,7.81,o
0.69,0.09,1.03,-9.58,-12.39,-6.90,o
0.56,0.11,0.89,-5.07,-21.00,-31.92,o
0.50,0.09,0.78,-8.48,-32.35,-21.97,o
0.50,0.09,0.74,-15.32,-46.75,-10.93,o
0.35,0.15,0.63,-15.08,-46.02,-33.26,o
0.28,0.16,0.55,-16.42,-45.04,-41.08,o
0.30,0.32,0.66,-34.48,-58.84,-24.66,o
0.18,0.40,0.66,-21.79,-63.66,-20.08,o
0.12,0.32,0.59,-10.62,-62.62,-26.18,o
0.13,0.32,0.59,-17.21,-66.53,-26.06,o
0.07,0.48,0.67,-20.20,-70.31,-38.09,o
0.04,0.44,0.63,-5.43,-63.78,-53.28,o
-0.01,0.43,0.58,0.12,-18.25,-91.25,o
-0.26,0.44,0.60,-18.55,-33.75,-93.32,o
-0.39,0.54,0.67,-22.03,-45.72,-57.98,o
-0.33,0.50,0.68,-7.87,-48.58,-32.10,o
-0.35,0.52,0.76,-9.70,-30.27,-38.09,o
-0.41,0.52,0.79,2.50,-3.54,-40.04,o
-0.34,0.44,0.79,3.97,1.95,-18.01,o
-0.17,0.47,0.88,1.22,1.28,-23.68,o
-0.21,0.54,0.94,7.39,9.77,-35.28,o
-0.18,0.48,0.88,16.78,12.39,-28.56,o
-0.18,0.40,0.87,19.47,16.66,-28.08,o
-0.09,0.37,0.89,12.63,13.00,-24.66,o
-0.09,0.48,0.93,9.89,14.59,-37.90,o
-0.16,0.46,0.97,17.03,20.02,-44.07,o
-0.11,0.38,0.95,20.02,10.86,-24.41,o
-0.14,0.43,0.86,16.48,2.08,-24.41,o
-0.27,0.39,0.95,16.30,1.53,-26.61,o
-0.16,0.37,0.97,21.12,13.79,-14.10,o
-0.05,0.32,0.89,21.06,13.43,-24.72,o
-0.23,0.23,0.93,15.63,4.64,-27.10,o
-0.19,0.22,0.97,7.87,0.85,-2.32,o
0.00,0.24,0.88,7.02,5.98,-7.02,o
-0.11,0.13,0.92,4.76,7.93,-31.01,o
-0.20,0.15,1.00,-7.93,12.51,-30.40,o
-0.09,0.33,1.01,-4.88,9.89,-16.24,o
-0.04,0.29,0.94,15.93,22.34,-21.91,o
-0.16,0.09,0.96,14.10,29.36,-19.41,o
-0.12,0.16,1.01,6.77,30.33,-14.65,o
-0.00,0.36,1.07,15.26,30.46,-22.03,o
-0.08,0.27,1.06,40.53,43.46,-28.26,o
-0.01,0.16,0.94,49.62,49.13,-14.10,o
0.12,0.15,0.95,48.28,44.68,1.22,o
0.19,0.07,0.94,52.06,41.63,2.20,o
0.19,0.03,0.93,53.96,39.06,5.07,o
0.17,-0.01,0.93,55.85,37.90,7.75,o
0.15,-0.13,0.91,61.34,31.62,17.82,o
0.07,-0.28,0.91,57.43,38.21,12.15,o
0.10,-0.23,1.00,43.58,37.05,7.57,o
0.29,-0.24,1.02,53.16,25.09,15.20,o
0.33,-0.44,0.91,52.98,19.65,13.61,o
0.24,-0.36,0.91,26.73,13.12,13.37,o
0.14,-0.19,1.05,24.66,11.05,11.54,o
0.22,-0.36,0.96,35.71,19.53,9.40,o
0.26,-0.42,0.91,11.11,16.72,16.60,o
0.21,-0.26,0.99,-4.03,0.43,27.34,o
0.17,-0.15,1.10,11.41,0.85,23.44,o
0.23,-0.36,0.94,32.71,12.88,7.87,o
0.25,-0.47,0.86,17.64,10.99,0.00,o
0.10,-0.30,0.95,0.67,7.20,16.05,o
0.13,-0.31,0.94,10.99,12.88,45.53,o
0.31,-0.44,0.87,12.15,14.10,52.25,o
0.36,-0.39,0.85,-5.25,8.00,45.04,o
0.25,-0.19,1.01,-1.71,8.18,39.61,o
0.30,-0.38,0.87,22.16,25.33,44.68,o
0.42,-0.52,0.75,6.53,15.81,62.50,o
0.46,-0.32,0.84,-8.18,0.98,52.19,o
0.41,-0.26,0.83,16.60,16.48,37.41,o
0.58,-0.49,0.71,16.66,17.94,43.76,o
0.57,-0.40,0.72,-8.00,-1.28,53.65,o
0.51,-0.20,0.80,-4.88,-4.46,54.32,o
0.50,-0.32,0.70,8.79,6.90,49.74,o
0.62,-0.39,0.64,-2.81,-0.12,59.75,o
0.68,-0.27,0.70,-20.08,-11.66,53.47,o
0.64,-0.15,0.71,-16.48,-12.08,31.25,o
0.54,-0.16,0.67,-16.60,-4.64,25.33,o
0.55,-0.12,0.69,-24.11,-6.04,35.22,o
0.69,-0.09,0.73,-24.78,-19.65,33.14,o
0.56,-0.01,0.72,-23.62,-31.37,25.21,o
0.46,0.01,0.69,-18.92,-36.68,36.99,o
0.37,0.08,0.67,-12.82,-39.18,45.41,o
0.33,0.08,0.67,-4.76,-37.66,54.81,o
0.37,0.11,0.73,-11.84,-42.30,61.46,o
0.33,0.21,0.81,-17.46,-46.02,43.95,o
0.09,0.25,0.72,-4.33,-54.87,37.17,o
0.16,0.11,0.75,-11.41,-81.18,70.68,o
0.11,0.18,0.90,-20.81,-84.96,74.22,o
-0.03,0.32,0.97,-14.71,-77.82,50.17,o
-0.24,0.29,0.95,-1.46,-54.26,32.53,o
-0.25,0.26,1.00,2.08,-34.48,48.16,o
-0.21,0.17,0.98,18.98,-24.96,35.83,o
-0.22,0.12,0.99,13.24,-14.77,21.00,o
-0.27,0.14,0.98,8.12,-6.59,9.52,o
-0.35,0.05,0.90,-0.55,-0.49,-0.31,o
-0.28,0.09,0.92,-9.16,-19.53,18.25,o
-0.21,0.17,1.01,-13.92,-24.11,20.81,o
-0.26,0.23,0.99,-7.14,-15.08,6.16,o
-0.26,0.17,0.91,1.28,-0.85,-0.18,o
-0.15,0.11,0.93,-1.83,-4.94,9.46,o
-0.15,0.14,0.97,-4.64,-6.53,4.21,o
-0.15,0.14,0.93,0.61,-4.64,1.04,o
-0.13,0.12,0.92,0.24,-2.99,3.17,o
-0.12,0.10,0.96,-0.73,-5.74,10.99,o
