ax,ay,az,gx,gy,gz,label
0.29,-0.09,0.93,-14.83,-3.11,3.66,o
0.27,-0.13,0.94,-11.84,-2.01,12.15,o
0.29,-0.19,0.96,-9.58,-2.99,18.31,o
0.26,-0.25,0.99,-10.62,-1.77,18.68,o
0.22,-0.30,0.98,-9.40,0.73,25.63,o
0.23,-0.32,0.97,-8.61,-3.48,48.71,o
0.29,-0.26,0.94,-15.87,-7.87,51.39,o
0.27,-0.22,0.87,-17.58,-7.26,49.56,o
0.33,-0.19,0.82,-20.08,-3.30,54.08,o
0.42,-0.10,0.82,-22.58,-7.32,60.00,o
0.51,-0.03,0.76,-19.10,-14.83,52.43,o
0.53,0.02,0.80,-34.61,-10.38,34.67,o
0.58,0.06,0.79,-40.59,-7.63,34.61,o
0.56,0.12,0.78,-56.21,-29.30,46.39,o
0.48,0.22,0.82,-60.55,-55.30,52.86,o
0.41,0.29,0.82,-52.49,-55.54,37.96,o
0.35,0.35,0.77,-51.76,-41.14,9.03,o
0.19,0.42,0.83,-58.23,-22.58,-9.95,o
0.22,0.48,0.86,-48.77,-17.46,0.55,o
0.23,0.48,0.95,-40.65,-20.87,3.66,o
0.28,0.32,0.91,-20.81,-16.91,0.06,o
0.46,0.23,0.76,-15.32,-8.48,-18.31,o
0.48,0.18,0.75,-29.85,0.18,-61.10,o
0.49,0.18,0.67,-56.21,-5.55,-75.26,o
0.46,0.37,0.66,-68.42,-9.28,-94.48,o
0.37,0.49,0.70,-64.51,-11.60,-97.53,o
0.48,0.60,0.64,-66.89,-20.20,-102.17,o
0.54,0.68,0.58,-73.67,-18.31,-123.66,o
0.40,0.70,0.46,-94.91,-9.77,-146.97,o
0.24,0.82,0.55,-121.15,-22.95,-148.93,o
0.16,0.89,0.66,-97.11,-52.61,-119.14,o
0.12,0.88,0.70,-86.36,-47.85,-98.39,o
0.13,0.93,0.84,-59.69,-63.35,-70.43,o
0.28,0.81,0.72,-14.89,-47.67,-64.27,o
0.32,0.67,0.62,-9.58,-34.67,-74.40,o
0.31,0.71,0.76,-11.29,-37.35,-83.98,o
0.29,0.60,0.70,9.34,-34.73,-91.80,o
0.27,0.50,0.66,9.64,-38.82,-92.96,o
0.26,0.39,0.54,2.44,-23.86,-95.89,o
0.15,0.52,0.71,-27.89,-11.78,-85.88,o
0.15,0.53,0.78,-20.08,-13.61,-59.45,o
0.12,0.53,0.79,-3.78,-45.04,-19.41,o
0.13,0.50,0.76,9.70,-46.94,3.78,o
0.14,0.53,0.87,13.18,-33.45,11.72,o
0.19,0.50,0.93,33.14,-27.77,6.77,o
0.21,0.36,0.82,43.88,-8.00,-4.94,o
0.23,0.23,0.76,22.71,-0.73,-14.40,o
0.14,0.22,0.87,8.91,7.87,-13.37,o
0.09,0.22,0.90,-6.71,17.52,-4.58,o
0.08,0.35,1.08,-11.96,12.27,26.67,o
0.09,0.36,1.00,5.49,20.02,44.25,o
0.15,0.30,0.89,2.81,46.20,51.76,o
0.23,0.35,0.95,-0.06,50.35,74.89,o
0.31,0.38,0.90,13.18,50.11,82.95,o
0.33,0.33,0.84,16.11,49.50,74.89,o
0.28,0.29,0.79,19.29,44.74,70.50,o
0.27,0.31,0.77,22.58,39.92,81.24,o
0.27,0.40,0.79,24.11,39.67,92.90,o
0.26,0.46,0.85,29.54,34.24,100.10,o
0.21,0.51,0.86,39.67,36.74,101.87,o
0.19,0.50,0.87,52.43,33.08,111.02,o
0.19,0.48,0.88,59.94,44.92,113.71,o
0.23,0.45,0.89,59.14,72.08,102.78,o
0.29,0.37,0.92,69.52,70.92,101.87,o
0.38,0.28,0.88,74.71,43.82,102.60,o
0.46,0.23,0.92,83.19,37.35,103.45,o
0.47,0.21,0.94,85.27,69.40,83.50,o
0.46,0.07,0.71,89.36,79.65,59.39,o
0.50,-0.03,0.77,65.12,33.94,71.11,o
0.54,0.07,0.99,46.45,12.76,72.27,o
0.44,0.19,1.04,60.97,45.10,49.62,o
0.27,-0.03,0.79,76.05,35.03,38.82,o
0.34,-0.12,0.77,55.11,-3.05,64.27,o
0.46,0.06,0.92,35.58,-5.62,80.93,o
0.47,0.19,1.01,47.85,21.85,70.07,o
0.42,-0.01,0.77,73.12,22.16,56.21,o
0.70,-0.09,0.71,60.18,-7.75,76.78,o
0.65,0.10,0.90,21.30,-23.38,60.73,o
0.47,0.23,1.01,31.25,-10.74,34.42,o
0.46,-0.07,0.68,56.52,-0.43,26.18,o
0.57,-0.07,0.73,26.18,-21.48,39.06,o
0.52,0.15,0.98,5.74,-32.65,18.37,o
0.32,0.06,0.88,19.35,-14.77,-8.18,o
0.35,-0.01,0.77,6.65,-16.30,0.61,o
0.36,0.07,0.92,-3.30,-18.62,-2.01,o
0.34,0.06,0.92,1.04,-16.60,-17.33,o
0.27,0.05,0.87,-2.87,-10.01,-15.75,o
0.29,0.08,0.87,-8.06,-17.58,3.11,o
0.35,0.09,0.92,-7.63,-28.93,4.64,o
0.27,0.07,0.86,-10.19,-17.27,-20.02,o
0.25,0.09,0.82,-28.87,-19.47,-11.41,o
0.27,0.22,0.98,-26.49,-17.33,-9.46,o
0.21,0.19,0.88,-9.89,-3.05,-28.87,o
0.25,0.13,0.79,-15.50,-4.33,-21.85,o
0.33,0.20,0.90,-30.70,-18.92,-18.43,o
0.35,0.20,0.89,-27.77,-15.56,-41.75,o
0.23,0.23,0.82,-33.26,1.16,-77.82,o
0.22,0.27,0.81,-49.26,14.22,-88.44,o
0.27,0.24,0.83,-58.47,18.74,-89.78,o
0.29,0.24,0.77,-65.12,14.22,-92.47,o
0.22,0.36,0.90,-65.98,0.98,-88.81,o
0.28,0.30,0.79,-49.87,23.13,-96.19,o
0.28,0.30,0.74,-54.50,19.41,-94.54,o
0.25,0.50,0.92,-67.63,18.80,-97.53,o
0.21,0.57,1.03,-45.53,24.54,-96.19,o
0.29,0.39,0.89,-10.25,-1.89,-69.89,o
0.27,0.26,0.74,-9.46,-21.06,-46.02,o
0.17,0.23,0.75,-21.42,-24.35,-25.82,o
0.21,0.22,0.79,-26.25,-26.55,-12.45,o
0.25,0.28,0.83,-28.02,-24.96,-15.01,o
0.21,0.32,0.88,-25.57,-16.05,-20.69,o
0.20,0.33,0.88,-20.57,-7.08,-24.54,o
0.22,0.26,0.81,-15.69,-0.85,-26.18,o
0.24,0.21,0.78,-26.31,-0.98,-23.01,o
0.20,0.35,0.87,-41.50,-12.76,-17.40,o
