ax,ay,az,gx,gy,gz,label
0.02,0.14,0.90,-2.87,9.34,2.32,m
0.05,0.17,0.90,-4.33,10.68,4.21,m
0.03,0.17,0.94,-4.21,7.32,1.04,m
0.03,0.17,0.99,-3.85,9.95,-0.92,m
0.05,0.15,1.02,-2.99,11.29,-2.20,m
-0.02,0.10,1.12,0.31,6.53,-0.31,m
-0.07,-0.01,1.21,1.89,2.87,11.11,m
-0.14,-0.08,1.29,-4.39,-1.59,33.02,m
-0.10,-0.07,1.34,-11.72,-9.58,43.09,m
-0.16,-0.05,1.40,-6.59,-28.02,27.34,m
-0.16,-0.11,1.40,6.90,-25.02,-0.06,m
-0.21,-0.25,1.33,16.91,-15.69,-24.35,m
-0.14,-0.37,1.22,9.58,-5.92,-15.08,m
-0.07,-0.27,1.10,2.44,-16.78,11.47,m
-0.08,-0.17,0.97,-2.50,-32.96,23.62,m
-0.10,-0.08,0.95,-9.70,-28.81,16.48,m
-0.09,0.06,0.85,-13.61,0.24,5.80,m
0.29,0.18,0.70,-16.24,41.20,9.09,m
0.48,0.30,0.54,-29.97,35.10,36.80,m
0.60,0.61,0.61,-36.38,28.32,13.31,m
0.86,0.79,0.59,-26.18,29.54,-16.78,m
0.78,0.66,0.52,-11.72,5.62,-18.74,m
0.55,0.65,0.52,-4.70,-17.82,-14.89,m
0.53,0.66,0.48,8.18,-34.36,-31.80,m
0.30,0.61,0.45,24.84,-56.40,-66.83,m
0.07,0.46,0.43,31.31,-68.48,-77.45,m
-0.23,0.38,0.49,26.67,-72.63,-64.58,m
-0.22,0.47,0.47,25.02,-42.30,-48.16,m
-0.18,0.45,0.52,29.48,-26.61,-50.54,m
-0.12,0.30,0.53,24.72,-12.39,-44.68,m
-0.27,0.34,0.57,8.91,-0.79,-28.69,m
-0.34,0.31,0.64,4.39,14.40,-4.33,m
0.01,0.15,0.65,8.91,23.68,19.84,m
-0.08,0.07,0.70,5.68,-1.77,12.51,m
-0.36,-0.08,0.91,-6.23,-1.95,31.13,m
-0.19,-0.19,1.01,-17.82,26.06,31.86,m
-0.14,-0.14,1.20,-30.70,28.08,19.59,m
-0.58,0.15,1.47,-24.17,10.62,5.80,m
-0.42,-0.09,1.42,-7.08,30.21,-26.37,m
-0.10,-0.40,1.50,-15.93,36.07,-61.58,m
-0.33,-0.07,1.57,-26.92,26.18,-53.96,m
-0.32,0.10,1.46,-22.71,23.25,-39.86,m
-0.28,0.14,1.44,-12.21,2.50,-22.77,m
-0.28,0.15,1.46,0.24,-8.36,-6.71,m
-0.11,0.08,1.40,8.00,6.29,2.87,m
-0.08,0.05,1.31,6.10,11.05,-6.90,m
-0.25,0.04,1.24,2.99,10.38,-3.17,m
-0.10,0.05,1.11,-3.48,24.29,9.28,m
0.19,0.12,1.01,-10.99,28.08,25.51,m
-0.09,0.27,0.91,1.46,33.57,20.45,m
-0.17,0.16,0.71,17.09,37.23,47.49,m
0.43,0.15,0.58,0.61,27.04,39.92,m
0.35,0.30,0.60,-8.00,-0.12,-15.69,m
-0.15,0.26,0.50,0.61,7.69,5.98,m
0.29,0.30,0.28,-8.30,39.92,48.03,m
0.57,0.42,0.34,-38.51,51.15,-3.36,m
0.55,0.63,0.32,-59.27,48.65,-97.53,m
0.52,0.80,0.35,-48.22,36.44,-117.37,m
0.56,0.71,0.34,-27.28,8.54,-55.54,m
0.12,0.60,0.41,-13.06,-43.95,-29.60,m
-0.24,0.71,0.54,-23.44,-34.61,-58.17,m
-0.10,0.81,0.61,-23.62,8.36,-82.46,m
0.21,0.75,0.57,-13.85,5.07,-80.20,m
0.24,0.81,0.61,-15.08,11.11,-104.00,m
0.24,0.75,0.54,-9.03,22.09,-130.49,m
0.23,0.27,0.70,1.71,-4.76,-101.75,m
0.04,0.26,0.81,-4.52,-25.27,-74.16,m
-0.01,0.42,0.88,-3.66,-22.22,-83.44,m
0.13,0.30,1.08,-3.91,-12.45,-91.37,m
-0.11,0.24,1.25,1.22,-19.53,-81.30,m
-0.16,0.20,1.19,13.92,-22.46,-44.56,m
-0.18,-0.07,1.39,11.41,-25.21,-35.58,m
0.04,-0.09,1.34,3.78,-3.60,-21.48,m
0.14,0.20,1.25,4.82,18.25,2.38,m
0.07,0.03,1.31,14.16,-11.66,29.97,m
0.16,0.04,1.26,10.74,-0.18,34.61,m
0.27,0.11,1.16,7.14,25.57,11.84,m
0.29,0.04,1.01,10.31,17.15,-1.22,m
0.25,-0.05,0.94,5.31,-1.71,6.90,m
0.18,0.07,0.93,0.98,-16.30,27.95,m
0.19,0.17,0.95,4.88,-27.22,35.64,m
0.11,0.16,0.91,11.29,-26.18,21.00,m
0.11,0.11,0.89,9.64,-5.80,0.67,m
0.12,0.08,0.89,3.85,10.38,-7.08,m
0.16,0.11,0.87,0.43,16.97,-4.03,m
0.17,0.13,0.85,-0.85,13.18,-5.19,m
0.13,0.11,0.88,-2.62,5.00,-2.50,m
0.17,0.17,0.92,-4.76,1.95,7.08,m
0.19,0.21,0.93,-3.30,1.46,10.01,m
0.20,0.20,0.93,-3.11,5.86,5.80,m
0.17,0.17,0.93,-2.99,5.00,3.11,m
0.17,0.19,0.93,-2.32,5.92,9.83,m
0.24,0.20,0.93,-1.89,6.23,14.28,m
0.25,0.21,0.91,-1.22,6.23,8.36,m
0.22,0.18,0.90,0.55,3.30,5.92,m
0.18,0.17,0.90,1.46,1.65,9.89,m
0.16,0.13,0.89,2.20,0.31,14.22,m
0.14,0.14,0.89,-1.95,2.75,13.73,m
0.16,0.20,0.90,-2.56,8.06,5.68,m
0.18,0.15,0.91,-1.95,10.56,1.89,m
0.21,0.16,0.91,-5.19,10.38,6.84,m
0.22,0.23,0.92,-5.31,7.08,10.68,m
0.23,0.20,0.92,-4.46,2.69,10.01,m
0.21,0.21,0.92,-3.05,0.92,10.01,m
0.18,0.20,0.91,-3.72,1.46,5.62,m
0.19,0.23,0.91,-3.11,4.15,5.13,m
0.19,0.19,0.91,-2.56,5.07,4.94,m
0.21,0.22,0.90,-2.81,5.19,4.94,m
0.19,0.20,0.89,-2.01,3.72,2.14,m
0.19,0.20,0.90,-2.01,2.26,4.21,m
0.19,0.20,0.89,-2.62,2.62,3.48,m
0.20,0.22,0.90,-2.08,3.97,3.17,m
0.21,0.21,0.90,-2.01,5.07,2.93,m
0.20,0.22,0.90,-1.04,4.52,4.39,m
0.21,0.21,0.90,-0.67,3.48,5.37,m
