ax,ay,az,gx,gy,gz,label
0.24,0.09,0.89,-0.61,3.91,1.53,m
0.25,0.09,0.90,2.01,4.21,0.73,m
0.23,0.09,0.91,3.36,3.97,4.82,m
0.26,0.12,0.92,5.13,9.22,7.93,m
0.23,0.11,0.94,9.09,11.29,8.42,m
0.24,0.09,0.96,13.73,18.92,6.10,m
0.25,0.07,1.00,17.21,15.81,6.59,m
0.23,0.04,1.00,17.33,8.36,6.47,m
0.17,0.02,1.03,11.66,1.65,15.87,m
0.10,0.01,1.10,4.27,-10.62,25.21,m
0.02,0.03,1.11,-8.24,-18.19,27.16,m
-0.00,0.07,1.09,-15.99,-0.98,30.64,m
0.04,0.08,1.17,-27.22,-17.70,34.55,m
0.08,0.15,1.17,-38.70,-22.40,23.74,m
-0.12,0.20,1.11,-40.04,-46.63,23.62,m
-0.34,0.28,1.14,-43.27,-58.53,56.09,m
-0.43,0.29,1.14,-51.39,-55.18,91.43,m
-0.39,0.36,1.09,-48.77,-38.70,86.79,m
-0.37,0.32,1.04,-33.14,-25.09,59.27,m
-0.45,0.22,0.94,-27.22,-16.05,28.26,m
-0.21,0.26,0.83,-25.39,0.31,-1.22,m
-0.10,0.29,0.77,-17.94,1.83,-21.67,m
-0.23,0.21,0.71,-7.75,19.17,-40.41,m
0.35,0.35,0.65,4.39,58.41,-54.38,m
0.56,0.23,0.58,44.92,68.18,-111.57,m
0.64,-0.21,0.56,51.45,72.14,-71.72,m
1.11,-0.08,0.68,20.87,87.71,-7.20,m
1.12,-0.10,0.71,31.49,48.71,-29.72,m
0.94,-0.28,0.73,40.28,8.30,-57.86,m
0.66,-0.40,0.67,16.54,-18.98,-44.31,m
0.41,-0.30,0.67,-23.80,-28.44,-11.84,m
0.31,-0.10,0.65,-50.48,-20.94,1.53,m
0.32,0.05,0.71,-49.93,-15.69,-6.23,m
0.22,0.05,0.73,-42.42,-17.52,-20.63,m
0.26,0.11,0.74,-51.82,-0.79,2.93,m
0.28,0.12,0.74,-47.06,7.81,17.27,m
0.22,0.06,0.74,-40.16,-1.53,10.86,m
0.31,0.19,0.72,-51.21,0.85,5.92,m
0.38,0.22,0.63,-55.85,-4.58,25.02,m
0.32,0.11,0.62,-28.75,-17.82,26.12,m
0.15,-0.10,0.65,-17.88,-34.00,28.75,m
0.06,-0.13,0.68,-41.02,-40.28,19.10,m
0.03,0.21,0.67,-57.98,-22.09,14.22,m
-0.28,0.40,0.72,-57.50,-22.46,29.66,m
-0.31,0.80,0.81,-62.62,10.99,65.55,m
-0.21,0.87,0.83,-40.83,19.23,76.90,m
-0.18,0.96,1.03,-26.12,9.03,41.56,m
-0.25,1.21,1.12,-24.17,-8.73,2.38,m
-0.37,1.29,1.00,-29.97,-18.19,-6.10,m
