ax,ay,az,gx,gy,gz,label
-0.02,0.50,0.73,7.57,46.20,30.88,m
-0.00,0.52,0.78,11.66,38.27,34.24,m
-0.08,0.49,0.84,16.72,37.66,41.99,m
-0.06,0.49,0.90,19.96,52.12,59.57,m
0.07,0.53,0.94,29.11,65.98,79.41,m
0.12,0.51,1.00,42.72,66.04,83.50,m
0.18,0.48,1.06,56.09,76.05,94.06,m
0.16,0.45,1.19,73.79,84.29,112.37,m
0.28,0.46,1.22,81.73,98.39,121.03,m
0.31,0.48,1.22,82.52,95.09,124.02,m
0.48,0.52,1.19,57.74,93.38,112.43,m
0.43,0.52,1.21,53.47,81.85,103.21,m
0.44,0.49,1.13,66.28,86.85,94.36,m
0.64,0.45,0.92,92.96,96.25,98.82,m
0.82,0.40,0.67,126.10,74.46,115.60,m
0.49,0.22,0.63,126.40,33.63,107.91,m
0.64,0.24,0.40,95.70,29.97,89.36,m
0.22,0.22,0.48,81.12,-23.56,68.24,m
-0.15,0.05,0.56,43.15,-41.44,24.35,m
-0.53,0.04,0.69,25.45,-55.79,10.25,m
-0.81,0.07,0.81,25.51,-45.35,7.75,m
-0.87,0.09,0.82,23.93,-13.98,3.23,m
-0.75,0.11,0.77,14.16,12.57,-12.08,m
-0.64,0.12,0.70,5.68,24.90,-30.03,m
-0.44,0.11,0.64,5.80,41.63,-44.31,m
-0.24,-0.02,0.54,20.87,61.40,-44.07,m
-0.15,-0.24,0.47,29.36,62.56,-30.52,m
-0.07,-0.22,0.45,23.86,59.27,-19.71,m
0.14,-0.19,0.46,14.34,52.00,-30.09,m
0.25,-0.21,0.54,-0.55,33.39,-40.16,m
0.25,-0.18,0.74,-13.18,20.63,-42.30,m
0.39,-0.13,0.88,-13.61,30.33,-31.19,m
0.61,-0.12,0.82,-6.53,21.73,-26.79,m
0.68,-0.13,0.89,-19.47,-5.43,-34.00,m
0.59,-0.07,1.17,-30.64,-15.81,-40.47,m
0.87,-0.06,1.15,-5.49,14.28,-24.35,m
1.03,-0.09,1.16,20.45,4.82,-2.93,m
0.94,-0.14,1.32,5.19,-1.83,-23.99,m
0.94,-0.10,1.35,1.83,1.16,-40.83,m
0.81,-0.25,1.34,20.69,-8.61,-41.63,m
0.52,-0.37,1.29,19.84,-11.05,-37.29,m
0.46,-0.24,1.22,-1.95,6.90,-32.53,m
0.57,0.03,1.15,-5.00,18.86,-27.77,m
0.55,0.01,1.08,3.85,23.13,-35.46,m
0.51,-0.08,0.98,7.02,28.56,-36.50,m
0.60,-0.16,0.86,-0.67,29.85,-40.77,m
0.62,-0.12,0.74,2.99,14.47,-31.25,m
0.43,-0.19,0.67,18.13,3.78,-12.63,m
0.45,-0.18,0.50,27.28,6.96,9.46,m
0.51,-0.07,0.41,47.97,-9.77,29.60,m
0.35,-0.12,0.35,70.80,-35.22,34.73,m
0.27,-0.32,0.26,69.34,-44.01,28.32,m
0.14,-0.49,0.27,20.08,-97.84,-0.49,m
-0.14,-0.46,0.52,-9.58,-124.82,-11.66,m
-0.65,-0.42,0.92,-12.08,-122.07,-5.07,m
-0.88,-0.28,1.26,-5.49,-64.27,8.85,m
