ax,ay,az,gx,gy,gz,label
0.22,0.23,0.90,0.06,3.48,2.01,m
0.19,0.21,0.91,-0.92,3.54,-0.31,m
0.18,0.20,0.90,-0.85,4.39,1.95,m
0.19,0.22,0.91,2.38,5.80,7.32,m
0.23,0.24,0.91,2.38,5.07,9.03,m
0.26,0.23,0.92,-1.16,3.91,5.00,m
0.32,0.24,0.94,1.65,5.62,6.47,m
0.44,0.24,0.97,2.93,5.55,6.59,m
0.58,0.26,1.03,2.75,6.10,4.27,m
0.62,0.25,1.13,6.47,-1.46,-2.44,m
0.49,0.20,1.33,11.41,-1.10,-3.23,m
0.49,0.20,1.34,26.79,20.63,12.82,m
0.64,0.23,1.15,48.95,38.94,34.42,m
0.73,0.20,0.96,54.69,31.25,36.25,m
0.65,0.10,0.91,49.56,15.44,34.06,m
0.52,0.05,0.89,38.76,9.64,43.52,m
0.41,0.20,0.86,42.42,6.90,55.24,m
0.29,0.32,0.77,70.07,7.20,62.19,m
0.16,0.23,0.61,79.41,0.06,56.76,m
-0.08,0.08,0.60,44.56,-12.57,23.13,m
-0.52,-0.01,0.84,16.36,-27.47,6.96,m
-0.63,0.08,0.98,11.90,-15.38,6.10,m
-0.56,0.16,0.94,11.66,1.40,-2.62,m
-0.51,0.13,0.86,9.77,8.18,-17.94,m
-0.48,0.04,0.78,5.92,18.98,-29.05,m
-0.38,-0.08,0.74,-6.71,35.95,-43.33,m
-0.19,-0.13,0.63,-14.34,76.42,-47.73,m
-0.07,-0.12,0.56,-5.00,68.36,-52.00,m
-0.06,-0.17,0.55,-14.40,51.88,-58.78,m
0.15,-0.02,0.62,-34.97,45.10,-53.22,m
0.29,0.02,0.73,-30.58,35.40,-62.01,m
0.24,-0.16,0.72,-25.57,32.90,-56.21,m
0.45,0.06,0.77,-41.87,38.33,-45.10,m
0.60,0.06,0.86,-34.79,33.02,-57.07,m
0.56,-0.30,0.95,-19.84,28.75,-54.44,m
0.86,-0.22,0.89,-29.36,38.94,-31.31,m
1.00,0.02,0.88,-23.19,19.10,-26.55,m
0.99,-0.18,1.07,-18.86,9.34,-38.02,m
0.96,-0.31,1.05,-10.99,15.20,-27.40,m
1.05,-0.25,0.96,-10.38,17.03,-18.43,m
0.99,-0.19,1.00,-9.58,3.48,-18.13,m
0.84,-0.24,0.94,-5.13,3.78,-13.00,m
0.77,-0.14,0.95,-9.09,0.24,-3.05,m
0.81,-0.06,0.91,-11.60,-2.69,-0.61,m
0.79,-0.06,0.84,-18.43,-9.89,-6.84,m
0.75,-0.09,0.82,8.48,-16.48,7.69,m
0.76,-0.33,0.62,36.13,0.85,36.99,m
