ax,ay,az,gx,gy,gz,label
0.40,0.21,0.89,-12.76,6.16,-0.37,m
0.33,0.20,0.95,-3.72,10.80,0.73,m
0.40,0.20,0.89,-3.30,5.13,-1.04,m
0.43,0.27,0.95,2.93,2.62,-2.62,m
0.45,0.20,1.02,9.77,0.55,-3.42,m
0.51,0.20,1.09,8.18,3.85,-3.17,m
0.58,0.27,1.11,-0.79,5.00,-12.63,m
0.60,0.29,1.11,0.31,3.23,-20.39,m
0.48,0.23,1.09,5.80,-5.43,-22.34,m
0.43,0.21,1.07,21.79,-0.67,-1.16,m
0.56,0.29,0.91,39.06,7.57,24.60,m
0.57,0.24,0.76,36.99,-3.85,19.96,m
0.43,0.20,0.75,21.18,-19.41,11.47,m
0.37,0.27,0.72,31.13,-27.10,19.10,m
0.16,0.23,0.78,37.60,-53.83,2.93,m
-0.01,0.11,0.83,31.49,-52.06,-13.49,m
-0.29,-0.04,0.87,46.26,-53.04,4.33,m
-0.28,-0.04,0.78,57.68,-20.57,26.25,m
-0.27,-0.02,0.75,59.14,-0.55,30.03,m
-0.45,-0.16,0.78,41.08,3.42,7.75,m
-0.52,-0.08,0.83,20.51,18.86,-0.67,m
-0.51,0.04,0.86,14.89,33.45,-13.79,m
-0.51,-0.14,0.78,0.55,52.31,-47.18,m
-0.36,-0.14,0.70,-11.17,63.42,-52.43,m
-0.21,-0.11,0.65,-9.95,71.41,-50.35,m
-0.09,-0.18,0.63,-4.52,81.36,-33.20,m
0.09,-0.15,0.56,-5.92,62.99,-45.72,m
0.19,-0.11,0.59,-10.93,57.68,-56.40,m
0.27,-0.31,0.73,-0.61,66.16,-45.59,m
0.39,-0.33,0.64,-5.62,56.09,-28.38,m
0.50,-0.24,0.67,-23.93,38.02,-33.69,m
0.54,-0.34,0.83,-33.94,12.51,-37.11,m
0.59,-0.30,0.84,-33.63,12.45,-21.73,m
0.69,-0.28,0.80,-37.60,5.43,-17.46,m
0.66,-0.35,0.94,-39.25,-11.35,-7.32,m
0.68,-0.23,0.96,-47.49,-8.18,2.14,m
0.68,-0.06,0.93,-51.70,-14.83,4.39,m
0.78,0.11,1.09,-49.62,-21.30,1.83,m
0.75,0.13,1.14,-29.91,-13.24,-6.53,m
0.70,0.01,1.11,-7.75,-6.10,-7.87,m
0.70,0.04,1.13,2.32,-0.61,-0.92,m
0.74,0.08,1.10,7.32,0.18,-6.29,m
0.57,0.02,1.11,1.16,-7.93,-20.81,m
0.41,0.04,1.12,-6.59,-5.13,-23.62,m
0.49,0.19,1.10,-4.88,16.54,-15.26,m
0.63,0.25,0.96,-2.62,26.18,-25.15,m
0.67,0.14,0.85,-10.56,17.94,-46.26,m
0.62,0.04,0.91,-13.43,10.80,-48.40,m
0.71,-0.04,0.80,-8.67,12.82,-35.58,m
0.86,-0.04,0.76,-29.05,-7.08,-42.79,m
0.85,-0.06,0.81,-54.20,-27.71,-53.22,m
0.67,-0.10,0.74,-67.99,-45.65,-50.29,m
0.38,-0.02,0.76,-53.34,-63.54,-13.55,m
0.15,0.06,0.68,-41.69,-71.84,6.47,m
-0.13,0.05,0.73,-50.23,-74.40,7.32,m
-0.27,0.09,0.83,-13.18,-45.17,46.26,m
-0.31,0.03,0.72,10.19,-22.71,58.23,m
-0.34,0.05,0.73,30.52,-12.45,71.35,m
-0.37,0.12,0.78,34.24,-8.18,67.57,m
-0.33,0.18,0.79,31.07,8.00,51.45,m
-0.24,0.25,0.74,37.66,14.10,35.16,m
-0.30,0.09,0.71,21.06,9.95,-2.69,m
-0.32,0.08,0.83,-1.59,1.83,-21.42,m
-0.29,0.21,0.92,-2.14,9.70,-29.36,m
-0.33,0.13,0.96,2.14,19.23,-48.95,m
-0.28,-0.03,0.97,5.68,38.82,-53.96,m
-0.07,0.01,0.84,7.87,54.32,-47.18,m
-0.01,-0.06,0.75,-12.21,45.84,-63.42,m
0.01,-0.10,0.86,-39.92,30.46,-73.61,m
0.05,-0.10,0.92,-48.77,36.38,-65.43,m
0.19,-0.01,0.88,-52.67,43.15,-56.88,m
0.28,0.05,0.84,-49.56,40.34,-61.22,m
0.34,-0.03,0.72,-43.09,34.55,-54.08,m
0.52,-0.01,0.72,-57.62,22.58,-42.97,m
0.69,0.14,0.83,-57.19,5.00,-35.16,m
0.73,0.08,0.82,-40.53,-0.55,-31.19,m
0.76,-0.03,0.93,-26.37,-6.59,-8.12,m
0.92,0.13,0.91,-13.24,-0.55,11.60,m
0.92,0.13,0.94,-18.62,-20.87,-5.86,m
0.78,0.07,1.09,-13.43,-41.93,-14.28,m
0.57,0.03,1.13,-1.89,-32.35,-13.61,m
0.52,0.08,1.05,25.09,-9.16,0.61,m
0.43,0.00,1.04,30.27,-21.06,-2.69,m
0.26,-0.03,1.09,17.94,-15.56,0.31,m
0.26,0.10,1.04,11.90,1.28,11.17,m
0.27,0.16,0.97,8.85,12.21,12.27,m
0.29,0.18,0.88,7.57,16.24,12.08,m
0.33,0.19,0.78,0.73,16.36,6.65,m
0.30,0.19,0.80,-2.69,13.12,5.07,m
0.35,0.21,0.83,-2.69,11.47,2.44,m
0.33,0.18,0.82,-1.46,6.23,-1.04,m
0.29,0.14,0.90,-5.07,2.01,-5.25,m
0.30,0.11,0.89,0.61,7.45,-1.40,m
0.31,0.10,0.91,3.05,8.36,2.44,m
0.34,0.10,0.87,-0.61,7.87,1.77,m
0.29,0.10,0.90,-3.30,2.38,1.28,m
0.28,0.13,0.92,1.89,7.26,5.92,m
0.32,0.09,0.88,8.12,11.90,10.44,m
0.38,0.10,0.82,6.23,8.54,11.35,m
0.34,0.11,0.86,-2.32,-0.79,6.29,m
0.31,0.14,0.88,-4.70,-1.22,6.29,m
0.30,0.15,0.91,1.89,2.38,10.31,m
0.32,0.14,0.87,2.44,5.13,10.13,m
0.34,0.15,0.88,-1.59,1.53,8.12,m
0.28,0.13,0.91,-6.10,-0.98,3.42,m
0.29,0.17,0.91,-2.87,4.88,7.26,m
0.32,0.16,0.88,2.50,8.18,7.63,m
0.35,0.17,0.86,4.82,2.20,6.90,m
0.33,0.14,0.87,0.85,0.92,1.40,m
0.30,0.13,0.88,-0.06,-3.36,0.67,m
0.29,0.13,0.90,0.85,3.11,3.66,m
0.33,0.15,0.87,2.99,2.93,5.37,m
0.31,0.12,0.87,1.95,-0.79,2.62,m
0.29,0.12,0.89,-1.40,-2.81,1.77,m
0.29,0.15,0.90,-1.65,0.73,3.30,m
