ax,ay,az,gx,gy,gz,label
0.18,0.20,0.99,-8.85,-7.14,4.27,m
0.17,0.21,1.02,-4.64,-8.67,5.62,m
0.12,0.19,1.07,2.62,-5.55,5.80,m
0.11,0.17,1.13,2.62,3.05,2.87,m
0.17,0.16,1.24,1.89,7.14,3.17,m
0.24,0.20,1.28,0.49,17.27,2.93,m
0.39,0.27,1.30,0.43,19.10,2.01,m
0.45,0.33,1.30,9.46,18.62,1.04,m
0.43,0.27,1.20,29.17,23.44,1.89,m
0.49,0.22,1.02,41.08,34.91,3.36,m
0.62,0.24,0.91,59.94,31.01,25.70,m
0.60,0.14,0.78,74.65,17.15,29.97,m
0.69,-0.02,0.60,72.27,-0.43,27.77,m
0.35,-0.13,0.58,40.77,-41.08,2.62,m
0.14,0.09,0.68,31.74,-56.27,14.65,m
-0.11,0.10,0.64,48.65,-72.39,25.27,m
-0.45,-0.02,0.64,30.64,-69.95,-8.06,m
-0.78,-0.05,0.72,8.97,-58.59,-23.19,m
-1.03,0.08,0.78,-11.72,-33.63,-24.05,m
-1.04,0.27,0.89,-34.00,0.24,-35.40,m
-0.87,0.40,0.87,-26.49,37.17,-51.33,m
-0.56,0.26,0.78,6.65,69.89,-59.75,m
-0.35,-0.07,0.60,35.64,78.98,-59.39,m
-0.12,-0.23,0.50,32.96,76.42,-56.82,m
-0.02,-0.30,0.47,17.64,64.70,-57.13,m
0.04,-0.39,0.52,4.03,51.51,-42.79,m
0.14,-0.41,0.68,-7.93,44.68,-5.07,m
0.23,-0.34,0.69,-0.92,38.76,18.62,m
0.21,-0.45,0.73,-22.09,32.23,25.21,m
0.38,-0.13,0.87,-55.30,22.34,5.19,m
0.46,0.09,0.99,-36.62,13.31,-4.33,m
0.39,-0.21,0.99,-15.93,11.66,6.41,m
0.68,-0.15,1.05,-24.72,10.44,16.72,m
0.76,-0.05,1.09,-18.74,2.56,6.77,m
0.70,-0.04,1.23,-15.44,-2.75,-9.77,m
0.71,0.04,1.33,-9.22,7.26,-19.78,m
0.78,0.09,1.27,21.42,10.93,-13.61,m
0.68,-0.14,1.17,34.00,-0.61,-23.56,m
0.52,-0.20,1.11,17.76,-13.79,-29.79,m
0.35,-0.07,1.24,6.84,-14.16,-29.54,m
0.37,-0.06,1.15,3.78,3.11,-31.98,m
0.52,-0.05,1.04,-9.34,3.11,-44.01,m
0.52,-0.05,0.90,-21.42,-12.76,-57.68,m
0.38,0.03,0.90,-18.37,-24.96,-45.53,m
0.35,0.05,0.81,14.04,-16.17,-12.51,m
0.36,-0.06,0.62,24.96,-10.99,-4.58,m
0.45,-0.12,0.48,24.78,-22.89,1.16,m
0.19,-0.31,0.45,5.55,-62.74,-14.10,m
-0.05,-0.26,0.55,-38.33,-97.23,-31.31,m
-0.37,-0.08,0.82,-41.44,-103.03,-10.56,m
-0.53,-0.04,0.89,-4.27,-73.00,26.18,m
-0.54,-0.02,0.83,11.96,-41.14,39.49,m
-0.59,0.07,0.86,22.22,-28.81,40.95,m
-0.71,0.07,0.89,16.24,-17.64,15.99,m
-0.91,-0.02,0.96,-2.38,-8.67,-20.69,m
-0.90,0.01,0.96,-24.96,16.17,-41.26,m
-0.64,0.12,0.97,-23.01,46.75,-52.19,m
-0.42,-0.01,0.84,0.67,74.95,-57.25,m
-0.36,-0.30,0.75,5.13,84.78,-55.24,m
-0.11,-0.31,0.66,-14.95,82.40,-44.31,m
0.09,-0.20,0.71,-39.25,50.84,-56.64,m
0.05,-0.35,0.84,-52.25,30.33,-62.87,m
0.05,-0.25,0.89,-68.54,25.21,-41.14,m
0.22,-0.01,0.89,-77.94,19.47,-40.34,m
0.23,-0.16,1.00,-63.54,11.54,-36.93,m
0.33,-0.12,0.90,-65.37,22.64,-18.01,m
0.42,0.14,0.75,-77.39,6.47,-21.67,m
0.40,0.32,0.88,-91.98,-21.42,-45.78,m
0.45,0.48,0.98,-84.11,-22.16,-53.65,m
0.38,0.30,0.94,-42.05,-24.17,-62.56,m
0.25,0.18,1.02,-5.62,-32.53,-47.42,m
0.29,0.24,1.05,1.40,-22.16,-37.84,m
0.27,0.15,1.13,-1.89,-22.28,-37.72,m
0.30,0.17,1.09,-3.66,-12.39,-18.43,m
0.28,0.23,1.04,1.53,-9.70,2.56,m
0.24,0.32,1.05,5.62,1.59,12.88,m
0.19,0.29,1.01,-4.82,10.62,-12.70,m
0.32,0.30,0.93,-5.80,16.97,-9.22,m
0.23,0.32,0.92,3.05,0.12,-3.36,m
0.15,0.26,0.89,3.05,7.51,-3.36,m
0.17,0.24,0.88,-3.60,10.86,-4.82,m
0.17,0.30,0.86,-4.94,8.48,-3.78,m
0.19,0.31,0.85,-4.82,6.29,-8.24,m
0.12,0.29,0.89,-4.21,0.24,-10.38,m
0.12,0.26,0.89,-2.93,4.39,-8.85,m
0.16,0.27,0.88,-3.97,6.35,-9.03,m
0.19,0.26,0.87,-2.81,6.96,-8.18,m
0.15,0.24,0.89,-3.11,4.03,-6.71,m
0.14,0.24,0.89,-3.36,4.46,-4.03,m
0.19,0.27,0.87,-1.16,6.90,-0.85,m
0.17,0.23,0.89,-0.37,1.34,-1.28,m
0.16,0.24,0.89,-6.23,-0.43,-3.36,m
0.13,0.27,0.90,-4.88,-0.55,-1.40,m
0.15,0.28,0.88,0.79,3.30,1.83,m
0.17,0.24,0.87,4.88,2.99,6.10,m
0.18,0.24,0.87,2.08,0.06,6.35,m
0.17,0.27,0.89,0.06,-1.89,6.23,m
0.15,0.26,0.90,-1.04,-0.43,6.59,m
0.17,0.28,0.89,-1.83,-1.28,6.23,m
0.16,0.31,0.88,1.16,-3.72,9.28,m
0.14,0.30,0.89,1.04,-5.62,4.03,m
0.12,0.29,0.90,1.16,-3.36,4.03,m
0.09,0.30,0.92,0.18,-2.38,0.67,m
0.11,0.27,0.91,1.65,2.26,1.04,m
0.12,0.28,0.92,3.17,1.95,3.78,m
0.13,0.24,0.90,0.43,1.22,0.92,m
0.11,0.26,0.91,-1.04,-0.31,2.62,m
0.13,0.28,0.90,-0.79,2.81,2.38,m
0.13,0.27,0.89,1.16,0.85,0.79,m
0.13,0.23,0.89,2.56,0.43,3.17,m
0.10,0.25,0.92,-1.65,-0.85,3.91,m
0.10,0.28,0.91,-3.72,1.22,3.85,m
0.09,0.28,0.91,-2.38,3.17,3.48,m
0.14,0.31,0.89,0.92,6.59,5.98,m
0.14,0.28,0.88,2.20,2.69,2.69,m
0.13,0.26,0.88,2.08,0.92,4.09,m
