ax,ay,az,gx,gy,gz,label
0.03,-0.03,0.95,3.66,4.76,3.30,m
0.02,-0.03,0.96,4.64,2.75,1.28,m
0.05,-0.04,0.97,6.71,0.37,-4.82,m
0.05,-0.05,0.98,7.32,2.44,-12.82,m
0.09,-0.04,0.98,8.18,8.24,-14.95,m
0.12,-0.07,0.98,9.40,8.48,-11.23,m
0.12,-0.11,0.98,8.12,8.06,-7.14,m
0.09,-0.11,0.97,7.81,0.98,-2.50,m
0.07,-0.12,0.96,8.00,-7.02,-2.38,m
0.00,-0.11,0.95,6.77,-7.20,-1.59,m
-0.07,-0.09,0.95,-1.77,-0.43,8.06,m
-0.10,-0.04,0.98,-9.22,2.81,17.03,m
-0.06,-0.00,1.04,-8.54,1.77,16.85,m
-0.14,-0.01,1.09,-3.42,-5.13,6.10,m
-0.30,-0.06,1.13,-3.05,-10.93,7.75,m
-0.37,-0.04,1.16,-14.16,-7.26,14.89,m
-0.31,0.07,1.20,-20.87,-4.15,16.72,m
-0.33,0.17,1.22,-11.72,-7.51,5.98,m
-0.40,0.01,1.15,0.18,-7.81,6.29,m
-0.23,-0.12,1.14,-6.77,-0.98,29.48,m
-0.22,-0.14,1.09,-13.85,-6.59,32.29,m
-0.15,-0.08,1.07,-13.49,-7.87,13.55,m
-0.19,-0.05,0.95,1.53,-2.87,-16.91,m
-0.17,-0.24,0.92,-9.58,9.16,10.62,m
0.01,-0.07,0.87,-19.71,19.29,7.08,m
-0.03,-0.05,0.78,-0.37,25.09,-20.57,m
-0.03,-0.11,0.69,1.65,39.12,-8.48,m
0.19,-0.12,0.68,-7.63,54.81,14.10,m
0.30,-0.12,0.66,-14.40,54.69,13.61,m
0.32,0.02,0.61,-21.48,53.53,14.34,m
0.40,0.01,0.66,-26.00,52.67,25.57,m
0.39,-0.02,0.70,-31.62,43.82,29.36,m
0.33,0.05,0.71,-33.20,34.55,15.08,m
0.27,0.10,0.72,-34.00,30.70,11.29,m
0.32,0.08,0.75,-49.13,27.53,39.37,m
0.37,0.16,0.79,-63.84,12.51,51.64,m
0.35,0.33,0.79,-58.17,-4.88,37.78,m
0.32,0.34,0.79,-40.16,4.82,11.96,m
0.34,0.29,0.82,-24.05,-0.92,-9.77,m
0.36,0.31,0.82,-20.08,-12.08,-17.15,m
0.31,0.28,0.84,-24.05,-13.98,-5.19,m
0.28,0.27,0.81,-28.02,-20.39,-3.36,m
0.40,0.38,0.76,-27.83,-13.55,-13.18,m
0.32,0.49,0.78,-4.58,-0.24,-32.17,m
0.16,0.09,0.81,7.75,-11.17,-24.84,m
0.23,0.06,0.76,-31.62,-4.88,-24.90,m
0.39,0.37,0.85,-39.37,-8.54,-5.98,m
0.18,0.13,0.88,-31.19,-15.32,-7.63,m
0.25,0.35,0.84,-47.42,-6.10,-16.36,m
0.29,0.59,0.89,-34.73,-8.18,-14.16,m
0.25,0.42,0.90,-10.99,-9.70,-24.60,m
0.25,0.50,0.96,-8.30,-3.11,-55.36,m
0.24,0.74,0.94,-10.31,11.05,-44.31,m
0.22,0.50,0.80,8.42,17.33,-28.08,m
0.11,0.27,0.83,15.26,2.08,-27.04,m
0.18,0.33,0.91,5.86,-8.61,-10.93,m
0.12,0.44,0.93,6.16,-40.28,21.79,m
-0.12,0.51,0.85,22.46,-65.31,36.13,m
-0.32,0.33,0.84,23.74,-26.67,39.49,m
-0.37,0.17,0.90,16.30,13.55,31.62,m
-0.35,-0.02,0.97,9.58,17.76,16.48,m
-0.32,-0.06,0.97,-7.26,11.54,-12.76,m
-0.16,0.21,1.01,-26.06,9.28,-28.14,m
0.01,0.52,1.02,-25.39,8.97,-23.74,m
-0.02,0.42,1.00,-16.11,8.85,-13.67,m
0.06,0.47,0.99,-17.46,15.38,-12.82,m
0.14,0.56,0.96,-11.66,19.53,-15.01,m
0.15,0.48,0.95,-3.17,16.30,-7.45,m
0.16,0.38,0.94,-14.16,28.81,10.31,m
0.13,0.47,0.96,-19.41,33.87,17.88,m
0.16,0.48,0.95,-10.25,17.70,27.59,m
0.22,0.51,1.02,-1.16,9.83,24.78,m
0.18,0.47,1.06,5.62,-14.40,18.98,m
0.14,0.43,1.07,8.24,-10.38,9.95,m
0.02,0.42,1.04,3.36,-7.75,9.64,m
0.06,0.40,1.08,8.79,-16.48,15.01,m
