ax,ay,az,gx,gy,gz,label
0.21,0.46,0.81,2.44,3.72,3.17,m
0.22,0.45,0.80,2.14,6.35,2.81,m
0.23,0.42,0.79,1.46,6.23,2.20,m
0.21,0.42,0.80,0.12,3.30,4.58,m
0.23,0.44,0.80,-0.24,4.39,5.80,m
0.22,0.43,0.79,0.18,2.99,4.94,m
0.19,0.43,0.82,-0.31,2.38,5.92,m
0.19,0.43,0.82,0.06,5.86,6.10,m
0.15,0.40,0.84,2.50,4.88,8.24,m
0.08,0.38,0.91,5.00,4.82,11.66,m
0.12,0.33,0.97,7.20,13.12,15.38,m
0.17,0.31,1.04,13.06,19.23,22.52,m
0.25,0.30,1.12,22.89,23.25,29.48,m
0.31,0.26,1.12,25.70,28.26,37.11,m
0.49,0.39,1.04,22.46,52.92,44.56,m
0.84,0.59,0.84,34.73,58.90,44.19,m
1.03,0.71,0.68,49.38,21.73,31.68,m
0.98,0.70,0.60,62.87,-34.00,12.21,m
0.80,0.63,0.56,55.60,-37.29,-7.57,m
0.85,0.67,0.48,56.46,-43.52,-24.96,m
0.84,0.61,0.38,55.11,-67.44,-46.45,m
0.70,0.54,0.41,41.26,-84.72,-73.73,m
0.37,0.49,0.45,26.98,-93.20,-91.19,m
0.27,0.42,0.39,12.88,-106.81,-98.69,m
0.13,0.46,0.50,-1.10,-75.68,-104.06,m
-0.12,0.52,0.60,-4.33,-70.07,-106.26,m
-0.51,0.34,0.73,2.20,-72.75,-91.55,m
-0.49,0.16,0.69,-15.69,-35.89,-59.20,m
-0.48,0.22,0.72,-40.22,-18.86,-36.80,m
-0.62,0.43,0.86,-43.46,-17.88,-51.39,m
-0.93,0.25,1.03,-42.24,-15.20,-65.19,m
-0.67,0.24,0.99,-31.31,-12.08,-13.43,m
-0.63,0.44,1.02,42.60,-173.46,34.24,m
-1.08,0.33,1.11,58.90,-157.04,12.27,m
-1.08,0.14,1.01,21.18,-10.07,-41.20,m
-0.66,0.11,0.95,0.55,70.74,-43.09,m
-0.62,0.24,0.98,10.07,29.79,-24.29,m
-0.68,0.25,1.01,26.00,-25.33,-12.63,m
-0.66,0.22,0.94,35.58,-36.44,2.20,m
-0.59,0.25,0.96,35.22,-28.38,5.19,m
-0.72,0.30,1.00,23.93,-6.29,-0.55,m
-0.69,0.35,0.94,3.78,36.74,-20.87,m
-0.36,0.19,0.84,1.46,46.26,-31.74,m
-0.27,0.19,0.88,1.95,41.56,-24.96,m
-0.44,0.19,0.90,5.43,43.88,-6.77,m
-0.32,0.18,0.80,9.89,88.44,4.27,m
-0.02,0.10,0.69,-1.40,105.96,-0.85,m
-0.02,0.08,0.67,-16.48,91.13,-2.75,m
-0.15,0.05,0.83,-14.65,93.02,16.60,m
0.35,0.18,0.59,-19.53,157.35,44.68,m
0.68,0.27,0.54,-32.10,156.07,45.90,m
0.71,0.30,0.69,-21.91,119.14,38.94,m
0.85,0.23,0.70,-1.22,114.87,53.28,m
0.96,0.26,0.64,-2.50,97.60,56.27,m
1.01,0.31,0.72,-9.64,74.10,35.77,m
1.01,0.24,0.69,7.08,55.79,31.68,m
1.05,0.21,0.66,15.75,17.58,21.30,m
0.99,0.19,0.69,7.93,-13.18,3.36,m
0.86,0.17,0.75,2.50,-26.31,-12.45,m
0.87,0.21,0.72,3.85,-43.40,-19.17,m
0.86,0.21,0.77,5.07,-66.35,-23.44,m
0.85,0.18,0.77,6.04,-73.30,-23.38,m
0.85,0.22,0.72,0.49,-79.10,-26.79,m
0.84,0.26,0.75,-15.26,-90.52,-37.84,m
0.75,0.31,0.70,-34.12,-94.42,-49.74,m
0.58,0.34,0.59,-23.74,-105.16,-58.23,m
