ax,ay,az,gx,gy,gz,label
0.45,0.60,0.69,-6.47,4.70,10.62,m
0.45,0.62,0.69,-2.99,0.49,11.84,m
0.41,0.63,0.69,4.21,-4.94,17.15,m
0.36,0.61,0.71,11.23,-9.70,24.60,m
0.32,0.60,0.71,14.89,-5.98,31.98,m
0.31,0.62,0.72,19.29,-1.04,38.88,m
0.32,0.60,0.72,22.95,0.37,41.87,m
0.19,0.54,0.86,24.66,-1.22,43.15,m
0.16,0.41,0.94,19.90,29.79,54.87,m
0.21,0.46,1.02,17.70,66.65,80.32,m
0.33,0.47,1.10,27.71,75.87,105.29,m
0.54,0.55,1.16,39.67,66.22,124.94,m
0.58,0.60,1.22,55.66,56.70,136.05,m
0.49,0.56,1.26,53.53,47.00,134.64,m
0.64,0.54,1.08,35.83,62.74,132.75,m
0.66,0.66,1.16,67.02,47.79,148.19,m
0.61,0.72,1.14,105.59,61.40,183.96,m
0.44,0.58,1.08,141.97,109.44,187.81,m
0.48,0.43,0.80,179.87,132.51,223.75,m
0.47,0.42,0.63,222.66,129.64,281.37,m
0.38,0.57,0.44,248.66,103.64,300.35,m
0.30,0.57,0.20,232.18,73.36,254.39,m
0.02,0.19,0.27,175.48,27.34,150.88,m
-0.28,-0.07,0.43,111.27,0.18,66.22,m
-0.74,-0.29,0.77,93.08,-31.01,48.10,m
-0.79,-0.27,0.88,54.20,-13.12,23.99,m
-0.81,-0.22,1.00,41.20,6.71,20.02,m
-0.68,-0.19,0.95,15.63,39.55,-1.34,m
-0.49,-0.19,0.77,-12.45,52.80,-31.74,m
-0.34,-0.16,0.67,-28.20,52.37,-46.88,m
-0.26,-0.07,0.62,-26.37,52.43,-50.78,m
-0.11,-0.07,0.63,-25.51,78.74,-61.77,m
0.06,-0.17,0.52,-26.98,81.97,-70.07,m
0.24,-0.07,0.50,-40.16,65.19,-71.53,m
0.33,-0.09,0.53,-49.99,43.88,-87.10,m
0.33,-0.26,0.65,-56.15,24.35,-86.49,m
0.49,-0.09,0.68,-76.35,35.64,-70.62,m
0.68,0.11,0.71,-77.45,30.58,-64.51,m
0.76,-0.13,0.92,-58.72,20.63,-58.59,m
0.89,-0.24,0.85,-44.56,25.76,-24.66,m
1.03,-0.16,0.76,-56.21,8.97,-9.34,m
1.11,-0.06,0.92,-66.22,-14.47,-6.77,m
1.14,0.16,1.04,-55.36,-16.78,-2.81,m
1.13,0.28,1.08,-23.68,-17.15,-5.74,m
1.06,0.17,1.08,8.67,-28.44,-16.05,m
0.78,0.06,1.12,25.45,-43.09,-23.13,m
0.57,0.04,1.14,22.52,-30.03,-23.56,m
0.61,0.14,1.13,16.05,-11.90,-27.53,m
0.54,0.13,1.21,22.95,-4.88,-32.04,m
0.50,0.03,1.16,44.56,12.39,-20.69,m
0.63,0.01,0.96,66.10,36.99,1.89,m
0.68,-0.10,0.77,68.91,30.15,4.15,m
0.62,-0.22,0.66,47.67,16.60,-2.14,m
0.54,-0.19,0.60,26.86,-0.18,5.31,m
0.39,-0.19,0.61,7.63,-28.08,-0.55,m
0.16,-0.14,0.67,19.65,-32.10,28.32,m
0.11,-0.05,0.66,45.47,-10.62,45.04,m
0.11,-0.26,0.49,19.78,-32.59,22.34,m
-0.10,-0.27,0.67,-17.21,-52.98,14.22,m
-0.31,-0.18,0.85,-37.11,-48.95,6.77,m
-0.34,-0.01,0.90,-39.61,-35.77,10.01,m
-0.41,0.12,1.04,-30.82,-25.21,4.09,m
-0.53,0.03,1.12,-33.20,-6.59,-22.40,m
-0.48,0.02,1.12,-36.80,23.50,-36.62,m
-0.26,0.11,1.02,-18.37,51.03,-40.95,m
-0.24,-0.14,0.90,-10.44,67.69,-64.88,m
-0.17,-0.32,0.79,-25.33,80.87,-70.98,m
-0.00,-0.27,0.63,-40.22,83.13,-64.58,m
0.12,-0.24,0.61,-60.30,73.30,-66.53,m
0.29,-0.18,0.60,-57.80,65.06,-58.11,m
0.23,-0.29,0.67,-51.45,42.48,-46.20,m
0.52,-0.02,0.52,-70.68,46.51,-34.12,m
0.65,0.14,0.58,-98.21,26.31,-58.78,m
0.85,-0.01,0.56,-88.87,18.92,-72.45,m
1.02,0.01,0.70,-62.07,-11.60,-53.59,m
0.90,0.01,0.98,-54.08,-30.52,-61.10,m
1.03,-0.24,0.99,-26.92,-2.50,-42.97,m
1.26,-0.12,0.87,0.61,-1.77,5.55,m
1.11,-0.14,0.91,-13.43,-29.60,-1.59,m
0.91,-0.02,1.03,-33.45,-42.97,1.10,m
0.68,0.17,1.06,-25.57,-28.02,8.91,m
0.57,0.17,0.96,-0.73,-6.47,12.02,m
0.57,0.14,0.87,12.51,1.28,11.96,m
