ax,ay,az,gx,gy,gz,label
0.26,0.31,0.90,3.72,-0.12,3.05,m
0.28,0.32,0.90,7.26,-2.38,1.95,m
0.24,0.28,0.93,10.01,-6.35,0.79,m
0.24,0.28,0.98,9.70,-3.11,0.18,m
0.29,0.29,1.04,9.70,-0.06,-0.55,m
0.35,0.29,1.07,7.26,3.11,-1.40,m
0.44,0.40,1.13,-3.11,0.67,-6.96,m
0.45,0.45,1.22,-1.16,1.71,-12.94,m
0.49,0.46,1.20,11.78,13.37,-9.16,m
0.57,0.52,1.16,26.12,23.86,-9.40,m
0.62,0.50,1.02,58.84,28.44,-10.19,m
0.68,0.37,0.86,57.74,20.51,-4.27,m
0.65,0.25,0.75,49.56,7.02,-6.77,m
0.57,0.31,0.75,48.16,-16.24,-9.52,m
0.23,0.17,0.76,60.85,-22.46,-3.17,m
0.18,0.07,0.62,65.31,-25.88,3.72,m
-0.06,-0.05,0.60,60.36,-52.06,0.37,m
-0.35,-0.16,0.66,36.07,-58.29,-10.74,m
-0.56,-0.16,0.73,14.10,-50.23,-18.43,m
-0.62,-0.09,0.75,5.19,-27.95,-11.90,m
-0.58,0.04,0.72,-5.98,-15.08,-18.74,m
-0.63,0.05,0.66,-19.04,-8.30,-41.44,m
-0.52,0.16,0.68,-29.85,5.25,-56.46,m
-0.42,0.17,0.72,-12.82,23.56,-60.97,m
-0.34,-0.02,0.65,4.70,39.98,-68.60,m
-0.28,-0.15,0.62,-0.43,43.70,-70.25,m
-0.01,0.02,0.70,1.34,51.94,-53.77,m
0.17,-0.14,0.63,18.25,52.43,-50.54,m
0.17,-0.40,0.67,8.67,29.24,-44.68,m
0.31,-0.25,0.83,-22.89,21.42,-32.71,m
0.53,-0.10,0.93,-35.16,16.17,-38.76,m
0.49,-0.32,1.05,-34.61,5.86,-32.84,m
0.58,-0.22,1.04,-69.27,-0.67,-17.76,m
0.68,0.09,1.18,-66.59,-13.61,-27.95,m
0.74,0.24,1.28,-35.58,-10.86,-29.24,m
0.69,0.07,1.35,-9.58,-8.54,-34.48,m
0.63,-0.04,1.31,-1.89,-4.33,-37.78,m
0.55,0.05,1.33,18.01,-4.64,-17.76,m
0.40,-0.05,1.26,29.05,3.42,-17.82,m
0.42,0.00,1.16,14.77,12.45,-22.09,m
0.46,0.11,1.10,8.18,10.44,-28.69,m
0.44,-0.00,1.01,9.09,7.63,-30.82,m
0.44,-0.08,0.90,-5.31,4.39,-34.61,m
0.36,-0.05,0.86,-2.56,1.40,-19.41,m
0.48,-0.07,0.69,16.85,13.12,11.78,m
0.44,-0.27,0.55,-5.86,-21.73,-1.16,m
0.07,-0.13,0.71,-38.33,-61.83,1.59,m
-0.08,0.13,0.81,-8.42,-37.60,44.13,m
-0.02,0.05,0.60,6.10,-31.92,35.95,m
-0.22,0.05,0.66,5.86,-50.90,36.62,m
-0.53,0.02,0.82,5.37,-58.04,32.10,m
-0.59,0.12,0.84,-4.15,-31.62,21.61,m
-0.69,0.20,0.97,-0.92,-11.72,11.84,m
-0.73,0.12,0.96,1.40,5.19,-11.05,m
-0.63,0.11,0.92,-5.37,27.53,-28.99,m
-0.46,0.09,0.88,-3.91,44.25,-40.04,m
-0.32,0.04,0.77,3.36,54.38,-43.27,m
-0.22,-0.06,0.73,-9.34,53.28,-58.53,m
-0.17,-0.21,0.77,-25.39,41.50,-74.40,m
-0.06,-0.31,0.67,-38.64,23.32,-67.44,m
0.21,-0.17,0.53,-79.53,7.20,-72.88,m
0.09,0.08,0.72,-124.76,-50.42,-114.81,m
-0.06,0.00,0.79,-129.15,-61.40,-135.13,m
0.20,0.13,0.70,-138.79,-55.36,-117.07,m
0.44,0.75,0.85,-132.81,-70.31,-103.33,m
0.15,0.55,1.11,-84.47,-81.36,-122.50,m
0.11,0.17,1.37,-34.55,-57.13,-60.18,m
0.37,0.34,1.23,-9.34,-24.29,-46.75,m
0.26,0.13,1.20,-7.08,-47.67,-58.78,m
0.26,0.13,1.30,-4.27,-14.28,-15.38,m
0.35,0.32,1.21,9.16,13.00,-1.89,m
0.28,0.20,1.14,13.00,-4.21,-17.46,m
0.27,0.27,1.03,17.40,-4.52,-3.48,m
0.19,0.33,0.92,22.40,-11.05,6.35,m
0.12,0.21,0.93,15.50,3.66,4.15,m
0.19,0.20,0.85,0.73,28.08,-1.28,m
0.18,0.30,0.84,-5.25,21.24,-1.28,m
0.14,0.37,0.87,1.16,7.69,2.75,m
0.08,0.34,0.88,7.02,-0.55,4.52,m
